Year,New_Species,Cumulative_Species,MA_5yr
1886,1,1,
1888,1,2,
1921,1,3,1.0
1925,1,4,1.0
1926,1,5,1.2
1928,1,6,1.2
1929,2,8,1.2
1930,1,9,1.2
1931,1,10,1.6
1932,1,11,1.4
1934,3,14,1.6
1935,1,15,1.8
1936,2,17,2.0
1937,2,19,1.6
1938,2,21,1.6
1939,1,22,1.4
1940,1,23,1.2
1941,1,24,1.0
1942,1,25,1.0
1943,1,26,1.2
1944,1,27,1.4
1945,2,29,1.4
1947,2,31,2.4
1949,1,32,3.2
1950,6,38,4.0
1951,5,43,4.2
1952,6,49,4.8
1953,3,52,4.0
1954,4,56,4.4
1955,2,58,3.8
1956,7,65,4.8
1957,3,68,5.2
1958,8,76,6.4
1959,6,82,7.4
1960,8,90,8.4
1961,12,102,9.0
1962,8,110,10.8
1963,11,121,12.4
1964,15,136,12.4
1965,16,152,13.4
1966,12,164,14.0
1967,13,177,16.8
1968,14,191,19.8
1969,29,220,23.6
1970,31,251,26.8
1971,31,282,29.0
1972,29,311,28.8
1973,25,336,28.0
1974,28,364,27.8
1975,27,391,29.4
1976,30,421,30.8
1977,37,458,33.2
1978,32,490,33.4
1979,40,530,34.6
1980,28,558,36.0
1981,36,594,37.6
1982,44,638,36.8
1983,40,678,38.2
1984,36,714,36.6
1985,35,749,33.8
1986,28,777,32.4
1987,30,807,33.6
1988,33,840,33.6
1989,42,882,35.0
1990,35,917,39.0
1991,35,952,40.8
1992,50,1002,40.6
1993,42,1044,42.2
1994,41,1085,45.2
1995,43,1128,44.4
1996,50,1178,44.4
1997,46,1224,45.8
1998,42,1266,48.2
1999,48,1314,50.4
2000,55,1369,53.2
2001,61,1430,56.4
2002,60,1490,60.4
2003,58,1548,63.6
2004,68,1616,65.0
2005,71,1687,64.8
2006,68,1755,69.2
2007,59,1814,69.8
2008,80,1894,69.4
2009,71,1965,69.4
2010,69,2034,73.4
2011,68,2102,74.8
2012,79,2181,78.4
2013,87,2268,81.6
2014,89,2357,83.0
2015,85,2442,84.8
2016,75,2517,84.8
2017,88,2605,85.8
2018,87,2692,90.0
2019,94,2786,95.8
2020,106,2892,117.4
2021,104,2996,115.0
2022,196,3192,
2023,75,3267,
