Genus,N_Species,N_Publications,First_Year,Last_Year,Mean_Citations,Years_Studied,Publications_Per_Species
xiphinema,52,362,1936,2023,12.604972375690608,87,6.961538461538462
longidorus,46,233,1961,2023,14.896995708154506,62,5.065217391304348
pratylenchus,46,1494,1938,2023,14.447121820615797,85,32.47826086956522
heterodera,42,3051,1886,2023,20.27794165847263,137,72.64285714285714
meloidogyne,34,5905,1952,2023,15.133107535986452,71,173.6764705882353
rotylenchus,28,58,1969,2023,9.086206896551724,54,2.0714285714285716
hemicycliophora,24,95,1964,2023,12.463157894736842,59,3.9583333333333335
bursaphelenchus,24,1482,1969,2023,16.152496626180838,54,61.75
aphelenchoides,24,459,1921,2023,18.570806100217865,102,19.125
trichodorus,21,78,1954,2023,10.128205128205128,69,3.7142857142857144
ditylenchus,20,529,1937,2023,10.12476370510397,86,26.45
helicotylenchus,20,348,1961,2023,10.916666666666666,62,17.4
tylenchorhynchus,18,77,1952,2023,8.207792207792208,71,4.277777777777778
mesocriconema,17,51,1977,2023,8.352941176470589,46,3.0
hoplolaimus,14,117,1963,2023,6.538461538461538,60,8.357142857142858
scutellonema,13,71,1977,2023,7.577464788732394,46,5.461538461538462
hirschmanniella,12,52,1970,2023,14.173076923076923,53,4.333333333333333
dolichodorus,10,23,1959,2023,13.304347826086957,64,2.3
criconema,9,20,1965,2023,4.25,58,2.2222222222222223
paratrichodorus,9,75,1990,2023,12.36,33,8.333333333333334
