Genus,Species,Host,Year
anguina,agropyronifloris,Ryegrass,2001
anguina,agrostis,Wheat,1989
anguina,agrostis,Grass,2020
anguina,agrostis,Ryegrass,1985
anguina,agrostis,Grass,2020
anguina,agrostis,Wheat,1989
anguina,agrostis,Grass,2015
anguina,agrostis,Wheat,2015
anguina,agrostis,Grass,1969
anguina,agrostis,Ryegrass,1983
anguina,agrostis,Clover,1983
anguina,agrostis,Ryegrass,1987
anguina,australis,Tomato,2022
anguina,australis,Grass,2004
anguina,australis,Ryegrass,2001
anguina,australis,Grass,2001
anguina,australis,Grass,2004
anguina,funesta,Wheat,2005
anguina,funesta,Ryegrass,2023
anguina,funesta,Wheat,2005
anguina,funesta,Ryegrass,2023
anguina,funesta,Wheat,1989
anguina,funesta,Ryegrass,2008
anguina,funesta,Ryegrass,1994
anguina,funesta,Ryegrass,1994
anguina,funesta,Ryegrass,1996
anguina,funesta,Ryegrass,1998
anguina,funesta,Avena sativa,2005
anguina,funesta,Ryegrass,2005
anguina,funesta,Grass,2005
anguina,funesta,Barley,2022
anguina,funesta,Ryegrass,1988
anguina,funesta,Wheat,1988
anguina,funesta,Ryegrass,2012
anguina,tritici,Wheat,1976
anguina,tritici,Wheat,2022
anguina,tritici,Barley,2022
anguina,tritici,Triticum aestivum,2013
anguina,tritici,Wheat,2013
anguina,tritici,Wheat,2012
anguina,tritici,Wheat,2019
anguina,tritici,Wheat,2012
anguina,tritici,Wheat,2015
anguina,tritici,Wheat,1991
anguina,tritici,Ryegrass,1992
anguina,tritici,Wheat,1992
anguina,tritici,Wheat,2015
anguina,tritici,Wheat,2004
anguina,tritici,Triticale,2004
aphelenchoides,asteromucronatus,Oak,2017
aphelenchoides,asteromucronatus,Quercus brantii,2017
aphelenchoides,asteromucronatus,Pine,2019
aphelenchoides,asteromucronatus,Pinus brutia,2019
aphelenchoides,besseyi,Rice,2023
aphelenchoides,besseyi,Rice,2022
aphelenchoides,besseyi,Rice,2022
aphelenchoides,besseyi,Pepper,2022
aphelenchoides,besseyi,Tomato,2022
aphelenchoides,besseyi,Tobacco,2022
aphelenchoides,besseyi,Chickpea,2014
aphelenchoides,besseyi,Lettuce,2014
aphelenchoides,besseyi,Strawberry,2020
aphelenchoides,besseyi,Pine,2013
aphelenchoides,besseyi,Apple,2023
aphelenchoides,besseyi,Cassava,2023
aphelenchoides,besseyi,Tomato,2023
aphelenchoides,besseyi,Citrus,2023
aphelenchoides,besseyi,Potato,2023
aphelenchoides,besseyi,Maize,2023
aphelenchoides,besseyi,Taro,1988
aphelenchoides,besseyi,Cassava,1988
aphelenchoides,besseyi,Ginger,1988
aphelenchoides,besseyi,Pepper,1988
aphelenchoides,besseyi,Citrus,1988
aphelenchoides,besseyi,Sweet Potato,1988
aphelenchoides,besseyi,Sugarcane,1988
aphelenchoides,besseyi,Yam,1988
aphelenchoides,besseyi,Potato,1988
aphelenchoides,besseyi,Rice,1988
aphelenchoides,besseyi,Banana,1988
aphelenchoides,besseyi,Tobacco,1988
aphelenchoides,besseyi,Rice,2012
aphelenchoides,besseyi,Rice,2021
aphelenchoides,besseyi,Rice,2022
aphelenchoides,besseyi,Rice,2020
aphelenchoides,besseyi,Rice,2022
aphelenchoides,besseyi,Rice,2019
aphelenchoides,besseyi,Rice,2014
aphelenchoides,besseyi,Corn,1988
aphelenchoides,besseyi,Tomato,1988
aphelenchoides,besseyi,Citrus,1988
aphelenchoides,besseyi,Sugarcane,1988
aphelenchoides,besseyi,Celery,1988
aphelenchoides,besseyi,Potato,1988
aphelenchoides,besseyi,Rice,1988
aphelenchoides,besseyi,Banana,1988
aphelenchoides,besseyi,Pineapple,1988
aphelenchoides,besseyi,Rice,2015
aphelenchoides,besseyi,Rice,2022
aphelenchoides,besseyi,Rice,2021
aphelenchoides,besseyi,Chrysanthemum,2019
aphelenchoides,besseyi,Rice,2021
aphelenchoides,besseyi,Rice,2016
aphelenchoides,besseyi,Carrot,2018
aphelenchoides,besseyi,Rice,2018
aphelenchoides,besseyi,Rice,2021
aphelenchoides,besseyi,Pine,2022
aphelenchoides,besseyi,Chrysanthemum,2016
aphelenchoides,besseyi,Rice,2016
aphelenchoides,besseyi,Rice,2020
aphelenchoides,besseyi,Pine,2013
aphelenchoides,besseyi,Rice,2012
aphelenchoides,besseyi,Oryza sativa,2012
aphelenchoides,besseyi,Rice,1984
aphelenchoides,besseyi,Sugarcane,1984
aphelenchoides,besseyi,Rice,2007
aphelenchoides,besseyi,Rice,1987
aphelenchoides,besseyi,Rice,2019
aphelenchoides,besseyi,Rice,2019
aphelenchoides,besseyi,Rice,2014
aphelenchoides,besseyi,Rice,2018
aphelenchoides,besseyi,Soybean,2022
aphelenchoides,besseyi,Rice,2021
aphelenchoides,besseyi,Banana,2021
aphelenchoides,besseyi,Pine,2021
aphelenchoides,besseyi,Apple,2022
aphelenchoides,besseyi,Cassava,2022
aphelenchoides,besseyi,Tomato,2022
aphelenchoides,besseyi,Citrus,2022
aphelenchoides,besseyi,Potato,2022
aphelenchoides,besseyi,Maize,2022
aphelenchoides,besseyi,Apple,2023
aphelenchoides,besseyi,Cassava,2023
aphelenchoides,besseyi,Tomato,2023
aphelenchoides,besseyi,Citrus,2023
aphelenchoides,besseyi,Potato,2023
aphelenchoides,besseyi,Maize,2023
aphelenchoides,besseyi,Rice,2014
aphelenchoides,besseyi,Soybean,2022
aphelenchoides,besseyi,Rice,2017
aphelenchoides,besseyi,Rice,2022
aphelenchoides,besseyi,Brassica nigra,2014
aphelenchoides,besseyi,Rice,2023
aphelenchoides,besseyi,Rice,2014
aphelenchoides,besseyi,Soybean,2022
aphelenchoides,besseyi,Corn,2014
aphelenchoides,besseyi,Bean,2014
aphelenchoides,besseyi,Rice,2014
aphelenchoides,besseyi,Rice,2020
aphelenchoides,besseyi,Rice,2020
aphelenchoides,besseyi,Rice,2016
aphelenchoides,besseyi,Grass,2016
aphelenchoides,besseyi,Rice,2022
aphelenchoides,besseyi,Oryza sativa,2022
aphelenchoides,besseyi,Rice,2022
aphelenchoides,besseyi,Oryza sativa,2022
aphelenchoides,besseyi,Rice,2016
aphelenchoides,besseyi,Rice,2019
aphelenchoides,besseyi,Willow,2017
aphelenchoides,besseyi,Rice,2021
aphelenchoides,besseyi,Rice,2020
aphelenchoides,besseyi,Pine,2013
aphelenchoides,besseyi,Rice,2014
aphelenchoides,besseyi,Oryza sativa,2014
aphelenchoides,besseyi,Soybean,2020
aphelenchoides,besseyi,Chrysanthemum,2016
aphelenchoides,besseyi,Rice,2016
aphelenchoides,besseyi,Rice,2016
aphelenchoides,besseyi,Rice,2023
aphelenchoides,besseyi,Rice,2017
aphelenchoides,besseyi,Rice,2021
aphelenchoides,besseyi,Rice,2022
aphelenchoides,besseyi,Carrot,2013
aphelenchoides,besseyi,Rice,2013
aphelenchoides,besseyi,Rice,1984
aphelenchoides,besseyi,Sugarcane,1984
aphelenchoides,besseyi,Rice,1987
aphelenchoides,besseyi,Rice,2022
aphelenchoides,besseyi,Soybean,2022
aphelenchoides,besseyi,Rice,2014
aphelenchoides,besseyi,Rice,2008
aphelenchoides,besseyi,Oryza sativa,2008
aphelenchoides,besseyi,Glycine from,1979
aphelenchoides,besseyi,Alfalfa,1979
aphelenchoides,besseyi,Rice,2007
aphelenchoides,besseyi,Brassica nigra,2014
aphelenchoides,besseyi,Soybean,2022
aphelenchoides,besseyi,Rice,2022
aphelenchoides,besseyi,Oryza sativa,2022
aphelenchoides,besseyi,Rice,2019
aphelenchoides,besseyi,Carrot,2013
aphelenchoides,besseyi,Rice,2013
aphelenchoides,besseyi,Rice,2020
aphelenchoides,besseyi,Rice,2020
aphelenchoides,besseyi,Medicago sativa,2019
aphelenchoides,besseyi,Rice,2018
aphelenchoides,besseyi,Soybean,2017
aphelenchoides,besseyi,Rice,2018
aphelenchoides,besseyi,Strawberry,2021
aphelenchoides,besseyi,Rice,2021
aphelenchoides,besseyi,Rice,2021
aphelenchoides,besseyi,Oryza sativa,2021
aphelenchoides,besseyi,Rice,1977
aphelenchoides,besseyi,Soybean,2020
aphelenchoides,besseyi,Rice,2009
aphelenchoides,besseyi,Rice,1970
aphelenchoides,besseyi,Rice,2020
aphelenchoides,besseyi,Oryza sativa,2020
aphelenchoides,besseyi,Rice,2010
aphelenchoides,besseyi,Cotton,2022
aphelenchoides,besseyi,Bean,2022
aphelenchoides,besseyi,Soybean,2022
aphelenchoides,besseyi,Rice,2022
aphelenchoides,besseyi,Millet,2022
aphelenchoides,besseyi,Phaseolus vulgaris,2021
aphelenchoides,besseyi,Cotton,2021
aphelenchoides,besseyi,Bean,2021
aphelenchoides,besseyi,Soybean,2021
aphelenchoides,besseyi,Vigna unguiculata,2022
aphelenchoides,besseyi,Bean,2022
aphelenchoides,besseyi,Cowpea,2022
aphelenchoides,besseyi,Soybean,2022
aphelenchoides,besseyi,Cotton,2022
aphelenchoides,besseyi,Potato,2022
aphelenchoides,besseyi,Strawberry,2022
aphelenchoides,besseyi,Rice,2022
aphelenchoides,besseyi,Strawberry,2019
aphelenchoides,besseyi,Alfalfa,2019
aphelenchoides,besseyi,Soybean,2019
aphelenchoides,besseyi,Grass,2018
aphelenchoides,besseyi,Rice,1999
aphelenchoides,besseyi,Oryza sativa,1999
aphelenchoides,besseyi,Rice,2000
aphelenchoides,besseyi,Rice,2007
aphelenchoides,besseyi,Onion,2012
aphelenchoides,besseyi,Oryza sativa,2012
aphelenchoides,besseyi,Sorghum,2012
aphelenchoides,besseyi,Rice,2012
aphelenchoides,besseyi,Oat,2012
aphelenchoides,besseyi,Chrysanthemum,2012
aphelenchoides,besseyi,Maize,2012
aphelenchoides,besseyi,Grass,2017
aphelenchoides,besseyi,Rice,1976
aphelenchoides,besseyi,Strawberry,2012
aphelenchoides,besseyi,Rice,2012
aphelenchoides,besseyi,Rice,1984
aphelenchoides,besseyi,Rice,2018
aphelenchoides,besseyi,Rice,2014
aphelenchoides,besseyi,Rice,2010
aphelenchoides,besseyi,Rice,2018
aphelenchoides,besseyi,Cowpea,2023
aphelenchoides,besseyi,Rice,2019
aphelenchoides,besseyi,Rice,2022
aphelenchoides,besseyi,Grass,2022
aphelenchoides,besseyi,Millet,2022
aphelenchoides,besseyi,Rice,2016
aphelenchoides,besseyi,Strawberry,2012
aphelenchoides,besseyi,Rice,2010
aphelenchoides,besseyi,Oryza sativa,2010
aphelenchoides,besseyi,Bean,2015
aphelenchoides,besseyi,Rice,2015
aphelenchoides,besseyi,Rice,2019
aphelenchoides,besseyi,Oryza sativa,2019
aphelenchoides,besseyi,Rice,2020
aphelenchoides,besseyi,Rice,2002
aphelenchoides,besseyi,Oryza sativa,2002
aphelenchoides,besseyi,Rice,2001
aphelenchoides,besseyi,Rice,2016
aphelenchoides,besseyi,Rice,2003
aphelenchoides,besseyi,Oryza sativa,2003
aphelenchoides,besseyi,Rice,2021
aphelenchoides,besseyi,Rice,2009
aphelenchoides,besseyi,Oryza sativa,2009
aphelenchoides,besseyi,Rice,2022
aphelenchoides,besseyi,Oryza sativa,2022
aphelenchoides,besseyi,Pinus massoniana,2010
aphelenchoides,besseyi,Bean,2013
aphelenchoides,besseyi,Cowpea,2013
aphelenchoides,besseyi,Rice,2020
aphelenchoides,besseyi,Rice,1976
aphelenchoides,besseyi,Strawberry,2000
aphelenchoides,besseyi,Rice,2000
aphelenchoides,besseyi,Oryza sativa,2000
aphelenchoides,besseyi,Fragaria ananassa,2000
aphelenchoides,besseyi,Rice,1972
aphelenchoides,besseyi,Rice,2010
aphelenchoides,besseyi,Wheat,2010
aphelenchoides,besseyi,Rice,2002
aphelenchoides,besseyi,Apple,2006
aphelenchoides,besseyi,Rice,2006
aphelenchoides,besseyi,Rice,2006
aphelenchoides,besseyi,Rice,2022
aphelenchoides,besseyi,Rice,2021
aphelenchoides,besseyi,Phaseolus vulgaris,2021
aphelenchoides,besseyi,Bean,2021
aphelenchoides,besseyi,Rice,2022
aphelenchoides,besseyi,Rice,1996
aphelenchoides,besseyi,Rice,2018
aphelenchoides,besseyi,Rice,2003
aphelenchoides,bicaudatus,Ginger,2023
aphelenchoides,bicaudatus,Grass,2022
aphelenchoides,bicaudatus,Chrysanthemum,2016
aphelenchoides,bicaudatus,Potato,1981
aphelenchoides,blastophthorus,Pinus nigra,2018
aphelenchoides,blastophthorus,Pine,2018
aphelenchoides,blastophthorus,Strawberry,2019
aphelenchoides,cibolensis,Oak,2016
aphelenchoides,cibolensis,Pinus edulis,1972
aphelenchoides,cibolensis,Pine,2017
aphelenchoides,composticola,Maize,2015
aphelenchoides,composticola,Rose,1978
aphelenchoides,composticola,Alfalfa,2001
aphelenchoides,composticola,Alfalfa,2000
aphelenchoides,composticola,Barley,2000
aphelenchoides,composticola,Rose,1978
aphelenchoides,composticola,Eucalyptus,1989
aphelenchoides,composticola,Eucalyptus tereticornis,1989
aphelenchoides,composticola,Wheat,1989
aphelenchoides,composticola,Alfalfa,1999
aphelenchoides,fragariae,Pea,2013
aphelenchoides,fragariae,Broccoli,2013
aphelenchoides,fragariae,Onion,2013
aphelenchoides,fragariae,Pepper,2013
aphelenchoides,fragariae,Bean,2013
aphelenchoides,fragariae,Radish,2013
aphelenchoides,fragariae,Carrot,2013
aphelenchoides,fragariae,Lettuce,2013
aphelenchoides,fragariae,Celery,2013
aphelenchoides,fragariae,Potato,2013
aphelenchoides,fragariae,Cucumber,2013
aphelenchoides,fragariae,Cauliflower,2013
aphelenchoides,fragariae,Cabbage,2013
aphelenchoides,fragariae,Strawberry,1994
aphelenchoides,fragariae,Allium sativum,1994
aphelenchoides,fragariae,Garlic,1994
aphelenchoides,fragariae,Orchid,1999
aphelenchoides,fragariae,Strawberry,2021
aphelenchoides,fragariae,Fragaria ananassa,2021
aphelenchoides,fragariae,Strawberry,2005
aphelenchoides,fragariae,Fragaria ananassa,2005
aphelenchoides,fragariae,Grapefruit,2017
aphelenchoides,fragariae,Strawberry,1971
aphelenchoides,fragariae,Chrysanthemum,1971
aphelenchoides,fragariae,Fig,1971
aphelenchoides,fragariae,Garlic,2021
aphelenchoides,fragariae,Strawberry,2005
aphelenchoides,fragariae,Potato,1947
aphelenchoides,fragariae,Strawberry,1947
aphelenchoides,fragariae,Strawberry,1993
aphelenchoides,fragariae,Olive,2006
aphelenchoides,fragariae,Rose,2020
aphelenchoides,fragariae,Strawberry,1952
aphelenchoides,fragariae,Cauliflower,1952
aphelenchoides,fragariae,Strawberry,1934
