Genus,Host,Count
anguina,Avena sativa,1
anguina,Barley,2
anguina,Clover,1
anguina,Grass,8
anguina,Ryegrass,16
anguina,Tomato,1
anguina,Triticale,1
anguina,Triticum aestivum,1
anguina,Wheat,18
aphelenchoides,Alfalfa,8
aphelenchoides,Allium cepa,1
aphelenchoides,Allium hirtifolium,1
aphelenchoides,Allium sativum,4
aphelenchoides,Apple,4
aphelenchoides,Banana,4
aphelenchoides,Barley,2
aphelenchoides,Bean,9
aphelenchoides,Beet,1
aphelenchoides,Brassica compestres,1
aphelenchoides,Brassica nigra,2
aphelenchoides,Brassica rapa,1
aphelenchoides,Broccoli,1
aphelenchoides,Cabbage,1
aphelenchoides,Carrot,4
aphelenchoides,Cashew,1
aphelenchoides,Cassava,4
aphelenchoides,Cauliflower,2
aphelenchoides,Celery,2
aphelenchoides,Cherry,1
aphelenchoides,Chickpea,1
aphelenchoides,Chrysanthemum,16
aphelenchoides,Citrus,5
aphelenchoides,Clover,4
aphelenchoides,Coconut,1
aphelenchoides,Corn,5
aphelenchoides,Cotton,3
aphelenchoides,Cowpea,3
aphelenchoides,Cucumber,1
aphelenchoides,Eggplant,4
aphelenchoides,Eucalyptus,3
aphelenchoides,Eucalyptus globus,1
aphelenchoides,Eucalyptus obliqua,1
aphelenchoides,Eucalyptus tereticornis,1
aphelenchoides,Fig,1
aphelenchoides,Fragaria ananassa,5
aphelenchoides,Fragaria grandiflora,1
aphelenchoides,Garlic,5
aphelenchoides,Ginger,4
aphelenchoides,Glycine from,1
aphelenchoides,Grape,1
aphelenchoides,Grapefruit,1
aphelenchoides,Grass,6
aphelenchoides,Groundnut,1
aphelenchoides,Hemp,1
aphelenchoides,Lettuce,2
aphelenchoides,Lily,3
aphelenchoides,Lycopersicon esculentum,4
aphelenchoides,Maize,8
aphelenchoides,Maple,1
aphelenchoides,Medicago sativa,2
aphelenchoides,Millet,3
aphelenchoides,Nicotiana tabacum,1
aphelenchoides,Oak,4
aphelenchoides,Oat,3
aphelenchoides,Olive,1
aphelenchoides,Onion,4
aphelenchoides,Orchid,1
aphelenchoides,Oryza sativa,17
aphelenchoides,Pea,3
aphelenchoides,Pepper,4
aphelenchoides,Phaseolus vulgaris,2
aphelenchoides,Pine,10
aphelenchoides,Pineapple,1
aphelenchoides,Pinus brutia,1
aphelenchoides,Pinus edulis,1
aphelenchoides,Pinus massoniana,1
aphelenchoides,Pinus nigra,1
aphelenchoides,Pisum sativum,1
aphelenchoides,Potato,30
aphelenchoides,Prunus subhirtella,1
aphelenchoides,Quercus brantii,1
aphelenchoides,Quercus rubra,1
aphelenchoides,Radish,2
aphelenchoides,Rice,119
aphelenchoides,Rose,5
aphelenchoides,Rye,1
aphelenchoides,Solanum arcanum,2
aphelenchoides,Solanum habrochaites,1
aphelenchoides,Solanum lycopersicum,11
aphelenchoides,Solanum melongena,1
aphelenchoides,Solanum nigrum,1
aphelenchoides,Solanum species,1
aphelenchoides,Solanum tuberosum,2
aphelenchoides,Sorghum,1
aphelenchoides,Soybean,14
aphelenchoides,Strawberry,26
aphelenchoides,Sugarcane,4
aphelenchoides,Sweet Potato,1
aphelenchoides,Taro,1
aphelenchoides,Tobacco,5
aphelenchoides,Tomato,51
aphelenchoides,Trifolium repens,1
aphelenchoides,Triticum estivum,1
aphelenchoides,Turnip,1
aphelenchoides,Vigna radiata,1
aphelenchoides,Vigna unguiculata,1
aphelenchoides,Walnut,1
aphelenchoides,Wheat,5
aphelenchoides,Willow,1
aphelenchoides,Yam,2
belonolaimus,Arachis hypogaea,4
belonolaimus,Banana,1
belonolaimus,Brassica juncea,3
belonolaimus,Brassica oleracea,1
belonolaimus,Cabbage,1
belonolaimus,Chrysanthemum,1
belonolaimus,Citrus,3
belonolaimus,Citrus genotypes,1
belonolaimus,Citrus jambhiri,1
belonolaimus,Citrus phylogeny,1
belonolaimus,Coffee,1
belonolaimus,Corn,9
belonolaimus,Cotton,12
belonolaimus,Cowpea,1
belonolaimus,Cucumber,2
belonolaimus,Cucumis melo,2
belonolaimus,Cucumis sativus,3
belonolaimus,Daucus carota,1
belonolaimus,Eggplant,1
belonolaimus,Glycine max,3
belonolaimus,Gossypium hirsutum,6
belonolaimus,Grass,21
belonolaimus,Lactuca canadensis,2
belonolaimus,Lemon,3
belonolaimus,Lettuce,2
belonolaimus,Lycopersicon esculentum,2
belonolaimus,Maize,2
belonolaimus,Maple,1
belonolaimus,Medicago sativa,1
belonolaimus,Millet,3
belonolaimus,Nicotiana tabacum,1
belonolaimus,Orange,2
belonolaimus,Palm,1
belonolaimus,Peanut,7
belonolaimus,Pine,1
belonolaimus,Pinus palustris,1
belonolaimus,Potato,8
belonolaimus,Rye,2
belonolaimus,Sesame,1
belonolaimus,Solanum melongena,1
belonolaimus,Solanum tuberosum,6
belonolaimus,Sorghum,5
belonolaimus,Soybean,12
belonolaimus,Strawberry,7
belonolaimus,Sugarcane,3
belonolaimus,Tomato,6
belonolaimus,Trifolium spp,1
belonolaimus,Vigna unguiculata,1
belonolaimus,Wheat,1
bursaphelenchus,Acacia,3
bursaphelenchus,Alfalfa,1
bursaphelenchus,Allium odorum,1
bursaphelenchus,Apple,1
bursaphelenchus,Avocado,1
bursaphelenchus,Banana,1
bursaphelenchus,Barley,4
bursaphelenchus,Bean,1
bursaphelenchus,Beta and,1
