Country,N_Genera,N_Species,N_Publications,Mean_Citations
United States,29,157,2477,23.42793702058942
China,23,67,1382,13.412445730824892
United Kingdom,25,116,1042,23.972168905950095
Brazil,18,51,973,7.3576567317574515
India,21,49,709,12.471086036671368
Japan,18,52,491,13.765784114052954
Egypt,13,25,371,7.425876010781671
Germany,19,42,347,24.360230547550433
Spain,19,76,311,24.909967845659164
South Korea,14,29,282,15.539007092198581
France,13,45,273,27.377289377289376
Australia,18,42,251,20.593625498007967
Iran,19,76,238,7.9411764705882355
Netherlands,17,34,223,31.708520179372197
Belgium,21,63,221,33.12217194570136
Italy,17,41,197,20.558375634517766
Canada,15,35,177,15.757062146892656
Portugal,8,22,170,18.2
Turkey,13,31,159,7.264150943396227
Pakistan,14,18,133,23.781954887218046
South Africa,18,30,121,10.049586776859504
Russia,16,37,105,10.304761904761905
Nigeria,10,15,103,5.427184466019417
Poland,15,25,91,13.813186813186814
Israel,7,12,91,24.967032967032967
