Genus,N_Publications,N_Species,Mean_Citations,Bias_Ratio,Publications_Per_Species,Bias_Category
anguina,82,8,10.353658536585366,0.14470588235294118,10.25,Severely Understudied
aphelenchoides,459,24,18.570806100217865,0.81,19.125,Adequately Studied
belonolaimus,140,4,12.7,0.24705882352941178,35.0,Severely Understudied
bursaphelenchus,1482,24,16.152496626180838,2.615294117647059,61.75,Overstudied
criconema,20,9,4.25,0.03529411764705882,2.2222222222222223,Severely Understudied
ditylenchus,529,20,10.12476370510397,0.9335294117647059,26.45,Adequately Studied
dolichodorus,23,10,13.304347826086957,0.04058823529411765,2.3,Severely Understudied
globodera,1423,8,19.05130007027407,2.5111764705882353,177.875,Overstudied
helicotylenchus,348,20,10.916666666666666,0.6141176470588235,17.4,Understudied
hemicriconemoides,8,3,9.75,0.01411764705882353,2.6666666666666665,Severely Understudied
hemicycliophora,95,24,12.463157894736842,0.16764705882352943,3.9583333333333335,Severely Understudied
heterodera,3051,42,20.27794165847263,5.384117647058824,72.64285714285714,Overstudied
hirschmanniella,52,12,14.173076923076923,0.09176470588235294,4.333333333333333,Severely Understudied
hoplolaimus,117,14,6.538461538461538,0.20647058823529413,8.357142857142858,Severely Understudied
litylenchus,12,2,6.25,0.021176470588235297,6.0,Severely Understudied
longidorus,233,46,14.896995708154506,0.4111764705882353,5.065217391304348,Understudied
meloidogyne,5905,34,15.133107535986452,10.420588235294119,173.6764705882353,Overstudied
mesocriconema,51,17,8.352941176470589,0.09000000000000001,3.0,Severely Understudied
nacobbus,79,1,8.759493670886076,0.13941176470588237,79.0,Severely Understudied
nanidorus,12,1,5.583333333333333,0.021176470588235297,12.0,Severely Understudied
paratrichodorus,75,9,12.36,0.1323529411764706,8.333333333333334,Severely Understudied
pratylenchus,1494,46,14.447121820615797,2.6364705882352943,32.47826086956522,Overstudied
radopholus,245,6,16.791836734693877,0.4323529411764706,40.833333333333336,Understudied
rotylenchulus,251,6,10.278884462151394,0.4429411764705883,41.833333333333336,Understudied
rotylenchus,58,28,9.086206896551724,0.10235294117647059,2.0714285714285716,Severely Understudied
scutellonema,71,13,7.577464788732394,0.12529411764705883,5.461538461538462,Severely Understudied
trichodorus,78,21,10.128205128205128,0.13764705882352943,3.7142857142857144,Severely Understudied
tylenchorhynchus,77,18,8.207792207792208,0.13588235294117648,4.277777777777778,Severely Understudied
tylenchulus,168,6,7.857142857142857,0.29647058823529415,28.0,Understudied
xiphinema,362,52,12.604972375690608,0.6388235294117648,6.961538461538462,Understudied
