Genus,N_Species,N_Publications,Total_Mentions,Mean_Citations,Total_Citations,Pubs_per_Species
Meloidogyne,87,620,918,99.90483870967742,61941,7.126436781609195
Xiphinema,112,354,464,37.95762711864407,13437,3.1607142857142856
Pratylenchus,62,305,473,48.38688524590164,14758,4.919354838709677
Heterodera,51,228,288,86.53508771929825,19730,4.470588235294118
Longidorus,60,165,205,11.987878787878788,1978,2.75
Bursaphelenchus,30,140,227,212.57857142857142,29761,4.666666666666667
Rotylenchus,48,135,199,14.688888888888888,1983,2.8125
Aphelenchoides,33,111,121,78.27027027027027,8688,3.3636363636363638
Globodera,14,105,158,99.79047619047618,10478,7.5
Tylenchorhynchus,25,77,92,15.532467532467532,1196,3.08
Ditylenchus,17,74,120,93.47297297297297,6917,4.352941176470588
Helicotylenchus,19,69,75,19.82608695652174,1368,3.6315789473684212
Trichodorus,22,60,75,9.283333333333333,557,2.727272727272727
Radopholus,10,57,81,249.96491228070175,14248,5.7
Anguina,17,54,72,16.833333333333332,909,3.176470588235294
Scutellonema,16,49,57,11.346938775510203,556,3.0625
Mesocriconema,17,48,54,12.854166666666666,617,2.823529411764706
Hoplolaimus,15,47,51,11.957446808510639,562,3.1333333333333333
Rotylenchulus,7,44,57,304.97727272727275,13419,6.285714285714286
Hemicycliophora,16,43,56,6.395348837209302,275,2.6875
Hirschmanniella,13,37,44,23.243243243243242,860,2.8461538461538463
Criconema,13,37,44,7.702702702702703,285,2.8461538461538463
Tylenchulus,6,30,40,34.5,1035,5.0
Paratrichodorus,8,25,35,11.72,293,3.125
Dolichodorus,9,24,39,4.916666666666667,118,2.6666666666666665
Criconemoides,7,21,22,10.333333333333334,217,3.0
Belonolaimus,4,19,21,24.57894736842105,467,4.75
Meloidodera,7,16,17,16.1875,259,2.2857142857142856
Nacobbus,3,15,15,261.8666666666667,3928,5.0
Litylenchus,2,6,9,15.5,93,3.0
Nanidorus,2,6,6,6.333333333333333,38,3.0
2008,1,1,1,2.0,2,1.0
