Genus,Host,N_Mentions,Avg_Citations
Meloidogyne,of the,275,104.12363636363636
Meloidogyne,knot nematodes,242,132.16528925619835
Xiphinema,of the,212,49.04245283018868
Meloidogyne,and the,195,93.95897435897436
Pratylenchus,of the,192,50.557291666666664
Meloidogyne,and M,191,137.6282722513089
Meloidogyne,tomato,190,98.44736842105263
Meloidogyne,in the,186,112.46236559139786
Meloidogyne,of M,178,106.37640449438203
Meloidogyne,knot nematode,176,82.89204545454545
Meloidogyne,Meloidogyne incognita,163,122.8159509202454
Meloidogyne,to the,139,112.07194244604317
Heterodera,of the,129,69.59689922480621
Meloidogyne,Meloidogyne spp,122,124.65573770491804
Xiphinema,in the,122,19.81967213114754
Xiphinema,and X,111,26.603603603603602
Meloidogyne,on the,110,97.03636363636363
Pratylenchus,of P,109,41.862385321100916
Meloidogyne,the most,108,101.74074074074075
Xiphinema,based on,103,84.24271844660194
Meloidogyne,with the,103,133.72815533980582
Pratylenchus,in the,98,33.13265306122449
Heterodera,in the,97,136.61855670103094
Rotylenchus,of the,96,19.28125
Bursaphelenchus,of the,95,259.18947368421055
Meloidogyne,parasitic nematodes,95,116.7578947368421
Meloidogyne,incognita and,86,184.7906976744186
Rotylenchus,region with,84,19.821428571428573
Meloidogyne,by the,82,80.85365853658537
Xiphinema,and Xiphinema,81,35.333333333333336
Longidorus,of the,80,14.9875
Meloidogyne,of Meloidogyne,79,122.55696202531645
Xiphinema,to the,79,19.139240506329113
Xiphinema,and the,78,23.871794871794872
Xiphinema,new species,77,17.623376623376622
Meloidogyne,Meloidogyne species,75,122.62666666666667
Xiphinema,with a,75,12.16
Meloidogyne,stage juveniles,74,43.24324324324324
Globodera,of the,73,111.86301369863014
Meloidogyne,of root,73,137.5205479452055
Xiphinema,populations of,73,33.95890410958904
Xiphinema,of these,72,29.569444444444443
Meloidogyne,Meloidogyne hapla,72,130.93055555555554
Pratylenchus,and P,72,47.27777777777778
Xiphinema,The new,69,8.028985507246377
Meloidogyne,Meloidogyne arenaria,69,159.2173913043478
Meloidogyne,with a,68,139.8235294117647
Rotylenchus,annuli and,68,21.58823529411765
Meloidogyne,have been,66,150.0909090909091
Meloidogyne,species and,66,137.8939393939394
Xiphinema,expansion segments,66,25.954545454545453
Meloidogyne,for the,66,58.93939393939394
Xiphinema,of X,65,11.03076923076923
Meloidogyne,In the,64,146.71875
Meloidogyne,based on,64,61.921875
Meloidogyne,javanica and,63,168.73015873015873
Xiphinema,of Xiphinema,63,14.095238095238095
Meloidogyne,of plant,62,84.03225806451613
Meloidogyne,of several,62,180.25806451612902
Xiphinema,Xiphinema species,61,28.639344262295083
Meloidogyne,In this,61,67.04918032786885
Xiphinema,species is,60,16.516666666666666
Pratylenchus,parasitic nematodes,60,65.83333333333333
Bursaphelenchus,Bursaphelenchus xylophilus,59,453.135593220339
Xiphinema,species of,59,26.52542372881356
Xiphinema,species in,58,24.482758620689655
Xiphinema,is described,57,8.052631578947368
Pratylenchus,and the,57,61.70175438596491
Meloidogyne,the control,57,158.73684210526315
Meloidogyne,host range,56,156.07142857142858
Rotylenchus,based on,56,13.660714285714286
Meloidogyne,need for,56,152.21428571428572
Meloidogyne,been reported,56,171.53571428571428
Meloidogyne,from the,56,46.82142857142857
Meloidogyne,in a,55,148.8181818181818
Meloidogyne,compared to,55,81.10909090909091
Meloidogyne,the root,55,117.58181818181818
