Host,N_Mentions,Total_Citations,Mean_Citations,expected_mentions,bias_ratio,bias_category
of the,1696,144570,85.24174528301887,5.247392174394346,323.20816581538475,Overstudied
in the,1121,69998,62.442462087421944,5.247392174394346,213.62992563623013,Overstudied
and the,756,40055,52.982804232804234,5.247392174394346,144.07156447902764,Overstudied
to the,684,39372,57.56140350877193,5.247392174394346,130.35046310007263,Overstudied
based on,606,83934,138.5049504950495,5.247392174394346,115.48593660620469,Overstudied
from the,495,87919,177.61414141414141,5.247392174394346,94.33257198031572,Overstudied
parasitic nematodes,483,92039,190.5569358178054,5.247392174394346,92.04572175048988,Overstudied
the new,455,5587,12.27912087912088,5.247392174394346,86.70973788089626,Overstudied
on the,413,23244,56.280871670702176,5.247392174394346,78.70576207650583,Overstudied
is described,370,5628,15.21081081081081,5.247392174394346,70.51121541962993,Overstudied
new species,362,6609,18.256906077348066,5.247392174394346,68.98664859974603,Overstudied
the most,361,19095,52.89473684210526,5.247392174394346,68.79607774726055,Overstudied
for the,359,15823,44.07520891364903,5.247392174394346,68.41493604228958,Overstudied
in a,347,19746,56.90489913544668,5.247392174394346,66.12808581246374,Overstudied
and a,345,19589,56.779710144927535,5.247392174394346,65.74694410749277,Overstudied
the first,345,11539,33.446376811594206,5.247392174394346,65.74694410749277,Overstudied
with the,338,23215,68.68343195266272,5.247392174394346,64.41294814009437,Overstudied
species of,337,9546,28.326409495548962,5.247392174394346,64.22237728760888,Overstudied
knot nematodes,336,103469,307.9434523809524,5.247392174394346,64.0318064351234,Overstudied
with a,330,18724,56.73939393939394,5.247392174394346,62.88838132021048,Overstudied
the genus,313,8955,28.610223642172524,5.247392174394346,59.64867682795721,Overstudied
species is,295,4662,15.803389830508475,5.247392174394346,56.21840148321846,Overstudied
by the,290,11521,39.727586206896554,5.247392174394346,55.26554722079102,Overstudied
of this,280,84396,301.4142857142857,5.247392174394346,53.35983869593616,Overstudied
the species,280,7435,26.553571428571427,5.247392174394346,53.35983869593616,Overstudied
populations of,278,16826,60.52517985611511,5.247392174394346,52.97869699096519,Overstudied
tomato,274,21921,80.0036496350365,5.247392174394346,52.21641358102325,Overstudied
by a,271,16130,59.52029520295203,5.247392174394346,51.64470102356678,Overstudied
in this,266,10076,37.8796992481203,5.247392174394346,50.69184676113935,Overstudied
the nematode,258,9311,36.08914728682171,5.247392174394346,49.167279941255465,Overstudied
as a,253,13946,55.12252964426877,5.247392174394346,48.21442567882803,Overstudied
the results,252,9288,36.857142857142854,5.247392174394346,48.02385482634254,Overstudied
meloidogyne incognita,251,23768,94.69322709163346,5.247392174394346,47.83328397385706,Overstudied
meloidogyne spp,249,85005,341.3855421686747,5.247392174394346,47.452142268886085,Overstudied
of these,246,9090,36.951219512195124,5.247392174394346,46.88042971142963,Overstudied
of m,245,22709,92.68979591836735,5.247392174394346,46.68985885894414,Overstudied
and m,241,29500,122.40663900414938,5.247392174394346,45.9275754490022,Overstudied
morphological and,232,7474,32.21551724137931,5.247392174394346,44.21243777663282,Overstudied
knot nematode,230,16623,72.27391304347826,5.247392174394346,43.831296071661846,Overstudied
of a,229,13729,59.951965065502186,5.247392174394346,43.64072521917636,Overstudied
nematode species,227,15383,67.76651982378854,5.247392174394346,43.25958351420539,Overstudied
this study,219,8365,38.19634703196347,5.247392174394346,41.735016694321494,Overstudied
of plant,210,12762,60.77142857142857,5.247392174394346,40.01987902195212,Overstudied
number of,209,9985,47.77511961722488,5.247392174394346,39.829308169466636,Overstudied
and illustrated,209,2537,12.138755980861244,5.247392174394346,39.829308169466636,Overstudied
it is,202,13268,65.68316831683168,5.247392174394346,38.49531220206823,Overstudied
expansion segments,199,4114,20.673366834170853,5.247392174394346,37.92359964461177,Overstudied
to be,198,10629,53.68181818181818,5.247392174394346,37.733028792126284,Overstudied
sequences of,196,6308,32.183673469387756,5.247392174394346,37.35188708715531,Overstudied
presence of,192,3214,16.739583333333332,5.247392174394346,36.58960367721337,Overstudied
as well,186,9636,51.806451612903224,5.247392174394346,35.44617856230045,Overstudied
species and,183,13759,75.18579234972678,5.247392174394346,34.87446600484399,Overstudied
such as,183,9979,54.53005464480874,5.247392174394346,34.87446600484399,Overstudied
characterised by,179,2155,12.039106145251397,5.247392174394346,34.112182594902045,Overstudied
associated with,174,8140,46.7816091954023,5.247392174394346,33.159328332474615,Overstudied
this is,171,4400,25.730994152046783,5.247392174394346,32.58761577501816,Overstudied
lip region,167,1935,11.58682634730539,5.247392174394346,31.82533236507621,Overstudied
was found,167,4402,26.35928143712575,5.247392174394346,31.82533236507621,Overstudied
phylogenetic analysis,166,2497,15.042168674698795,5.247392174394346,31.634761512590725,Overstudied
stage juveniles,159,8338,52.44025157232704,5.247392174394346,30.30076554519232,Overstudied
species in,159,3791,23.842767295597483,5.247392174394346,30.30076554519232,Overstudied
have been,157,18617,118.57961783439491,5.247392174394346,29.919623840221348,Overstudied
phylogenetic analyses,155,4516,29.135483870967743,5.247392174394346,29.538482135250376,Overstudied
that the,152,8813,57.98026315789474,5.247392174394346,28.966769577793915,Overstudied
and in,149,7397,49.644295302013425,5.247392174394346,28.395057020337457,Overstudied
soybean,148,8700,58.78378378378378,5.247392174394346,28.20448616785197,Overstudied
can be,148,7595,51.317567567567565,5.247392174394346,28.20448616785197,Overstudied
survey of,147,73138,497.5374149659864,5.247392174394346,28.013915315366486,Overstudied
related to,146,4584,31.397260273972602,5.247392174394346,27.823344462881,Overstudied
is a,144,9055,62.88194444444444,5.247392174394346,27.442202757910025,Overstudied
potato,144,7570,52.56944444444444,5.247392174394346,27.442202757910025,Overstudied
and x,143,4107,28.72027972027972,5.247392174394346,27.25163190542454,Overstudied
and molecular,142,1461,10.288732394366198,5.247392174394346,27.061061052939053,Overstudied
and xiphinema,141,4146,29.404255319148938,5.247392174394346,26.870490200453567,Overstudied
stylet length,141,3588,25.4468085106383,5.247392174394346,26.870490200453567,Overstudied
of p,140,5463,39.02142857142857,5.247392174394346,26.67991934796808,Overstudied
found in,139,7158,51.49640287769784,5.247392174394346,26.489348495482595,Overstudied
characterized by,137,4036,29.45985401459854,5.247392174394346,26.108206790511623,Overstudied
this species,136,4021,29.566176470588236,5.247392174394346,25.917635938026134,Overstudied
body length,136,3415,25.110294117647058,5.247392174394346,25.917635938026134,Overstudied
cyst nematodes,135,83384,617.6592592592592,5.247392174394346,25.727065085540648,Overstudied
collected from,134,4537,33.85820895522388,5.247392174394346,25.536494233055162,Overstudied
species were,134,1356,10.119402985074627,5.247392174394346,25.536494233055162,Overstudied
due to,133,11680,87.81954887218045,5.247392174394346,25.345923380569676,Overstudied
to determine,133,71686,538.9924812030075,5.247392174394346,25.345923380569676,Overstudied
plant parasitic,133,9488,71.33834586466165,5.247392174394346,25.345923380569676,Overstudied
at the,132,4114,31.166666666666668,5.247392174394346,25.15535252808419,Overstudied
the presence,132,6799,51.50757575757576,5.247392174394346,25.15535252808419,Overstudied
expansion regions,132,3400,25.757575757575758,5.247392174394346,25.15535252808419,Overstudied
roots of,131,4253,32.465648854961835,5.247392174394346,24.964781675598704,Overstudied
rrna gene,131,3383,25.82442748091603,5.247392174394346,24.964781675598704,Overstudied
phylogenetic relationships,130,2523,19.407692307692308,5.247392174394346,24.77421082311322,Overstudied
analysis of,128,5551,43.3671875,5.247392174394346,24.393069118142247,Overstudied
meloidogyne javanica,128,5829,45.5390625,5.247392174394346,24.393069118142247,Overstudied
were found,127,2991,23.551181102362204,5.247392174394346,24.202498265656757,Overstudied
these species,127,3335,26.25984251968504,5.247392174394346,24.202498265656757,Overstudied
and p,126,5222,41.44444444444444,5.247392174394346,24.01192741317127,Overstudied
incognita and,126,18491,146.75396825396825,5.247392174394346,24.01192741317127,Overstudied
female tail,125,3824,30.592,5.247392174394346,23.821356560685786,Overstudied
in both,124,5928,47.806451612903224,5.247392174394346,23.6307857082003,Overstudied
the root,123,11808,96.0,5.247392174394346,23.440214855714814,Overstudied
and other,122,4832,39.60655737704918,5.247392174394346,23.249644003229328,Overstudied
total of,122,4993,40.92622950819672,5.247392174394346,23.249644003229328,Overstudied
population of,122,2132,17.475409836065573,5.247392174394346,23.249644003229328,Overstudied
soil samples,122,3357,27.516393442622952,5.247392174394346,23.249644003229328,Overstudied
bursaphelenchus xylophilus,121,74666,617.0743801652893,5.247392174394346,23.059073150743842,Overstudied
within the,121,5403,44.65289256198347,5.247392174394346,23.059073150743842,Overstudied
the other,121,8089,66.85123966942149,5.247392174394346,23.059073150743842,Overstudied
compared to,121,5569,46.02479338842975,5.247392174394346,23.059073150743842,Overstudied
wheat,120,7424,61.86666666666667,5.247392174394346,22.868502298258356,Overstudied
in addition,120,7511,62.59166666666667,5.247392174394346,22.868502298258356,Overstudied
were identified,119,7993,67.16806722689076,5.247392174394346,22.67793144577287,Overstudied
the plant,119,4375,36.76470588235294,5.247392174394346,22.67793144577287,Overstudied
is characterised,118,989,8.38135593220339,5.247392174394346,22.48736059328738,Overstudied
ditylenchus dipsaci,118,71317,604.3813559322034,5.247392174394346,22.48736059328738,Overstudied
more than,115,9403,81.76521739130435,5.247392174394346,21.915648035830923,Overstudied
parasitic nematode,115,5570,48.43478260869565,5.247392174394346,21.915648035830923,Overstudied
pratylenchus spp,111,70133,631.8288288288288,5.247392174394346,21.15336462588898,Overstudied
the number,110,7388,67.16363636363636,5.247392174394346,20.96279377340349,Overstudied
did not,110,4126,37.50909090909091,5.247392174394346,20.96279377340349,Overstudied
which is,109,2562,23.504587155963304,5.247392174394346,20.772222920918004,Overstudied
rice,109,2441,22.394495412844037,5.247392174394346,20.772222920918004,Overstudied
rrna and,108,2589,23.97222222222222,5.247392174394346,20.58165206843252,Overstudied
the rhizosphere,107,2092,19.55140186915888,5.247392174394346,20.391081215947032,Overstudied
was also,107,8345,77.99065420560747,5.247392174394346,20.391081215947032,Overstudied
