Year,New_Species,Genera,Cumulative_Species,Cumulative_Genera,Discovery_Rate_5yr
1960,7,6,7,6,
1961,1,1,8,7,
1962,2,2,10,9,3.4
1963,1,1,11,10,2.2
1964,6,6,17,16,2.4
1965,1,1,18,17,5.0
1966,2,1,20,18,7.6
1968,15,4,35,22,9.0
1969,14,9,49,31,10.0
1970,13,10,62,41,12.4
1971,6,4,68,45,10.4
1972,14,6,82,51,9.4
1973,5,5,87,56,8.8
1974,9,8,96,64,10.6
1975,10,8,106,72,10.4
1976,15,11,121,83,12.0
1977,13,9,134,92,13.0
1978,13,9,147,101,13.8
1979,14,7,161,108,14.2
1980,14,8,175,116,14.6
1981,17,12,192,128,15.4
1982,15,7,207,135,16.6
1983,17,11,224,146,16.8
1984,20,13,244,159,16.4
1985,15,10,259,169,15.0
1986,15,8,274,177,15.0
1987,8,5,282,182,14.6
1988,17,9,299,191,13.4
1989,18,12,317,203,13.0
1990,9,6,326,209,15.0
1991,13,7,339,216,18.4
1992,18,12,357,228,15.8
1993,34,11,391,239,16.8
1994,5,5,396,244,19.0
1995,14,9,410,253,23.6
1996,24,10,434,263,19.6
1997,41,14,475,277,24.2
1998,14,11,489,288,29.0
1999,28,17,517,305,32.2
2000,38,15,555,320,29.8
2001,40,19,595,339,31.0
2002,29,12,624,351,31.0
2003,20,12,644,363,28.6
2004,28,11,672,374,26.2
2005,26,12,698,386,25.2
2006,28,14,726,400,29.2
2007,24,15,750,415,29.2
2008,40,13,790,428,34.6
2009,28,10,818,438,39.4
2010,53,20,871,458,48.2
2011,52,14,923,472,51.8
2012,68,21,991,493,55.4
2013,58,22,1049,515,52.8
2014,46,15,1095,530,52.4
2015,40,12,1135,542,50.0
2016,50,15,1185,557,47.6
2017,56,16,1241,573,48.8
2018,46,16,1287,589,64.8
2019,52,19,1339,608,66.8
2020,120,27,1459,635,73.2
2021,60,22,1519,657,68.0
2022,88,25,1607,682,
2023,20,13,1627,695,
