Species,total_count,n_publications,mean_citations,total_citations,expected_pubs,bias_ratio,bias_category
incognita,315,210,143.67619047619047,30172,4.497023809523809,46.69755129053607,Overstudied
javanica,155,79,146.0253164556962,11536,4.497023809523809,17.56717405691595,Overstudied
xylophilus,111,55,515.0,28325,4.497023809523809,12.230311052283257,Overstudied
glycines,76,52,174.71153846153845,9085,4.497023809523809,11.56320317670417,Overstudied
penetrans,37,35,124.54285714285714,4359,4.497023809523809,7.782925215089345,Overstudied
rostochiensis,60,35,156.9142857142857,5492,4.497023809523809,7.782925215089345,Overstudied
similis,51,35,402.51428571428573,14088,4.497023809523809,7.782925215089345,Overstudied
arenaria,43,34,173.0,5882,4.497023809523809,7.56055592322965,Overstudied
hapla,44,33,133.87878787878788,4418,4.497023809523809,7.338186631369954,Overstudied
pallida,48,33,119.96969696969697,3959,4.497023809523809,7.338186631369954,Overstudied
schachtii,41,28,156.25,4375,4.497023809523809,6.226340172071476,Overstudied
reniformis,40,28,468.4642857142857,13117,4.497023809523809,6.226340172071476,Overstudied
thornei,36,24,54.833333333333336,1316,4.497023809523809,5.3368630046326935,Overstudied
zeae,36,23,48.608695652173914,1118,4.497023809523809,5.114493712772998,Overstudied
oryzae,29,21,29.238095238095237,614,4.497023809523809,4.669755129053607,Overstudied
brachyurus,40,20,34.8,696,4.497023809523809,4.447385837193911,Overstudied
dipsaci,40,18,313.6111111111111,5645,4.497023809523809,4.00264725347452,Overstudied
coffeae,20,18,60.111111111111114,1082,4.497023809523809,4.00264725347452,Overstudied
semipenetrans,23,16,58.5,936,4.497023809523809,3.5579086697551294,Overstudied
besseyi,15,15,502.93333333333334,7544,4.497023809523809,3.335539377895434,Overstudied
goodeyi,18,15,31.2,468,4.497023809523809,3.335539377895434,Overstudied
enterolobii,22,14,101.0,1414,4.497023809523809,3.113170086035738,Overstudied
avenae,14,14,242.57142857142858,3396,4.497023809523809,3.113170086035738,Overstudied
neglectus,52,14,80.71428571428571,1130,4.497023809523809,3.113170086035738,Overstudied
floridensis,28,13,22.384615384615383,291,4.497023809523809,2.8908007941760423,Overstudied
aberrans,12,12,320.6666666666667,3848,4.497023809523809,2.6684315023163467,Overstudied
americanum,22,11,55.27272727272727,608,4.497023809523809,2.446062210456651,Overstudied
chitwoodi,13,11,118.0,1298,4.497023809523809,2.446062210456651,Overstudied
index,12,11,581.7272727272727,6399,4.497023809523809,2.446062210456651,Overstudied
destructor,25,11,29.818181818181817,328,4.497023809523809,2.446062210456651,Overstudied
dihystera,14,11,46.18181818181818,508,4.497023809523809,2.446062210456651,Overstudied
longicaudatus,13,11,41.90909090909091,461,4.497023809523809,2.446062210456651,Overstudied
vulnus,15,10,56.8,568,4.497023809523809,2.2236929185969556,Overstudied
minor,14,10,13.0,130,4.497023809523809,2.2236929185969556,Overstudied
graminis,14,10,24.1,241,4.497023809523809,2.2236929185969556,Overstudied
indicus,11,10,17.2,172,4.497023809523809,2.2236929185969556,Overstudied
renifer,19,9,7.222222222222222,65,4.497023809523809,2.00132362673726,Overstudied
mediterraneus,13,9,25.666666666666668,231,4.497023809523809,2.00132362673726,Overstudied
oleae,13,9,19.666666666666668,177,4.497023809523809,2.00132362673726,Overstudied
iranicus,13,9,14.0,126,4.497023809523809,2.00132362673726,Overstudied
fallax,18,9,62.55555555555556,563,4.497023809523809,2.00132362673726,Overstudied
dunensis,10,9,17.11111111111111,154,4.497023809523809,2.00132362673726,Overstudied
multicinctus,9,9,38.22222222222222,344,4.497023809523809,2.00132362673726,Overstudied
xenoplax,16,8,33.5,268,4.497023809523809,1.7789543348775647,Overstudied
luci,14,7,29.428571428571427,206,4.497023809523809,1.556585043017869,Overstudied
exigua,8,7,72.0,504,4.497023809523809,1.556585043017869,Overstudied
allius,8,7,29.0,203,4.497023809523809,1.556585043017869,Overstudied
bradys,7,7,18.285714285714285,128,4.497023809523809,1.556585043017869,Overstudied
pratensis,8,7,24.285714285714285,170,4.497023809523809,1.556585043017869,Overstudied
cavenessi,7,7,7.285714285714286,51,4.497023809523809,1.556585043017869,Overstudied
elongatus,7,7,42.42857142857143,297,4.497023809523809,1.556585043017869,Overstudied
crenatus,9,7,46.285714285714285,324,4.497023809523809,1.556585043017869,Overstudied
ornatum,7,6,5.333333333333333,32,4.497023809523809,1.3342157511581734,Adequately Studied
martini,6,6,8.333333333333334,50,4.497023809523809,1.3342157511581734,Adequately Studied
scribneri,7,6,70.0,420,4.497023809523809,1.3342157511581734,Adequately Studied
parvus,7,6,14.5,87,4.497023809523809,1.3342157511581734,Adequately Studied
geraerti,6,6,0.5,3,4.497023809523809,1.3342157511581734,Adequately Studied
parietinus,6,6,6.0,36,4.497023809523809,1.3342157511581734,Adequately Studied
californicum,7,6,12.166666666666666,73,4.497023809523809,1.3342157511581734,Adequately Studied
macrosoma,7,6,9.166666666666666,55,4.497023809523809,1.3342157511581734,Adequately Studied
capensis,14,6,8.0,48,4.497023809523809,1.3342157511581734,Adequately Studied
paranaensis,7,6,47.666666666666664,286,4.497023809523809,1.3342157511581734,Adequately Studied
ciceri,6,6,20.666666666666668,124,4.497023809523809,1.3342157511581734,Adequately Studied
onoense,6,6,5.0,30,4.497023809523809,1.3342157511581734,Adequately Studied
magnus,8,6,40.833333333333336,245,4.497023809523809,1.3342157511581734,Adequately Studied
capitatus,6,6,5.5,33,4.497023809523809,1.3342157511581734,Adequately Studied
loofi,6,6,12.0,72,4.497023809523809,1.3342157511581734,Adequately Studied
porosus,6,6,9.333333333333334,56,4.497023809523809,1.3342157511581734,Adequately Studied
bolivianus,12,6,28.0,168,4.497023809523809,1.3342157511581734,Adequately Studied
curvatum,6,6,20.166666666666668,121,4.497023809523809,1.3342157511581734,Adequately Studied
cylindricus,6,6,9.5,57,4.497023809523809,1.3342157511581734,Adequately Studied
nebraskense,6,6,28.833333333333332,173,4.497023809523809,1.3342157511581734,Adequately Studied
variabilis,6,6,28.5,171,4.497023809523809,1.3342157511581734,Adequately Studied
trifolii,7,6,47.5,285,4.497023809523809,1.3342157511581734,Adequately Studied
kralli,6,6,19.0,114,4.497023809523809,1.3342157511581734,Adequately Studied
cretensis,12,6,10.0,60,4.497023809523809,1.3342157511581734,Adequately Studied
daklakensis,11,6,11.833333333333334,71,4.497023809523809,1.3342157511581734,Adequately Studied
fragariae,9,6,26.833333333333332,161,4.497023809523809,1.3342157511581734,Adequately Studied
australis,9,6,19.5,117,4.497023809523809,1.3342157511581734,Adequately Studied
teres,10,6,43.666666666666664,262,4.497023809523809,1.3342157511581734,Adequately Studied
musicola,11,6,6.166666666666667,37,4.497023809523809,1.3342157511581734,Adequately Studied
diversicaudatum,6,6,65.16666666666667,391,4.497023809523809,1.3342157511581734,Adequately Studied
gigas,6,6,29.166666666666668,175,4.497023809523809,1.3342157511581734,Adequately Studied
africanus,6,6,23.166666666666668,139,4.497023809523809,1.3342157511581734,Adequately Studied
intermedius,6,6,5.0,30,4.497023809523809,1.3342157511581734,Adequately Studied
galeatus,6,6,19.833333333333332,119,4.497023809523809,1.3342157511581734,Adequately Studied
limberi,6,6,14.0,84,4.497023809523809,1.3342157511581734,Adequately Studied
gracilis,6,6,17.333333333333332,104,4.497023809523809,1.3342157511581734,Adequately Studied
pseudorobustus,6,5,25.8,129,4.497023809523809,1.1118464592984778,Adequately Studied
tritici,5,5,42.2,211,4.497023809523809,1.1118464592984778,Adequately Studied
filipjevi,5,5,26.8,134,4.497023809523809,1.1118464592984778,Adequately Studied
ethiopica,5,5,51.6,258,4.497023809523809,1.1118464592984778,Adequately Studied
claytoni,5,5,69.8,349,4.497023809523809,1.1118464592984778,Adequately Studied
canadensis,6,5,8.6,43,4.497023809523809,1.1118464592984778,Adequately Studied
raskii,5,5,4.6,23,4.497023809523809,1.1118464592984778,Adequately Studied
bernardi,8,5,3.0,15,4.497023809523809,1.1118464592984778,Adequately Studied
mucronatus,8,5,36.0,180,4.497023809523809,1.1118464592984778,Adequately Studied
tabacum,7,5,50.4,252,4.497023809523809,1.1118464592984778,Adequately Studied
cajani,5,4,31.25,125,4.497023809523809,0.8894771674387824,Adequately Studied
robustus,6,4,22.5,90,4.497023809523809,0.8894771674387824,Adequately Studied
mayaguensis,6,4,106.25,425,4.497023809523809,0.8894771674387824,Adequately Studied
castilloi,4,4,9.25,37,4.497023809523809,0.8894771674387824,Adequately Studied
italiae,7,4,38.25,153,4.497023809523809,0.8894771674387824,Adequately Studied
delattrei,5,4,102.0,408,4.497023809523809,0.8894771674387824,Adequately Studied
primitivus,7,4,30.0,120,4.497023809523809,0.8894771674387824,Adequately Studied
sacchari,6,4,33.0,132,4.497023809523809,0.8894771674387824,Adequately Studied
dubius,7,4,24.75,99,4.497023809523809,0.8894771674387824,Adequately Studied
digonicus,5,4,28.5,114,4.497023809523809,0.8894771674387824,Adequately Studied
columbus,4,4,16.0,64,4.497023809523809,0.8894771674387824,Adequately Studied
agrostis,4,4,48.25,193,4.497023809523809,0.8894771674387824,Adequately Studied
funesta,4,4,24.25,97,4.497023809523809,0.8894771674387824,Adequately Studied
loosi,7,4,35.75,143,4.497023809523809,0.8894771674387824,Adequately Studied
brachyurum,4,4,28.0,112,4.497023809523809,0.8894771674387824,Adequately Studied
bakeri,7,4,23.0,92,4.497023809523809,0.8894771674387824,Adequately Studied
ellingtonae,4,4,32.5,130,4.497023809523809,0.8894771674387824,Adequately Studied
rivesi,4,4,45.0,180,4.497023809523809,0.8894771674387824,Adequately Studied
naasi,4,4,130.25,521,4.497023809523809,0.8894771674387824,Adequately Studied
hispanica,7,4,34.0,136,4.497023809523809,0.8894771674387824,Adequately Studied
orientalis,10,4,17.25,69,4.497023809523809,0.8894771674387824,Adequately Studied
vuittenezi,4,4,28.5,114,4.497023809523809,0.8894771674387824,Adequately Studied
sheri,4,4,22.5,90,4.497023809523809,0.8894771674387824,Adequately Studied
pachtaicum,4,4,33.0,132,4.497023809523809,0.8894771674387824,Adequately Studied
annulatus,4,4,22.5,90,4.497023809523809,0.8894771674387824,Adequately Studied
elongatum,7,4,50.75,203,4.497023809523809,0.8894771674387824,Adequately Studied
miradvulvus,3,3,0.0,0,4.497023809523809,0.6671078755790867,Understudied
megadora,3,3,33.0,99,4.497023809523809,0.6671078755790867,Understudied
mexicana,4,3,25.333333333333332,76,4.497023809523809,0.6671078755790867,Understudied
mediterraneum,3,3,37.0,111,4.497023809523809,0.6671078755790867,Understudied
microconus,3,3,7.0,21,4.497023809523809,0.6671078755790867,Understudied
leviterminalis,4,3,7.333333333333333,22,4.497023809523809,0.6671078755790867,Understudied
lespedezae,3,3,1.0,3,4.497023809523809,0.6671078755790867,Understudied
mediterranea,4,3,8.0,24,4.497023809523809,0.6671078755790867,Understudied
miticausa,3,3,15.333333333333334,46,4.497023809523809,0.6671078755790867,Understudied
moensi,6,3,11.0,33,4.497023809523809,0.6671078755790867,Understudied
microlaenae,3,3,25.0,75,4.497023809523809,0.6671078755790867,Understudied
microtyla,3,3,38.666666666666664,116,4.497023809523809,0.6671078755790867,Understudied
leptocephalus,3,3,1.6666666666666667,5,4.497023809523809,0.6671078755790867,Understudied
microcephalus,3,3,2.6666666666666665,8,4.497023809523809,0.6671078755790867,Understudied
meridianum,5,3,6.666666666666667,20,4.497023809523809,0.6671078755790867,Understudied
microcephala,3,3,17.0,51,4.497023809523809,0.6671078755790867,Understudied
medicagus,3,3,5.0,15,4.497023809523809,0.6671078755790867,Understudied
lobatus,3,3,9.0,27,4.497023809523809,0.6671078755790867,Understudied
humuli,3,3,66.66666666666667,200,4.497023809523809,0.6671078755790867,Understudied
humilis,3,3,6.0,18,4.497023809523809,0.6671078755790867,Understudied
horvatovicae,3,3,10.0,30,4.497023809523809,0.6671078755790867,Understudied
horti,3,3,8.666666666666666,26,4.497023809523809,0.6671078755790867,Understudied
incultus,4,3,5.333333333333333,16,4.497023809523809,0.6671078755790867,Understudied
incognitum,3,3,13.666666666666666,41,4.497023809523809,0.6671078755790867,Understudied
lapidosum,3,3,10.0,30,4.497023809523809,0.6671078755790867,Understudied
lambertii,5,3,11.0,33,4.497023809523809,0.6671078755790867,Understudied
laevistriatum,3,3,17.333333333333332,52,4.497023809523809,0.6671078755790867,Understudied
laevicapitatus,3,3,5.0,15,4.497023809523809,0.6671078755790867,Understudied
ifacolum,3,3,12.0,36,4.497023809523809,0.6671078755790867,Understudied
ichinohei,4,3,40.0,120,4.497023809523809,0.6671078755790867,Understudied
huntensis,3,3,19.0,57,4.497023809523809,0.6671078755790867,Understudied
hunaniense,6,3,4.666666666666667,14,4.497023809523809,0.6671078755790867,Understudied
lutosa,3,3,9.0,27,4.497023809523809,0.6671078755790867,Understudied
koreana,3,3,4.0,12,4.497023809523809,0.6671078755790867,Understudied
konaensis,4,3,62.0,186,4.497023809523809,0.6671078755790867,Understudied
laurentinus,6,3,15.0,45,4.497023809523809,0.6671078755790867,Understudied
laurae,6,3,13.0,39,4.497023809523809,0.6671078755790867,Understudied
latipons,3,3,21.333333333333332,64,4.497023809523809,0.6671078755790867,Understudied
larliani,3,3,5.0,15,4.497023809523809,0.6671078755790867,Understudied
juglandis,3,3,6.0,18,4.497023809523809,0.6671078755790867,Understudied
jonesi,3,3,5.0,15,4.497023809523809,0.6671078755790867,Understudied
japonicus,3,3,3.0,9,4.497023809523809,0.6671078755790867,Understudied
