pub_year,Genus,Count
1960,aphelenchoides,1
1960,ditylenchus,3
1960,heterodera,5
1960,meloidogyne,5
1960,pratylenchus,3
1961,aphelenchoides,1
1961,ditylenchus,1
1961,helicotylenchus,1
1961,heterodera,2
1961,meloidogyne,3
1961,pratylenchus,3
1961,xiphinema,3
1962,aphelenchoides,2
1962,ditylenchus,4
1962,heterodera,1
1962,meloidogyne,2
1962,pratylenchus,4
1963,aphelenchoides,1
1963,ditylenchus,1
1963,helicotylenchus,2
1963,heterodera,3
1963,meloidogyne,2
1963,pratylenchus,6
1963,xiphinema,2
1964,aphelenchoides,1
1964,ditylenchus,5
1964,heterodera,7
1964,meloidogyne,3
1964,pratylenchus,3
1964,xiphinema,2
1965,aphelenchoides,2
1965,ditylenchus,3
1965,heterodera,5
1965,meloidogyne,1
1965,pratylenchus,3
1965,xiphinema,2
1966,aphelenchoides,5
1966,helicotylenchus,1
1966,heterodera,6
1966,meloidogyne,10
1966,pratylenchus,2
1966,xiphinema,1
1967,aphelenchoides,1
1967,ditylenchus,8
1967,helicotylenchus,1
1967,heterodera,5
1967,meloidogyne,1
1967,pratylenchus,1
1967,xiphinema,2
1968,aphelenchoides,1
1968,ditylenchus,7
1968,helicotylenchus,1
1968,heterodera,7
1968,meloidogyne,3
1968,xiphinema,1
1969,bursaphelenchus,1
1969,ditylenchus,5
1969,helicotylenchus,2
1969,heterodera,11
1969,meloidogyne,17
1969,pratylenchus,6
1969,rotylenchulus,2
1969,xiphinema,3
1970,aphelenchoides,1
1970,ditylenchus,6
1970,globodera,2
1970,helicotylenchus,1
1970,heterodera,9
1970,meloidogyne,10
1970,pratylenchus,9
1970,xiphinema,4
1971,aphelenchoides,3
1971,ditylenchus,11
1971,helicotylenchus,4
1971,heterodera,7
1971,meloidogyne,7
1971,pratylenchus,10
1971,xiphinema,4
1972,aphelenchoides,3
1972,ditylenchus,8
1972,helicotylenchus,1
1972,heterodera,5
1972,meloidogyne,31
1972,pratylenchus,10
1972,xiphinema,6
1973,aphelenchoides,2
1973,ditylenchus,4
1973,helicotylenchus,1
1973,heterodera,12
1973,meloidogyne,37
1973,pratylenchus,5
1973,rotylenchulus,4
1973,xiphinema,3
1974,aphelenchoides,2
1974,ditylenchus,9
1974,helicotylenchus,3
1974,heterodera,12
1974,meloidogyne,14
1974,pratylenchus,4
1974,xiphinema,4
