Genus,Year,Forecast,CI_Lower,CI_Upper
meloidogyne,2024,365.94131624442525,298.8884674291298,432.99416505972073
meloidogyne,2025,381.35281778057106,314.2999689652756,448.40566659586653
meloidogyne,2026,397.08181667141616,330.0289678561207,464.13466548671164
meloidogyne,2027,413.128312917077,346.0754641017815,480.18116173237246
meloidogyne,2028,429.4923065175535,362.43945770225804,496.545155332849
meloidogyne,2029,446.1737974729622,379.1209486576667,513.2266462882576
meloidogyne,2030,463.1727857829537,396.11993696765825,530.2256345982491
meloidogyne,2031,480.4892714478774,413.4364226325819,547.5421202631728
meloidogyne,2032,498.1232544675004,431.0704056522049,565.1761032827958
meloidogyne,2033,516.0747348419391,449.0218860266436,583.1275836572345
meloidogyne,2034,534.3437125711935,467.290863755898,601.3965613864889
meloidogyne,2035,552.9301876552636,485.8773388399681,619.983036470559
meloidogyne,2036,571.834160094033,504.7813112787375,638.8870089093284
meloidogyne,2037,591.0556298877345,524.0027810724391,658.10847870303
meloidogyne,2038,610.5945970362518,543.5417482209564,677.6474458515472
meloidogyne,2039,630.4510615394684,563.3982127241729,697.5039103547638
meloidogyne,2040,650.6250233975006,583.5721745822052,717.677872212796
meloidogyne,2041,671.1164826102322,604.0636337949368,738.1693314255276
meloidogyne,2042,691.9254391778959,624.8725903626005,758.9782879931913
meloidogyne,2043,713.0518931002589,645.9990442849635,780.1047419155543
heterodera,2024,123.2756096390076,96.28711149070327,150.26410778731193
heterodera,2025,126.70395803792053,99.7154598896162,153.69245618622486
heterodera,2026,130.18034677015385,103.19184862184952,157.16884491845818
heterodera,2027,133.70477583570755,106.71627768740322,160.69327398401188
heterodera,2028,137.27724523458164,110.28874708627731,164.26574338288597
heterodera,2029,140.89775496679067,113.90925681848634,167.886253115095
heterodera,2030,144.56630503230554,117.5778068840012,171.55480318060987
heterodera,2031,148.2828954311699,121.29439728286556,175.27139357947422
heterodera,2032,152.04752616332553,125.0590280150212,179.03602431162986
heterodera,2033,155.8601972288161,128.87169908051177,182.84869537712044
heterodera,2034,159.72090862764162,132.7324104793373,186.70940677594595
heterodera,2035,163.62966035977297,136.64116221146864,190.6181585080773
heterodera,2036,167.5864524252247,140.59795427692038,194.57495057352904
heterodera,2037,171.59128482402593,144.6027866757216,198.57978297233026
heterodera,2038,175.64415755611844,148.6556594078141,202.63265570442277
heterodera,2039,179.74507062156044,152.7565724732561,206.73356876986477
heterodera,2040,183.89402402029373,156.9055258719894,210.88252216859806
heterodera,2041,188.09101775236195,161.10251960405762,215.07951590066628
heterodera,2042,192.3360518177651,165.34755366946078,219.32454996606944
heterodera,2043,196.62912621648866,169.64062806818433,223.617624364793
pratylenchus,2024,71.11209624932962,54.098462264912456,88.1257302337468
pratylenchus,2025,73.57447072610375,56.560836741686586,90.58810471052092
pratylenchus,2026,76.08183170495613,59.06819772053896,93.0954656893733
pratylenchus,2027,78.63417918585765,61.62054520144048,95.64781317027482
pratylenchus,2028,81.23151316883741,64.21787918442024,98.24514715325458
pratylenchus,2029,83.87383365388087,66.8601996694637,100.88746763829803
pratylenchus,2030,86.56114064098801,69.54750665657085,103.57477462540518
pratylenchus,2031,89.29343413015886,72.27980014574169,106.30706811457603
pratylenchus,2032,92.07071412140795,75.05708013699078,109.08434810582511
pratylenchus,2033,94.89298061472073,77.87934663030356,111.9066145991379
pratylenchus,2034,97.7602336100972,80.74659962568003,114.77386759451437
pratylenchus,2035,100.67247310753737,83.6588391231202,117.68610709195454
pratylenchus,2036,103.62969910705579,86.61606512263862,120.64333309147295
pratylenchus,2037,106.63191160865244,89.61827762423528,123.64554559306961
pratylenchus,2038,109.67911061229825,92.66547662788108,126.69274459671541
pratylenchus,2039,112.77129611800774,95.75766213359057,129.7849301024249
pratylenchus,2040,115.90846812578093,98.89483414136376,132.9221021101981
pratylenchus,2041,119.09062663563236,102.07699265121519,136.10426062004953
pratylenchus,2042,122.31777164754749,105.30413766313032,139.33140563196466
pratylenchus,2043,125.58990316152631,108.57626917710914,142.60353714594348
bursaphelenchus,2024,102.0276745587762,77.66014776496267,126.39520135258972
