Year,Genus,Total_Count,N_Records
1960,Aphelenchoides,1,1
1960,Ditylenchus,1,1
1960,Hemicycliophora,3,3
1960,Hoplolaimus,1,1
1960,Tylenchorhynchus,1,1
1960,Xiphinema,4,4
1961,Helicotylenchus,1,1
1962,Ditylenchus,1,1
1962,Radopholus,1,1
1963,Pratylenchus,1,1
1964,Aphelenchoides,1,1
1964,Heterodera,1,1
1964,Longidorus,1,1
1964,Meloidogyne,1,1
1964,Trichodorus,1,1
1964,Xiphinema,1,1
1965,Aphelenchoides,1,1
1966,Heterodera,7,3
1968,Meloidogyne,15,15
1968,Radopholus,1,1
1968,Rotylenchulus,1,1
1968,Tylenchorhynchus,2,1
1969,Belonolaimus,1,1
1969,Dolichodorus,2,2
1969,Helicotylenchus,1,1
1969,Heterodera,1,1
1969,Pratylenchus,9,6
1969,Rotylenchus,5,2
1969,Tylenchorhynchus,1,1
1969,Tylenchulus,1,1
1969,Xiphinema,1,1
1970,Aphelenchoides,1,1
1970,Hemicycliophora,1,1
1970,Heterodera,1,1
1970,Hirschmanniella,1,1
1970,Hoplolaimus,1,1
1970,Longidorus,2,2
1970,Nacobbus,2,2
1970,Pratylenchus,1,1
1970,Tylenchorhynchus,1,1
1970,Xiphinema,3,2
1971,Ditylenchus,1,1
1971,Hoplolaimus,1,1
1971,Trichodorus,4,2
1971,Tylenchorhynchus,3,3
1972,Aphelenchoides,3,3
1972,Criconemoides,3,3
1972,Heterodera,3,3
1972,Meloidogyne,4,4
1972,Tylenchorhynchus,2,2
1972,Xiphinema,8,8
1973,Aphelenchoides,2,2
1973,Longidorus,1,1
1973,Meloidodera,1,1
1973,Meloidogyne,1,1
1973,Pratylenchus,2,2
1974,Aphelenchoides,2,2
1974,Belonolaimus,1,1
1974,Criconemoides,1,1
1974,Helicotylenchus,1,1
1974,Heterodera,1,1
1974,Longidorus,1,1
1974,Pratylenchus,1,1
1974,Xiphinema,2,1
1975,Dolichodorus,1,1
1975,Helicotylenchus,1,1
1975,Heterodera,3,3
1975,Longidorus,2,2
1975,Meloidogyne,1,1
1975,Pratylenchus,3,2
1975,Scutellonema,1,1
1975,Tylenchorhynchus,1,1
1976,Anguina,1,1
1976,Criconemoides,2,2
1976,Helicotylenchus,5,5
1976,Heterodera,1,1
1976,Hoplolaimus,1,1
1976,Longidorus,2,2
1976,Meloidogyne,1,1
1976,Rotylenchulus,1,1
1976,Rotylenchus,2,2
1976,Tylenchulus,1,1
1976,Xiphinema,4,4
1977,Anguina,2,2
1977,Ditylenchus,3,1
1977,Globodera,2,2
1977,Helicotylenchus,1,1
1977,Heterodera,6,5
1977,Meloidogyne,1,1
1977,Radopholus,1,1
1977,Tylenchorhynchus,2,1
1977,Xiphinema,1,1
1978,Dolichodorus,1,1
1978,Helicotylenchus,1,1
1978,Hoplolaimus,1,1
1978,Meloidogyne,5,5
1978,Pratylenchus,1,1
1978,Rotylenchus,1,1
1978,Trichodorus,3,3
1978,Tylenchorhynchus,1,1
1978,Xiphinema,1,1
1979,Helicotylenchus,2,2
1979,Heterodera,2,2
1979,Longidorus,1,1
1979,Meloidogyne,9,3
1979,Pratylenchus,10,5
1979,Rotylenchus,4,4
1979,Scutellonema,1,1
1980,Aphelenchoides,2,1
1980,Ditylenchus,3,3
1980,Helicotylenchus,1,1
1980,Meloidogyne,1,1
1980,Pratylenchus,4,4
1980,Rotylenchulus,1,1
1980,Rotylenchus,7,7
1980,Tylenchorhynchus,3,1
1981,Anguina,1,1
1981,Aphelenchoides,1,1
1981,Ditylenchus,1,1
1981,Dolichodorus,20,8
1981,Globodera,2,2
1981,Heterodera,1,1
1981,Longidorus,1,1
1981,Meloidodera,2,2
1981,Rotylenchus,2,2
1981,Trichodorus,1,1
1981,Tylenchorhynchus,1,1
1981,Xiphinema,2,2
1982,Dolichodorus,2,2
1982,Helicotylenchus,1,1
1982,Heterodera,2,2
1982,Hirschmanniella,5,3
1982,Meloidogyne,9,6
1982,Tylenchorhynchus,2,2
1982,Xiphinema,6,6
1983,Bursaphelenchus,4,2
1983,Ditylenchus,1,1
1983,Globodera,5,2
1983,Heterodera,2,2
1983,Longidorus,1,1
1983,Meloidodera,3,3
1983,Meloidogyne,3,2
1983,Nacobbus,1,1
1983,Rotylenchus,2,2
1983,Tylenchulus,4,4
1983,Xiphinema,3,3
1984,Globodera,1,1
1984,Helicotylenchus,1,1
1984,Hemicycliophora,1,1
1984,Heterodera,4,4
1984,Hirschmanniella,2,1
1984,Hoplolaimus,1,1
1984,Meloidogyne,3,3
1984,Pratylenchus,8,6
1984,Radopholus,3,3
1984,Scutellonema,2,2
1984,Trichodorus,1,1
1984,Tylenchorhynchus,2,2
1984,Xiphinema,5,5
1985,Anguina,1,1
1985,Bursaphelenchus,1,1
1985,Dolichodorus,1,1
1985,Helicotylenchus,3,3
1985,Heterodera,1,1
1985,Meloidogyne,6,6
1985,Pratylenchus,1,1
1985,Scutellonema,1,1
1985,Trichodorus,1,1
1985,Xiphinema,2,2
1986,Belonolaimus,1,1
1986,Dolichodorus,2,2
1986,Helicotylenchus,2,2
1986,Heterodera,5,5
1986,Meloidogyne,3,3
1986,Pratylenchus,1,1
1986,Tylenchorhynchus,3,3
1986,Xiphinema,2,2
1987,Criconemoides,3,3
1987,Heterodera,1,1
1987,Hoplolaimus,2,2
1987,Meloidogyne,3,3
1987,Tylenchorhynchus,4,2
1988,Aphelenchoides,1,1
1988,Bursaphelenchus,1,1
1988,Heterodera,2,2
1988,Hirschmanniella,3,3
1988,Meloidogyne,10,5
1988,Pratylenchus,7,7
1988,Radopholus,3,2
1988,Trichodorus,2,2
1988,Tylenchulus,2,2
1989,Anguina,1,1
1989,Aphelenchoides,1,1
1989,Ditylenchus,1,1
1989,Heterodera,2,2
1989,Hoplolaimus,1,1
1989,Longidorus,1,1
1989,Meloidogyne,1,1
1989,Pratylenchus,1,1
1989,Rotylenchulus,1,1
1989,Tylenchorhynchus,2,2
1989,Tylenchulus,1,1
