Genus,Total_Citations,Mean_Citations,Median_Citations,N_Papers,First_Year,Last_Year,Citations_Per_Year
anguina,849,10.353658536585366,7.0,82,1934,2023,9.433333333333334
aphelenchoides,8524,18.570806100217865,5.0,459,1921,2023,82.75728155339806
belonolaimus,1778,12.7,9.0,140,1960,2023,27.78125
bursaphelenchus,23938,16.152496626180838,8.0,1482,1969,2023,435.23636363636365
criconema,85,4.25,3.0,20,1965,2023,1.4406779661016949
ditylenchus,5356,10.12476370510397,5.0,529,1937,2023,61.5632183908046
dolichodorus,306,13.304347826086957,3.0,23,1959,2023,4.707692307692308
globodera,27110,19.05130007027407,10.0,1423,1970,2023,502.037037037037
helicotylenchus,3799,10.916666666666666,6.0,348,1961,2023,60.301587301587304
hemicriconemoides,78,9.75,7.0,8,1994,2021,2.7857142857142856
hemicycliophora,1184,12.463157894736842,8.0,95,1964,2023,19.733333333333334
heterodera,61868,20.27794165847263,9.0,3051,1886,2023,448.3188405797101
hirschmanniella,737,14.173076923076923,6.5,52,1970,2023,13.648148148148149
hoplolaimus,765,6.538461538461538,5.0,117,1963,2023,12.540983606557377
litylenchus,75,6.25,2.5,12,2011,2023,5.769230769230769
longidorus,3471,14.896995708154506,7.0,233,1961,2023,55.095238095238095
meloidogyne,89361,15.133107535986452,6.0,5905,1952,2023,1241.125
mesocriconema,426,8.352941176470589,3.0,51,1977,2023,9.063829787234043
nacobbus,692,8.759493670886076,6.0,79,1970,2023,12.814814814814815
nanidorus,67,5.583333333333333,6.5,12,1969,2023,1.2181818181818183
paratrichodorus,927,12.36,8.0,75,1990,2023,27.264705882352942
pratylenchus,21584,14.447121820615797,7.0,1494,1938,2023,250.97674418604652
radopholus,4114,16.791836734693877,7.0,245,1958,2023,62.333333333333336
rotylenchulus,2580,10.278884462151394,6.0,251,1956,2023,37.94117647058823
rotylenchus,527,9.086206896551724,5.0,58,1969,2023,9.581818181818182
scutellonema,538,7.577464788732394,4.0,71,1977,2023,11.446808510638299
trichodorus,790,10.128205128205128,5.0,78,1954,2023,11.285714285714286
tylenchorhynchus,632,8.207792207792208,5.0,77,1952,2023,8.777777777777779
tylenchulus,1320,7.857142857142857,5.0,168,1967,2023,23.157894736842106
xiphinema,4563,12.604972375690608,7.0,362,1936,2023,51.85227272727273
