Author,Total_Citations,Mean_Citations,N_Papers,N_Genera,H_Index
"& et al., Al-Waily",0,0.0,1,1,0
"&nbsp, Safiuddin",1,1.0,1,1,1
"'Azizah, Nikmatul",0,0.0,1,1,0
"., Abbasi",2,2.0,1,1,1
"., Aly Khan",4,4.0,1,1,1
"., Amer-Zareen",22,7.333333333333333,3,1,3
"., Fatima S. Mehdi",2,2.0,1,1,1
"., M.A. Rahman",16,16.0,1,1,1
"., M.S. Islam",4,4.0,1,1,1
"., Mohamed A. Elwakil",0,0.0,1,1,0
"., Muhammad Shakeel Ahm",19,19.0,1,1,1
"., Nazir Javed",1,1.0,1,1,1
"., Reza Pourrahim",2,2.0,1,1,1
"., S. M. E. Hassan",2,2.0,1,1,1
"., S. Shahid Shaukat",10,5.0,2,1,2
"., S.M.E . Hassan",4,4.0,1,1,1
"., S.S. Shaukat",3,3.0,1,1,1
"., Sayeeda Fatema",4,4.0,1,1,1
"., Shabbar Hussain",3,3.0,1,1,1
"., Suloiman M. Al Rehia",22,22.0,1,1,1
"., Tahmid",0,0.0,1,1,0
"., Wafaa M. Haggag",3,3.0,1,1,1
"?, ??",0,0.0,4,2,0
"?, ???",0,0.0,1,1,0
"??, ??",60,4.615384615384615,13,4,4
"???, ??",1,1.0,1,1,1
"??????, ????",0,0.0,1,1,0
"?????????, ?. ?.",0,0.0,1,1,0
"?MREN, Mustafa",2,0.6666666666666666,3,2,1
"?ermÃ¡k, V.",7,7.0,1,1,1
"?wi?cicka, Magdalena",14,14.0,1,1,1
"A, Shanthi",0,0.0,1,1,0
"A. Siddiqu, Imran",12,12.0,1,1,1
A. Sotomayor-RÃÂ­os,0,0.0,1,1,0
"A. Udo, Idorenyin",9,9.0,1,1,1
"ABBAS, MOHAMED S. T.",1,1.0,1,1,1
"ABBRUSCATO, PAMELA",79,79.0,1,1,1
"ABDULSALAM, Sulaiman",5,5.0,1,1,1
"ABELLEIRA, ADELA",0,0.0,1,1,0
"ABRÃÂO, MARLUCI MUNDIN",4,4.0,1,1,1
"ADACHI, Hiroshi",15,5.0,3,1,2
"ADESIYAN, S. O.",8,8.0,1,1,1
"ADOMAKO, Josep",0,0.0,1,1,0
"AHMAD, Gufran",12,6.0,2,1,2
"AI-Rehiayani, S.",0,0.0,1,1,0
"AIHARA, Takao",1,1.0,1,1,1
"AIKAWA, Takuya",18,18.0,1,1,1
"AKHKHA, A.",36,18.0,2,1,2
"AKYAZI, Faruk",2,0.6666666666666666,3,2,1
"ALI, Ali H. H.",10,5.0,2,1,2
"ALPHEY, T. J. W.",67,7.444444444444445,9,4,5
"ALTA?, Ahmet",2,2.0,1,1,1
"ALTAÃÂ, Ahmet",2,2.0,1,1,1
"ALVES, LUIZA EDUARDA STRAMBAIOLI GARCIA",0,0.0,2,1,0
"AMIN, A. W.",2,2.0,1,1,1
"AMIN, AMIN W.",1,1.0,1,1,1
"ANDERSEN, SIGURD",17,17.0,1,1,1
"ANDERSEN, Sigurd",4,4.0,1,1,1
"ANDERSON, J. A. D.",3,3.0,1,1,1
"AO, Claudius-Cole",2,1.0,2,1,1
"AOYAGI, Michiko",1,1.0,1,1,1
"ARAKI, Masaaki",14,2.8,5,1,2
"ARAÃÂJO JÃÂNIOR, Josemildo VerÃÂ§osa",0,0.0,1,1,0
"ARIAS, M.",5,2.5,2,2,1
"ARNTZEN, F K",18,9.0,2,1,2
"ARPACI, Bekir",1,1.0,1,1,1
"ARROLD, N. P.",2,2.0,1,1,1
"ASLAN, AyÃÂenur",6,6.0,1,1,1
"ASMUS, GUILHERME L.",8,8.0,1,1,1
"ATKINSON, H. J.",350,19.444444444444443,18,2,11
"ATOLANI, Olubunmi",12,12.0,1,1,1
"AUER, CELSO GARCIA",1,1.0,1,1,1
"AYAZ, ??rem",1,1.0,1,1,1
"AYAZ, ÃÂ°ÃÂrem",1,1.0,1,1,1
"AYDINLI, GÃÂ¶khan",33,8.25,4,1,2
"AYRES, E.",134,67.0,2,1,2
"Aanany, A.",0,0.0,1,1,0
"Aatif, H.M.",1,1.0,1,1,1
"Ababutain, Ibtisam Mohammed",10,10.0,1,1,1
"Abad, P.",51,17.0,3,1,3
"Abad, Pierre",906,906.0,1,1,1
"Abadon, M",8,8.0,1,1,1
"Aballay, E.",17,17.0,1,1,1
"Aballay, Erwin",88,14.666666666666666,6,1,5
"Abate, Birhan A.",34,17.0,2,1,2
"Abbas, Huma",3,3.0,1,1,1
Abbasi,0,0.0,1,1,0
"Abbasi, Muhammad Waseem",68,34.0,2,1,2
"Abbasi, P.A.",43,43.0,1,1,1
"Abbasi, khadijeh",0,0.0,2,1,0
"Abbassy, Moustafa A.",27,27.0,1,1,1
"Abd El-Rahman, A. F.",48,48.0,1,1,1
"Abd-El-Khair, Hassan",27,13.5,2,1,1
"Abd-Elbary, Nagwa A.",1,1.0,1,1,1
"Abd-Elgawad, M.",1,1.0,1,1,1
"Abd-Elgawad, Mahfouz",23,5.75,4,2,1
"Abd-Elgawad, Mahfouz M. M.",34,17.0,2,2,2
"Abd-Elgawad, Mahfouz M.M.",24,24.0,1,1,1
"Abdel-Aal, A. A. A.",0,0.0,1,1,0
"Abdel-Bary, N.",1,1.0,1,1,1
"Abdel-Dayem, E.",20,20.0,1,1,1
"Abdel-Ghany, Tarek M.",6,6.0,1,1,1
"Abdel-Hafeez, A. R.",0,0.0,2,1,0
"Abdel-Haleem, Hussein",3,3.0,1,1,1
"Abdel-Mageed, M. A.",0,0.0,1,1,0
"Abdel-Rahman, A.A.",4,2.0,2,1,2
"Abdel-Rahman, Abdullah A.",0,0.0,2,1,0
"Abdel-Salam, M. S.",31,31.0,1,1,1
"Abdel-Salam, Mohamed S.",6,6.0,1,1,1
"Abdel-Sattar, Mahmoud",10,5.0,2,2,1
"Abdel-lateif, Khalid S.",4,4.0,1,1,1
"AbdelRazek, Ghena Mamdouh",16,8.0,2,1,2
"Abdeldaym, Emad Abdelhameed",14,14.0,1,1,1
"Abdellatif, Kamal Fouad",51,51.0,1,1,1
"Abdelmajid, Kassem My",5,5.0,1,1,1
"Abdelnabby, Hazem",34,8.5,4,1,4
"Abdelnoor, Ricardo Vilela",2,1.0,2,1,1
"Abdelraheem, Abdelraheem",47,47.0,1,1,1
"Abdelsamad, Noor",5,5.0,1,1,1
"Abdollahi, Mohammad",7,2.3333333333333335,3,1,2
"Abdul-Baki, Aref A.",0,0.0,1,1,0
"Abdul-rasool, aAsmaa",2,2.0,1,1,1
"Abdulla, Ghufran Ali",0,0.0,1,1,0
"Abdulsalam, Sulaiman",1,1.0,1,1,1
"Abe, Keietsu",92,92.0,1,1,1
"Abe, Naruhito",4,2.0,2,1,2
"Abe, VinÃÂ­cius Hicaro Frederico",0,0.0,1,1,0
"Abebew, Desalegne",13,13.0,1,1,1
"Abedin, Noynul",2,2.0,1,1,1
"Abel, Craig A.",5,5.0,1,1,1
"Abelleira, A",186,93.0,2,2,2
"Abelleira, A.",4,4.0,1,1,1
"Abidou, H",15,15.0,1,1,1
"Abivardi, C",12,12.0,1,1,1
"Abivardi, Cyrus",28,14.0,2,1,2
"Abo-Elyousr, Kamal A. M.",0,0.0,1,1,0
"Abo-Elyousr, Kamal A.M.",14,14.0,1,1,1
"Abo-Korah, M.",1,1.0,1,1,1
"Abo-Korah, M.S.",0,0.0,1,1,0
"Abo-Korah, Mohamed S",0,0.0,1,1,0
"Abo-Ollo, N.",2,1.0,2,1,1
"Abokora, Mohamed",0,0.0,3,1,0
Abolusoro,3,3.0,1,1,1
"Abolusoro, S.A.",5,5.0,1,1,1
"Abou El-Atta, Doaa Abd El-Maksoud",18,9.0,2,1,2
"Aboul-Eid, H Z",1,1.0,1,1,1
"Aboul-Eid, H.Z.",1,0.5,2,1,1
AbouÃ¢ÂÂAwad,20,20.0,1,1,1
"Abu Irmaileh, Barakat E.",2,2.0,1,1,1
"Abu-Gharbieh, W I",14,14.0,1,1,1
"Abubakar, U.",19,19.0,1,1,1
"Abulusoro, S A",1,1.0,1,1,1
"Acedo, J R",16,16.0,1,1,1
"Acharya, K",62,31.0,2,1,2
"Acharya, K.",7,7.0,1,1,1
"Acharya, Krishna",63,10.5,6,1,5
"Achenbach, Ute",35,35.0,1,1,1
"Achenbach, Ute C.",7,7.0,1,1,1
"Acosta, N",53,13.25,4,2,4
"Adam, M. A. M.",135,135.0,1,1,1
"Adam, Mohamed",135,67.5,2,1,2
"Adam, Mohamed A.M.",50,25.0,2,1,2
"Adamo, J A",9,9.0,1,1,1
"Adamo, Noah",3,1.5,2,1,1
"Adamou, H",2,1.0,2,1,1
"Adams, Bashiru",1,1.0,1,1,1
"Adams, J C",4,4.0,1,1,1
"Adamson, W. C.",6,6.0,1,1,1
"Adebayo, R.A.",3,3.0,1,1,1
"Adee, Eric A.",2,2.0,1,1,1
"Adegbite, A. A.",14,7.0,2,1,1
"Adegbite, Ayodele",5,2.5,2,1,1
"Adegbite, Ayodele Adesina",1,0.5,2,1,1
"Adekunle, O. K.",38,12.666666666666666,3,1,3
"Adekunle, O.K.",38,12.666666666666666,3,1,2
"Adel, Rahma Mukhlis",0,0.0,1,1,0
"Adeoye, A. O.",0,0.0,1,1,0
"Adesiyan, S O",1,1.0,1,1,1
"Adesuyi, Ayoola Abiodun",0,0.0,1,1,0
"Adhikari, Pragya",102,102.0,1,1,1
"Adillah Tan, M. Y.",18,18.0,1,1,1
"Adiwena, Muh.",0,0.0,1,1,0
"Adss, Ibrahim Ahmed",3,3.0,1,1,1
"Adss, Shimaa",7,7.0,1,1,1
"Aeny, T N",3,3.0,1,1,1
"Affandi, Nurhafizah Dahniar",1,1.0,1,1,1
"Afifi, A.",8,8.0,1,1,1
"Afolabi, P.",19,19.0,1,1,1
"Afolami, S. O.",6,6.0,1,1,1
"Afshar, F. Jahanshahi",9,9.0,1,1,1
"Afshar, Farahnaz Jahanshahi",4,4.0,1,1,1
"Afzal, Ahmed J",28,14.0,2,1,2
"Afzal, Ahmed J.",140,28.0,5,1,4
"Afzal, Muhammad Usman",0,0.0,2,2,0
"Agbaglo, Samuel Y.",6,6.0,1,1,1
"Agbenin, Nnennaya Ogechi",0,0.0,1,1,0
"Agisha, V N",2,2.0,1,1,1
"Agisha, Valiya Nadakkakath",51,51.0,1,1,1
"Agu, C. M.",4,1.0,4,1,2
"Agu, CM",16,4.0,4,2,2
"Agudelo, P",6,6.0,1,1,1
"Agudelo, Paula",51,17.0,3,1,3
"Aguirre-Medina, Juan Francisco",2,2.0,1,1,1
"Ahamad, Lukman",12,2.4,5,1,1
"Aharen, Isao",2,2.0,1,1,1
"Ahmad, Anjum",2,1.0,2,2,1
"Ahmad, Ateeq",4,2.0,2,1,2
"Ahmad, Faheem",26,13.0,2,1,2
"Ahmad, Fayaz",9,9.0,1,1,1
"Ahmad, Gufran",3,3.0,1,1,1
"Ahmad, Lukman",19,19.0,1,1,1
"Ahmad, Muhammad",6,3.0,2,1,2
"Ahmad, Syed Faheem",4,4.0,1,1,1
"Ahmadi, Heri",0,0.0,1,1,0
"Ahmadi, Mahin",12,6.0,2,1,2
"Ahmed, Amal A.",0,0.0,1,1,0
"Ahmed, Dania",2,1.0,2,1,1
"Ahmed, H.",2,1.0,2,1,1
"Ahmed, Hira Manzoo",2,2.0,1,1,1
"Ahmed, Nadeem",0,0.0,1,1,0
"Ahmed, Nevin",4,2.0,2,1,1
"Ahmed, Zainab M.",2,2.0,1,1,1
"Ahuja, Amit",10,5.0,2,1,2
"Aidoo, Atta Kwesi",1,1.0,1,1,1
"Aikawa, T",1,1.0,1,1,1
"Aikawa, T.",28,14.0,2,1,2
"Aikawa, Takuya",57,19.0,3,1,3
"Ainurrachmah, Aida",1,1.0,1,1,1
"Aires, Alfredo",70,35.0,2,1,2
"Aissani, N.",8,4.0,2,1,1
"Aissani, Nadhem",203,40.6,5,1,4
"Aist, S",3,3.0,1,1,1
"Aixia, Yang",0,0.0,1,1,0
"Ajaz, Shamim",1,1.0,1,1,1
"Ajitomi, Atsushi",3,3.0,1,1,1
"Akar, T.",12,12.0,1,1,1
"Akbarova, M. Kh.",0,0.0,1,1,0
"Akbulut, S.",163,40.75,4,1,4
"Akbulut, Suleyman",17,17.0,1,1,1
"Akbulut, SÃÂ¼leyman",23,11.5,2,1,2
"Akhmatovich, N A",1,1.0,1,1,1
"Akhtar, Ambreen",2,2.0,1,1,1
"Akhtar, Haseeb",30,30.0,1,1,1
"Akhtar, M. S.",82,41.0,2,1,2
"Akhtar, M. Sayeed",142,47.333333333333336,3,1,3
"Akhtar, Mohammad",51,25.5,2,2,2
"Akhtar, Mohd. Sayeed",16,8.0,2,1,2
"Akhter, B",0,0.0,1,1,0
"Akhter, Gulwaiz",40,10.0,4,1,3
"Akiba, M",5,5.0,1,1,1
"Akiba, Mitsuteru",36,18.0,2,1,2
"Akinbade, S A",4,4.0,1,1,1
"Akinsanmi, O. A.",11,11.0,1,1,1
"Akinsanya, Aminat Korede",16,8.0,2,1,2
"Akintayo, Adedotun",60,60.0,1,1,1
"Akker, Sebastian Eves-van den",101,50.5,2,2,2
"Akker, Sebastian Eves?Van Den",33,33.0,1,1,1
"Akker, Sebastian EvesÃ¢ÂÂVan Den",33,33.0,1,1,1
"Akker, Sebastian EvesÃ¢ÂÂvan den",20,20.0,1,1,1
"Akpheokhai, Leonard I.",3,3.0,1,1,1
"Akram, Mohammad",13,13.0,1,1,1
"Aksoy, H. M.",12,12.0,1,1,1
"Al Juboori,, Firas",0,0.0,1,1,0
"Al-Abed, Adel",0,0.0,1,1,0
"Al-Ateeq, Talal K.",6,3.0,2,1,2
"Al-Azzazy, M. M.",0,0.0,1,1,0
"Al-Azzazy, Mahmoud M.",3,3.0,1,1,1
"Al-Banna, Luma",71,23.666666666666668,3,2,1
"Al-Ghnam, Heba A. A.",0,0.0,1,1,0
"Al-Hammouri, A.",1,0.5,2,1,1
"Al-Hazmi, A S",24,6.0,4,2,4
"Al-Hazmi, A.S.",24,24.0,1,1,1
"Al-Hazmi, Ahmad S.",24,12.0,2,1,2
"Al-Hazmi, Ahmad Saad",56,56.0,1,1,1
"Al-Idrus, Aisyafaznim",6,6.0,1,1,1
"Al-Khafaji, Riyadh T",3,3.0,1,1,1
