Journal,Total_Citations,Mean_Citations,N_Papers,N_Genera
2012 IEEE International Geoscience and Remote Sensing Symposium,1,1.0,1,1
3 Biotech,57,5.7,10,2
?????,3,1.0,3,2
???????,0,0.0,1,1
????????,1,0.5,2,1
??????????,0,0.0,5,1
???????????,0,0.0,3,1
ACADEMIA JOURNAL OF BIOLOGY,0,0.0,2,2
ACS Applied Materials & Interfaces,20,20.0,1,1
ACS Applied Nano Materials,20,20.0,1,1
ACS Omega,46,11.5,4,3
AGRI-ENVIRONMENTAL SCIENCES,3,3.0,1,1
AGRIVITA Journal of Agricultural Science,1,1.0,1,1
AIMS Microbiology,1,1.0,1,1
AIP Conference Proceedings,12,6.0,2,2
AL-MUKHTAR JOURNAL OF SCIENCES,0,0.0,1,1
ARPHA Conference Abstracts,0,0.0,1,1
Acarines Journal of the Egyptian Society of Acarology,2,0.6666666666666666,3,2
Acarologia,3,3.0,1,1
Acta Agriculturae Scandinavica Section B - Soil & Plant Science,192,6.857142857142857,28,4
Acta Agriculturae Slovenica,32,5.333333333333333,6,2
Acta Agrobotanica,15,2.142857142857143,7,1
Acta Agronomica Sinica,11,11.0,1,1
Acta AgrÃÂ­cola y Pecuaria,1,1.0,1,1
Acta Amazonica,14,4.666666666666667,3,2
Acta Biochimica et Biophysica Sinica,33,8.25,4,2
Acta Biologica,1,1.0,1,1
Acta Biotheoretica,0,0.0,1,1
Acta Botanica Neerlandica,6,6.0,1,1
Acta Chimica Slovenica,3,3.0,1,1
Acta Ecologica Sinica,24,12.0,2,2
Acta Iguazu,2,2.0,1,1
Acta Microbiologica Sinica,27,4.5,6,2
Acta Mycologica,1,1.0,1,1
Acta Oecologica,45,22.5,2,1
Acta Parasitologica,5,2.5,2,2
Acta Physiologiae Plantarum,120,17.142857142857142,7,2
Acta Phytopathologica et Entomologica Hungarica,4,1.3333333333333333,3,1
Acta Scientiarum Agronomy,38,6.333333333333333,6,1
Acta Scientiarum Biological Sciences,3,1.5,2,1
