Genus,Mean_Cit,Total_Cit,N_Papers
2008,2.0,2,1
Anguina,16.833333333333332,909,54
Aphelenchoides,78.27027027027027,8688,111
Belonolaimus,24.57894736842105,467,19
Bursaphelenchus,212.57857142857142,29761,140
Criconema,7.702702702702703,285,37
Criconemoides,10.333333333333334,217,21
Ditylenchus,93.47297297297297,6917,74
Dolichodorus,4.916666666666667,118,24
Globodera,99.79047619047618,10478,105
Helicotylenchus,19.82608695652174,1368,69
Hemicycliophora,6.395348837209302,275,43
Heterodera,86.53508771929825,19730,228
Hirschmanniella,23.243243243243242,860,37
Hoplolaimus,11.957446808510639,562,47
Litylenchus,15.5,93,6
Longidorus,11.987878787878788,1978,165
Meloidodera,16.1875,259,16
Meloidogyne,99.90483870967742,61941,620
Mesocriconema,12.854166666666666,617,48
Nacobbus,261.8666666666667,3928,15
Nanidorus,6.333333333333333,38,6
Paratrichodorus,11.72,293,25
Pratylenchus,48.38688524590164,14758,305
Radopholus,249.96491228070175,14248,57
Rotylenchulus,304.97727272727275,13419,44
Rotylenchus,14.688888888888888,1983,135
Scutellonema,11.346938775510203,556,49
Trichodorus,9.283333333333333,557,60
Tylenchorhynchus,15.532467532467532,1196,77
Tylenchulus,34.5,1035,30
Xiphinema,37.95762711864407,13437,354
