Genus,Species,citations_count,citations_mean,citations_sum,citations_max,pub_year_min,pub_year_max
Aphelenchoides,besseyi,6,1224.0,7344,1224,2013,2013
Bursaphelenchus,xylophilus,37,744.2972972972973,27539,1224,1988,2013
Ditylenchus,dipsaci,6,892.3333333333334,5354,1224,2008,2013
Globodera,pallida,9,265.8888888888889,2393,300,1995,2002
Globodera,rostochiensis,18,249.77777777777777,4496,408,1991,2012
Helicotylenchus,dihystera,1,232.0,232,232,1986,1986
Heterodera,avenae,6,489.3333333333333,2936,964,2009,2012
Heterodera,glycines,24,287.1666666666667,6892,408,1986,2017
Heterodera,humuli,1,186.0,186,186,2003,2003
Heterodera,mothi,3,186.0,558,186,2003,2003
Heterodera,schachtii,12,283.3333333333333,3400,382,1997,2013
Meloidogyne,arenaria,18,288.77777777777777,5198,425,1985,2011
Meloidogyne,chitwoodi,5,185.2,926,198,1993,2011
Meloidogyne,enterolobii,6,182.0,1092,182,2011,2011
Meloidogyne,fallax,1,182.0,182,182,2011,2011
Meloidogyne,hapla,13,242.0,3146,376,1985,2011
Meloidogyne,incognita,64,270.640625,17321,906,1985,2016
Meloidogyne,javanica,28,270.14285714285717,7564,425,1985,2011
Meloidogyne,naasi,2,190.0,380,198,1993,2011
Nacobbus,aberrans,3,1224.0,3672,1224,2013,2013
Pratylenchus,neglectus,2,229.0,458,229,2008,2008
Pratylenchus,penetrans,13,207.92307692307693,2703,301,1991,2006
Pratylenchus,teres,1,229.0,229,229,2008,2008
Pratylenchus,thornei,2,229.0,458,229,2008,2008
Radopholus,similis,19,722.3684210526316,13725,1224,2006,2013
Rotylenchulus,reniformis,10,1224.0,12240,1224,2013,2013
Tylenchorhynchus,claytoni,1,232.0,232,232,1986,1986
Xiphinema,index,5,1224.0,6120,1224,2013,2013
