Year,Theme,Count
1990,Control,0
1990,Genomics,0
1990,Ecology,0
1990,Pathology,0
1990,Molecular,0
1991,Control,17
1991,Genomics,0
1991,Ecology,8
1991,Pathology,17
1991,Molecular,19
1992,Control,9
1992,Genomics,0
1992,Ecology,7
1992,Pathology,4
1992,Molecular,8
1993,Control,6
1993,Genomics,0
1993,Ecology,9
1993,Pathology,11
1993,Molecular,20
1994,Control,2
1994,Genomics,0
1994,Ecology,1
1994,Pathology,2
1994,Molecular,2
1995,Control,4
1995,Genomics,0
1995,Ecology,1
1995,Pathology,2
1995,Molecular,13
1996,Control,2
1996,Genomics,0
1996,Ecology,11
1996,Pathology,1
1996,Molecular,5
1997,Control,11
1997,Genomics,8
1997,Ecology,6
1997,Pathology,9
1997,Molecular,49
1998,Control,10
1998,Genomics,0
1998,Ecology,7
1998,Pathology,7
1998,Molecular,17
1999,Control,14
1999,Genomics,0
1999,Ecology,21
1999,Pathology,10
1999,Molecular,20
2000,Control,16
2000,Genomics,10
2000,Ecology,38
2000,Pathology,10
2000,Molecular,43
2001,Control,24
2001,Genomics,0
2001,Ecology,35
2001,Pathology,28
2001,Molecular,51
2002,Control,16
2002,Genomics,1
2002,Ecology,26
2002,Pathology,24
2002,Molecular,44
2003,Control,9
2003,Genomics,2
2003,Ecology,14
2003,Pathology,3
2003,Molecular,20
2004,Control,18
2004,Genomics,8
2004,Ecology,23
2004,Pathology,9
2004,Molecular,29
2005,Control,17
2005,Genomics,0
2005,Ecology,21
2005,Pathology,3
2005,Molecular,19
2006,Control,15
2006,Genomics,4
2006,Ecology,25
2006,Pathology,20
2006,Molecular,25
2007,Control,10
2007,Genomics,5
2007,Ecology,25
2007,Pathology,8
2007,Molecular,27
2008,Control,22
2008,Genomics,25
2008,Ecology,37
2008,Pathology,34
2008,Molecular,66
2009,Control,9
2009,Genomics,7
2009,Ecology,14
2009,Pathology,13
2009,Molecular,43
2010,Control,33
2010,Genomics,2
2010,Ecology,59
2010,Pathology,20
2010,Molecular,89
2011,Control,65
2011,Genomics,26
2011,Ecology,75
2011,Pathology,39
2011,Molecular,141
2012,Control,55
2012,Genomics,13
2012,Ecology,44
2012,Pathology,44
2012,Molecular,106
2013,Control,29
2013,Genomics,22
2013,Ecology,42
2013,Pathology,87
2013,Molecular,99
2014,Control,26
2014,Genomics,10
2014,Ecology,27
2014,Pathology,30
2014,Molecular,75
2015,Control,27
2015,Genomics,1
2015,Ecology,30
2015,Pathology,31
2015,Molecular,69
2016,Control,36
2016,Genomics,23
2016,Ecology,42
2016,Pathology,30
2016,Molecular,95
2017,Control,8
2017,Genomics,6
2017,Ecology,54
2017,Pathology,3
2017,Molecular,106
2018,Control,10
2018,Genomics,6
2018,Ecology,41
2018,Pathology,21
2018,Molecular,61
2019,Control,16
2019,Genomics,6
2019,Ecology,47
2019,Pathology,12
2019,Molecular,75
2020,Control,141
2020,Genomics,23
2020,Ecology,140
2020,Pathology,133
2020,Molecular,192
2021,Control,49
2021,Genomics,4
2021,Ecology,61
2021,Pathology,31
2021,Molecular,87
2022,Control,33
2022,Genomics,8
2022,Ecology,42
2022,Pathology,15
2022,Molecular,40
2023,Control,5
2023,Genomics,0
2023,Ecology,6
2023,Pathology,2
2023,Molecular,15
