Country,N_Genera,N_Species,N_Publications,Mean_Citations,Total_Citations,Citations_Per_Paper
Algeria; France,1,1,2,16.0,32,16.0
Algeria; Germany,1,1,2,0.0,0,0.0
Algeria; Italy; Algeria,1,1,1,3.0,3,3.0
Algeria; Morocco,1,1,1,0.0,0,0.0
Algeria; Portugal; Algeria,1,1,1,3.0,3,3.0
Argentina,7,8,16,22.625,362,22.625
Argentina; Argentina,2,2,9,7.333333333333333,66,7.333333333333333
Argentina; Argentina; Argentina,1,1,7,9.428571428571429,66,9.428571428571429
Argentina; Argentina; Argentina; Argentina,1,1,1,26.0,26,26.0
Argentina; Argentina; Germany; Argentina,1,1,1,6.0,6,6.0
Argentina; Brazil; Spain; Czechia; Argentina; Argentina,1,1,1,25.0,25,25.0
Argentina; Chile; Argentina; Chile,1,1,1,8.0,8,8.0
Argentina; Spain,1,1,1,5.0,5,5.0
Australia,13,27,132,26.765151515151516,3533,26.765151515151516
Australia; Australia,12,20,41,17.658536585365855,724,17.658536585365855
Australia; Australia; Australia,7,8,19,13.842105263157896,263,13.842105263157896
Australia; Australia; Australia; Australia,4,5,9,5.555555555555555,50,5.555555555555555
Australia; Australia; Brazil; Australia,1,1,2,14.0,28,14.0
Australia; Australia; Syria; Australia,1,1,1,35.0,35,35.0
Australia; Australia; United Kingdom,1,1,1,10.0,10,10.0
Australia; Belgium; Syria; Belgium,1,1,2,8.0,16,8.0
Australia; Canada,1,1,1,16.0,16,16.0
Australia; Canada; Australia,1,1,1,17.0,17,17.0
Australia; China,3,3,8,8.875,71,8.875
Australia; China; Australia,1,1,1,2.0,2,2.0
Australia; China; Egypt; Saudi Arabia; Egypt; Egypt,1,1,1,3.0,3,3.0
Australia; Egypt,1,1,1,57.0,57,57.0
Australia; Egypt; Egypt; Egypt; Egypt; Saudi Arabia; Egypt; Saudi Arabia; United Arab Emirates,1,1,2,2.0,4,2.0
Australia; Germany,1,1,1,7.0,7,7.0
Australia; India,1,1,2,11.0,22,11.0
Australia; India; Australia; Australia,1,1,2,0.0,0,0.0
Australia; Iran,1,1,1,41.0,41,41.0
Australia; Iran; Australia,1,1,1,5.0,5,5.0
Australia; Japan,1,1,1,15.0,15,15.0
Australia; Jordan,1,1,1,0.0,0,0.0
Australia; New Zealand,1,1,1,14.0,14,14.0
Australia; Pakistan,1,1,1,7.0,7,7.0
Australia; Portugal,1,1,1,6.0,6,6.0
Australia; Saudi Arabia; Pakistan,1,1,1,5.0,5,5.0
Australia; South Korea,1,1,2,14.0,28,14.0
Australia; South Korea; South Korea,1,1,1,18.0,18,18.0
Australia; Syria; Belgium; Belgium,1,1,1,17.0,17,17.0
Australia; Thailand,1,1,1,3.0,3,3.0
Australia; Turkey,1,1,2,1.0,2,1.0
Australia; Turkey; Turkey,1,1,2,2.0,4,2.0
Australia; Turkey; Turkey; Mexico; United States,1,1,1,33.0,33,33.0
Australia; United Kingdom,1,1,2,29.0,58,29.0
Australia; United States,2,2,2,21.0,42,21.0
Australia; United States; Australia; Australia,1,1,1,0.0,0,0.0
Australia; United States; China; China,1,1,1,13.0,13,13.0
Austria,3,3,15,28.666666666666668,430,28.666666666666668
Austria; Austria,1,1,3,56.0,168,56.0
Austria; Austria; Austria,1,1,1,47.0,47,47.0
Austria; Austria; Germany,1,1,1,4.0,4,4.0
Austria; Austria; Pakistan; Palestinian Territory; Russia; Russia,1,1,1,2.0,2,2.0
Austria; Austria; Poland,1,1,2,35.0,70,35.0
Austria; Austria; United Kingdom,1,1,2,44.0,88,44.0
Austria; Czechia; Germany,1,1,2,92.0,184,92.0
Austria; Egypt; Germany,1,1,1,91.0,91,91.0
Austria; Hungary; Hungary; Germany; Austria; Italy,1,1,1,8.0,8,8.0
Austria; Poland,1,1,2,28.0,56,28.0
Austria; Switzerland; Switzerland; Switzerland; Switzerland,1,1,2,0.0,0,0.0
Austria; United Kingdom; Pakistan,1,1,1,69.0,69,69.0
Bangladesh,3,4,10,2.4,24,2.4
Bangladesh; Bangladesh,2,2,4,3.0,12,3.0
Bangladesh; Bangladesh; Bangladesh,1,1,1,1.0,1,1.0
Bangladesh; Belgium; Canada,1,1,1,5.0,5,5.0
Belarus,1,1,1,0.0,0,0.0
Belgium,9,17,64,37.84375,2422,37.84375
Belgium; Australia,1,1,1,3.0,3,3.0
Belgium; Bangladesh,1,1,1,5.0,5,5.0
Belgium; Belgium,10,19,51,24.235294117647058,1236,24.235294117647058
Belgium; Belgium; Belgium,1,1,1,4.0,4,4.0
Belgium; Belgium; Belgium; Belgium,1,1,1,24.0,24,24.0
Belgium; Belgium; Belgium; China; Costa Rica; Netherlands,1,1,1,30.0,30,30.0
Belgium; Belgium; Belgium; Kenya,1,1,1,31.0,31,31.0
Belgium; Belgium; Czechia,1,1,1,12.0,12,12.0
Belgium; Belgium; Ethiopia; Belgium; United States,1,2,2,63.5,127,63.5
Belgium; Belgium; Ethiopia; United States; Belgium,1,1,1,6.0,6,6.0
Belgium; Belgium; Kenya; Nigeria,1,1,2,8.0,16,8.0
Belgium; Belgium; Morocco,2,2,4,495.5,1982,495.5
Belgium; Belgium; Netherlands,1,1,1,37.0,37,37.0
Belgium; Belgium; Portugal; China; Japan,1,1,1,125.0,125,125.0
Belgium; Belgium; Russia; United States; Belgium,1,1,1,53.0,53,53.0
Belgium; Belgium; South Africa,1,1,1,28.0,28,28.0
Belgium; Belgium; Spain; Italy; United Kingdom,1,1,1,53.0,53,53.0
Belgium; Belgium; Vietnam,1,1,1,6.0,6,6.0
Belgium; Cameroon; Cameroon,1,1,1,0.0,0,0.0
Belgium; Canada; Belgium; Canada,1,1,2,3.0,6,3.0
Belgium; China,2,2,2,27.0,54,27.0
Belgium; China; Belgium,1,1,1,61.0,61,61.0
Belgium; China; China,1,1,2,14.0,28,14.0
Belgium; Czechia; Belgium,1,1,1,4.0,4,4.0
Belgium; Denmark; Bangladesh,1,1,1,13.0,13,13.0
Belgium; Ethiopia; Belgium; Belgium; United States,1,1,1,6.0,6,6.0
Belgium; Ethiopia; Netherlands; Belgium,1,1,1,0.0,0,0.0
Belgium; France,1,1,2,44.0,88,44.0
Belgium; France; Belgium; Belgium; France; Belgium,1,1,2,7.0,14,7.0
Belgium; France; Tunisia,1,1,1,13.0,13,13.0
Belgium; Germany,1,1,1,20.0,20,20.0
Belgium; Greece; United Kingdom; Greece,1,1,1,5.0,5,5.0
Belgium; India,1,1,2,26.0,52,26.0
Belgium; Iran,1,1,1,8.0,8,8.0
Belgium; Iran; Belgium,1,1,1,2.0,2,2.0
Belgium; Iran; Iran; Belgium,2,2,2,16.5,33,16.5
Belgium; Israel,1,1,1,22.0,22,22.0
Belgium; Japan; Canada; Spain; Japan; United Kingdom,1,1,1,36.0,36,36.0
Belgium; Kenya; Kenya,1,1,2,2.0,4,2.0
Belgium; Malaysia,1,1,1,6.0,6,6.0
Belgium; Morocco; Belgium,1,1,2,14.0,28,14.0
Belgium; Myanmar,1,1,1,16.0,16,16.0
Belgium; Netherlands,1,1,2,12.0,24,12.0
Belgium; Netherlands; Senegal,1,1,1,5.0,5,5.0
Belgium; Norway; Norway,1,1,1,3.0,3,3.0
Belgium; Norway; Norway; Kenya; Nigeria; Ethiopia,1,1,2,4.0,8,4.0
Belgium; Philippines; Philippines,1,1,1,1.0,1,1.0
Belgium; Philippines; South Africa,1,1,2,17.0,34,17.0
Belgium; Philippines; United States,1,1,1,11.0,11,11.0
Belgium; Portugal; South Africa; Spain; Portugal; Belgium,1,1,1,11.0,11,11.0
Belgium; Russia; Belgium; Russia,1,1,1,11.0,11,11.0
Belgium; Russia; Portugal; Spain; Russia; United States; Russia,1,1,2,5.0,10,5.0
Belgium; Russia; United Kingdom,1,1,1,142.0,142,142.0
Belgium; Russia; United States; Turkey,1,1,1,20.0,20,20.0
Belgium; Russia; United States; United States; Ghana; Italy; United States,1,1,1,26.0,26,26.0
Belgium; Slovakia; Belgium; Italy; Czechia,1,1,1,26.0,26,26.0
Belgium; South Africa,2,2,3,4.333333333333333,13,4.333333333333333
Belgium; South Africa; Philippines; Belgium; Tanzania,1,1,1,5.0,5,5.0
Belgium; South Africa; South Africa,2,3,3,12.0,36,12.0
Belgium; South Africa; South Africa; South Africa,1,1,1,0.0,0,0.0
Belgium; Spain; Vietnam,1,2,2,7.0,14,7.0
Belgium; Sweden; Belgium; Uganda,1,1,2,4.0,8,4.0
Belgium; Syria; Belgium,1,1,1,25.0,25,25.0
Belgium; Togo,1,1,1,6.0,6,6.0
Belgium; Uganda,1,1,2,25.0,50,25.0
Belgium; Uganda; Belgium,1,1,2,3.0,6,3.0
Belgium; United Kingdom; Belgium,1,1,1,2.0,2,2.0
Belgium; United States,1,1,1,33.0,33,33.0
Belgium; United States; Iran; United States; Iran; United States,1,1,2,5.0,10,5.0
Belgium; United States; Mexico; Russia,1,1,1,3.0,3,3.0
Belgium; Vietnam,5,6,6,5.0,30,5.0
Belgium; Vietnam; Belgium,1,1,2,3.5,7,3.5
Belgium; Vietnam; Spain,1,1,1,19.0,19,19.0
Belgium; Vietnam; Vietnam,1,1,1,2.0,2,2.0
Benin,1,1,1,23.0,23,23.0
Benin; Belgium,1,1,1,50.0,50,50.0
Benin; Benin; Benin,1,1,1,0.0,0,0.0
Benin; Botswana,1,1,1,43.0,43,43.0
Benin; Kenya; Belgium; Belgium,1,1,1,0.0,0,0.0
Benin; South Africa; Nigeria,1,1,1,16.0,16,16.0
Bolivia,1,1,1,3.0,3,3.0
Bosnia and Herzegovina; Croatia,1,1,1,2.0,2,2.0
Brazil,12,36,471,7.193205944798302,3388,7.193205944798302
Brazil; Argentina; Argentina,1,1,1,7.0,7,7.0
Brazil; Brazil,12,24,286,6.059440559440559,1733,6.059440559440559
Brazil; Brazil; Brazil,10,20,98,8.091836734693878,793,8.091836734693878
Brazil; Brazil; Brazil; Brazil,6,10,40,4.225,169,4.225
Brazil; Brazil; Brazil; Brazil; Brazil,2,3,4,12.0,48,12.0
Brazil; Brazil; Brazil; Brazil; Brazil; Brazil; Brazil,1,1,1,14.0,14,14.0
Brazil; Brazil; Brazil; Brazil; France,1,1,1,7.0,7,7.0
Brazil; Brazil; Brazil; Brazil; France; Brazil,1,1,2,8.0,16,8.0
Brazil; Brazil; Brazil; Brazil; Peru,1,1,3,7.333333333333333,22,7.333333333333333
Brazil; Brazil; Brazil; Brazil; Sweden; Brazil,1,1,2,3.0,6,3.0
Brazil; Brazil; Brazil; France,1,2,3,34.666666666666664,104,34.666666666666664
Brazil; Brazil; France,1,1,1,18.0,18,18.0
Brazil; Brazil; France; Brazil; Brazil,1,1,1,14.0,14,14.0
Brazil; Brazil; Netherlands; France,1,1,2,47.0,94,47.0
Brazil; Brazil; United States,1,1,1,0.0,0,0.0
Brazil; Canada,1,1,1,48.0,48,48.0
Brazil; Canada; Brazil; Canada,1,1,2,11.0,22,11.0
