Crop,Genus,Count
Banana,aphelenchoides,4
Banana,belonolaimus,1
Banana,bursaphelenchus,1
Banana,globodera,2
Banana,helicotylenchus,65
Banana,hemicriconemoides,1
Banana,heterodera,5
Banana,hoplolaimus,5
Banana,meloidogyne,61
Banana,pratylenchus,52
Banana,radopholus,128
Banana,rotylenchulus,1
Banana,rotylenchus,1
Banana,scutellonema,2
Banana,tylenchulus,1
Citrus,aphelenchoides,5
Citrus,belonolaimus,3
Citrus,bursaphelenchus,3
Citrus,ditylenchus,3
Citrus,globodera,6
Citrus,helicotylenchus,5
Citrus,hemicycliophora,6
Citrus,heterodera,56
Citrus,hoplolaimus,2
Citrus,longidorus,18
Citrus,meloidogyne,68
Citrus,mesocriconema,1
Citrus,paratrichodorus,3
Citrus,pratylenchus,29
Citrus,radopholus,31
Citrus,rotylenchulus,1
Citrus,rotylenchus,3
Citrus,trichodorus,2
Citrus,tylenchulus,143
Citrus,xiphinema,5
Coffee,belonolaimus,1
Coffee,hoplolaimus,1
Coffee,meloidogyne,113
Coffee,pratylenchus,36
Coffee,radopholus,6
Coffee,rotylenchulus,1
Corn/Maize,anguina,1
Corn/Maize,aphelenchoides,16
Corn/Maize,belonolaimus,11
Corn/Maize,bursaphelenchus,16
Corn/Maize,ditylenchus,11
Corn/Maize,globodera,11
Corn/Maize,helicotylenchus,21
Corn/Maize,hemicycliophora,1
Corn/Maize,heterodera,160
Corn/Maize,hirschmanniella,1
Corn/Maize,hoplolaimus,13
Corn/Maize,litylenchus,1
Corn/Maize,longidorus,6
Corn/Maize,meloidogyne,140
Corn/Maize,mesocriconema,1
Corn/Maize,paratrichodorus,4
Corn/Maize,pratylenchus,136
Corn/Maize,radopholus,6
Corn/Maize,rotylenchulus,14
Corn/Maize,rotylenchus,1
Corn/Maize,scutellonema,2
Corn/Maize,trichodorus,2
Corn/Maize,tylenchorhynchus,10
Corn/Maize,xiphinema,7
Cotton,aphelenchoides,3
Cotton,belonolaimus,12
Cotton,bursaphelenchus,9
Cotton,ditylenchus,1
Cotton,globodera,2
Cotton,helicotylenchus,12
Cotton,hemicycliophora,1
Cotton,heterodera,20
Cotton,hoplolaimus,25
Cotton,meloidogyne,300
Cotton,paratrichodorus,1
Cotton,pratylenchus,15
Cotton,radopholus,1
Cotton,rotylenchulus,123
Cotton,tylenchorhynchus,1
Potato,aphelenchoides,31
Potato,belonolaimus,8
Potato,bursaphelenchus,19
Potato,ditylenchus,97
Potato,globodera,1083
Potato,helicotylenchus,9
Potato,hemicycliophora,1
Potato,heterodera,94
Potato,hirschmanniella,2
Potato,hoplolaimus,2
Potato,longidorus,11
Potato,meloidogyne,215
Potato,nacobbus,12
Potato,nanidorus,1
Potato,paratrichodorus,24
Potato,pratylenchus,128
Potato,radopholus,5
Potato,rotylenchulus,5
Potato,rotylenchus,1
Potato,scutellonema,3
Potato,trichodorus,6
Potato,tylenchorhynchus,1
Potato,tylenchulus,3
Potato,xiphinema,5
Rice,aphelenchoides,122
Rice,belonolaimus,2
Rice,bursaphelenchus,8
Rice,ditylenchus,1
Rice,globodera,11
Rice,helicotylenchus,12
Rice,hemicriconemoides,3
Rice,hemicycliophora,8
Rice,heterodera,92
Rice,hirschmanniella,24
Rice,hoplolaimus,6
Rice,longidorus,1
Rice,meloidogyne,182
Rice,pratylenchus,34
Rice,radopholus,5
Rice,rotylenchulus,2
Rice,trichodorus,1
Rice,tylenchorhynchus,4
Rice,tylenchulus,2
Rice,xiphinema,3
Soybean,aphelenchoides,14
Soybean,belonolaimus,12
Soybean,bursaphelenchus,5
Soybean,ditylenchus,6
Soybean,globodera,20
Soybean,helicotylenchus,32
Soybean,hemicycliophora,2
Soybean,heterodera,1317
Soybean,hoplolaimus,27
Soybean,longidorus,2
Soybean,meloidogyne,317
Soybean,paratrichodorus,1
Soybean,pratylenchus,98
Soybean,radopholus,3
Soybean,rotylenchulus,38
Soybean,scutellonema,1
Soybean,tylenchorhynchus,2
Soybean,xiphinema,6
Sugar Beet,ditylenchus,19
Sugar Beet,globodera,18
Sugar Beet,helicotylenchus,2
Sugar Beet,heterodera,300
Sugar Beet,longidorus,12
Sugar Beet,meloidogyne,37
Sugar Beet,mesocriconema,1
Sugar Beet,nacobbus,8
Sugar Beet,paratrichodorus,1
Sugar Beet,pratylenchus,4
Sugar Beet,rotylenchulus,2
Sugar Beet,trichodorus,2
Sugar Beet,xiphinema,6
Tobacco,aphelenchoides,5
Tobacco,bursaphelenchus,5
Tobacco,ditylenchus,2
Tobacco,globodera,67
Tobacco,helicotylenchus,3
Tobacco,heterodera,24
Tobacco,longidorus,6
Tobacco,meloidogyne,177
Tobacco,paratrichodorus,28
Tobacco,pratylenchus,30
Tobacco,radopholus,7
Tobacco,rotylenchulus,6
Tobacco,scutellonema,1
Tobacco,trichodorus,10
Tobacco,tylenchorhynchus,1
Tobacco,xiphinema,18
Tomato,anguina,1
Tomato,aphelenchoides,52
Tomato,belonolaimus,6
Tomato,bursaphelenchus,14
Tomato,ditylenchus,15
Tomato,globodera,116
Tomato,helicotylenchus,11
Tomato,hemicycliophora,6
Tomato,heterodera,58
Tomato,hirschmanniella,2
Tomato,hoplolaimus,4
Tomato,litylenchus,1
Tomato,longidorus,31
Tomato,meloidogyne,1664
Tomato,nacobbus,26
Tomato,paratrichodorus,2
Tomato,pratylenchus,45
Tomato,radopholus,7
Tomato,rotylenchulus,14
Tomato,scutellonema,3
Tomato,trichodorus,1
Tomato,tylenchorhynchus,2
Tomato,xiphinema,25
Wheat,anguina,18
Wheat,aphelenchoides,5
Wheat,belonolaimus,1
Wheat,bursaphelenchus,8
Wheat,ditylenchus,10
Wheat,globodera,11
Wheat,helicotylenchus,13
Wheat,hemicycliophora,6
Wheat,heterodera,269
Wheat,hirschmanniella,1
Wheat,hoplolaimus,7
Wheat,longidorus,8
Wheat,meloidogyne,92
Wheat,mesocriconema,4
Wheat,paratrichodorus,5
Wheat,pratylenchus,200
Wheat,radopholus,9
Wheat,rotylenchulus,1
Wheat,rotylenchus,1
Wheat,scutellonema,1
Wheat,trichodorus,3
Wheat,tylenchorhynchus,5
Wheat,tylenchulus,1
Wheat,xiphinema,6
