Year,Category,Normalized_Count
1980,Yield Loss,0.13253012048192772
1980,Economic Damage,0.2891566265060241
1980,Management,0.6506024096385542
1980,Resistance,0.6987951807228916
1981,Yield Loss,0.045454545454545456
1981,Economic Damage,0.2727272727272727
1981,Management,0.23863636363636365
1981,Resistance,0.3522727272727273
1982,Yield Loss,0.09876543209876543
1982,Economic Damage,0.35802469135802467
1982,Management,0.3888888888888889
1982,Resistance,0.5679012345679012
1983,Yield Loss,0.017857142857142856
1983,Economic Damage,0.3482142857142857
1983,Management,0.29464285714285715
1983,Resistance,0.6607142857142857
1984,Yield Loss,0.036036036036036036
1984,Economic Damage,0.23423423423423423
1984,Management,0.2882882882882883
1984,Resistance,0.40540540540540543
1985,Yield Loss,0.032520325203252036
1985,Economic Damage,0.22764227642276422
1985,Management,0.2601626016260163
1985,Resistance,0.6097560975609756
1986,Yield Loss,0.09022556390977443
1986,Economic Damage,0.41353383458646614
1986,Management,0.3308270676691729
1986,Resistance,0.6842105263157895
1987,Yield Loss,0.07246376811594203
1987,Economic Damage,0.37681159420289856
1987,Management,0.5289855072463768
1987,Resistance,0.5869565217391305
1988,Yield Loss,0.06711409395973154
1988,Economic Damage,0.2483221476510067
1988,Management,0.37583892617449666
1988,Resistance,0.4966442953020134
1989,Yield Loss,0.01694915254237288
1989,Economic Damage,0.15819209039548024
1989,Management,0.4971751412429379
1989,Resistance,0.6666666666666666
1990,Yield Loss,0.037037037037037035
1990,Economic Damage,0.32592592592592595
1990,Management,0.4740740740740741
1990,Resistance,0.5111111111111111
1991,Yield Loss,0.05649717514124294
1991,Economic Damage,0.22598870056497175
1991,Management,0.559322033898305
1991,Resistance,0.5423728813559322
1992,Yield Loss,0.06395348837209303
1992,Economic Damage,0.22674418604651161
1992,Management,0.3546511627906977
1992,Resistance,0.7267441860465116
1993,Yield Loss,0.06043956043956044
1993,Economic Damage,0.1813186813186813
1993,Management,0.3626373626373626
1993,Resistance,0.5659340659340659
1994,Yield Loss,0.08854166666666667
1994,Economic Damage,0.2552083333333333
1994,Management,0.53125
1994,Resistance,0.5989583333333334
1995,Yield Loss,0.07602339181286549
1995,Economic Damage,0.25146198830409355
1995,Management,0.42105263157894735
1995,Resistance,0.7719298245614035
1996,Yield Loss,0.03550295857988166
1996,Economic Damage,0.24260355029585798
1996,Management,0.3905325443786982
1996,Resistance,1.0946745562130178
1997,Yield Loss,0.02830188679245283
1997,Economic Damage,0.19811320754716982
1997,Management,0.5707547169811321
1997,Resistance,1.4528301886792452
1998,Yield Loss,0.010752688172043012
1998,Economic Damage,0.17204301075268819
1998,Management,0.4731182795698925
1998,Resistance,0.8817204301075269
1999,Yield Loss,0.05286343612334802
1999,Economic Damage,0.3876651982378855
1999,Management,0.6167400881057269
1999,Resistance,1.0704845814977975
2000,Yield Loss,0.05426356589147287
2000,Economic Damage,0.32558139534883723
2000,Management,0.5852713178294574
2000,Resistance,0.6744186046511628
2001,Yield Loss,0.08108108108108109
2001,Economic Damage,0.30743243243243246
2001,Management,0.46283783783783783
2001,Resistance,0.8378378378378378
2002,Yield Loss,0.03225806451612903
2002,Economic Damage,0.27598566308243727
2002,Management,0.5125448028673835
2002,Resistance,0.5017921146953405
2003,Yield Loss,0.030405405405405407
2003,Economic Damage,0.2533783783783784
2003,Management,0.8141891891891891
2003,Resistance,0.6317567567567568
2004,Yield Loss,0.0705521472392638
2004,Economic Damage,0.38650306748466257
2004,Management,0.754601226993865
2004,Resistance,0.6349693251533742
2005,Yield Loss,0.04603580562659847
2005,Economic Damage,0.27621483375959077
2005,Management,0.5524296675191815
2005,Resistance,0.7544757033248082
2006,Yield Loss,0.05722070844686648
2006,Economic Damage,0.3133514986376022
2006,Management,0.776566757493188
2006,Resistance,0.9209809264305178
2007,Yield Loss,0.04594594594594595
2007,Economic Damage,0.25675675675675674
2007,Management,0.6702702702702703
2007,Resistance,0.5675675675675675
2008,Yield Loss,0.08274231678486997
2008,Economic Damage,0.3215130023640662
2008,Management,0.7919621749408984
2008,Resistance,0.7115839243498818
2009,Yield Loss,0.04738154613466334
2009,Economic Damage,0.3516209476309227
2009,Management,0.8428927680798005
2009,Resistance,0.7980049875311721
2010,Yield Loss,0.05647058823529412
2010,Economic Damage,0.35058823529411764
2010,Management,0.8823529411764706
2010,Resistance,0.7082352941176471
