Year,Category,Count
1990,Climate-Related,0.16296296296296298
1991,Climate-Related,0.3672316384180791
1992,Climate-Related,0.21511627906976744
1993,Climate-Related,0.25274725274725274
1994,Climate-Related,0.4166666666666667
1995,Climate-Related,0.3391812865497076
1996,Climate-Related,0.40236686390532544
1997,Climate-Related,0.20754716981132076
1998,Climate-Related,0.1774193548387097
1999,Climate-Related,0.3039647577092511
2000,Climate-Related,0.24031007751937986
2001,Climate-Related,0.20608108108108109
2002,Climate-Related,0.17204301075268819
2003,Climate-Related,0.18243243243243243
2004,Climate-Related,0.13803680981595093
2005,Climate-Related,0.16879795396419436
2006,Climate-Related,0.1553133514986376
2007,Climate-Related,0.0945945945945946
2008,Climate-Related,0.20567375886524822
2009,Climate-Related,0.14214463840399003
2010,Climate-Related,0.1223529411764706
2011,Climate-Related,0.2111368909512761
2012,Climate-Related,0.15863453815261044
2013,Climate-Related,0.15327102803738318
2014,Climate-Related,0.0996309963099631
2015,Climate-Related,0.20710059171597633
2016,Climate-Related,0.11855670103092783
2017,Climate-Related,0.17455138662316477
2018,Climate-Related,0.11661341853035144
2019,Climate-Related,0.14267990074441686
2020,Climate-Related,0.13906581740976645
2021,Climate-Related,0.15602836879432624
2022,Climate-Related,0.1042535446205171
2023,Climate-Related,0.13976705490848584
1990,Environmental/Sustainable,0.022222222222222223
1991,Environmental/Sustainable,0.022598870056497175
1992,Environmental/Sustainable,0.08139534883720931
1993,Environmental/Sustainable,0.08791208791208792
1994,Environmental/Sustainable,0.08333333333333333
1995,Environmental/Sustainable,0.03508771929824561
1996,Environmental/Sustainable,0.05325443786982249
1997,Environmental/Sustainable,0.09905660377358491
1998,Environmental/Sustainable,0.14516129032258066
1999,Environmental/Sustainable,0.05726872246696035
2000,Environmental/Sustainable,0.09689922480620156
2001,Environmental/Sustainable,0.11486486486486487
2002,Environmental/Sustainable,0.13261648745519714
2003,Environmental/Sustainable,0.16554054054054054
2004,Environmental/Sustainable,0.08588957055214724
2005,Environmental/Sustainable,0.08951406649616368
2006,Environmental/Sustainable,0.10354223433242507
2007,Environmental/Sustainable,0.26756756756756755
2008,Environmental/Sustainable,0.17966903073286053
2009,Environmental/Sustainable,0.14962593516209477
2010,Environmental/Sustainable,0.10352941176470588
2011,Environmental/Sustainable,0.1554524361948956
2012,Environmental/Sustainable,0.2389558232931727
2013,Environmental/Sustainable,0.1588785046728972
2014,Environmental/Sustainable,0.15313653136531366
2015,Environmental/Sustainable,0.1913214990138067
2016,Environmental/Sustainable,0.1563573883161512
2017,Environmental/Sustainable,0.12071778140293637
2018,Environmental/Sustainable,0.18370607028753994
2019,Environmental/Sustainable,0.16129032258064516
2020,Environmental/Sustainable,0.21443736730360935
2021,Environmental/Sustainable,0.23302938196555217
2022,Environmental/Sustainable,0.20683903252710592
2023,Environmental/Sustainable,0.22628951747088186
