Year,Impact_Type,Count
1990,Yield loss,0
1990,Economic damage,0
1990,Control cost,0
1990,Resistance,0
1991,Yield loss,0
1991,Economic damage,18
1991,Control cost,0
1991,Resistance,17
1992,Yield loss,3
1992,Economic damage,6
1992,Control cost,8
1992,Resistance,5
1993,Yield loss,1
1993,Economic damage,1
1993,Control cost,1
1993,Resistance,5
1994,Yield loss,0
1994,Economic damage,2
1994,Control cost,1
1994,Resistance,1
1995,Yield loss,0
1995,Economic damage,2
1995,Control cost,6
1995,Resistance,3
1996,Yield loss,0
1996,Economic damage,5
1996,Control cost,2
1996,Resistance,0
1997,Yield loss,1
1997,Economic damage,6
1997,Control cost,1
1997,Resistance,10
1998,Yield loss,0
1998,Economic damage,1
1998,Control cost,6
1998,Resistance,6
1999,Yield loss,2
1999,Economic damage,8
1999,Control cost,8
1999,Resistance,7
2000,Yield loss,3
2000,Economic damage,17
2000,Control cost,17
2000,Resistance,5
2001,Yield loss,0
2001,Economic damage,21
2001,Control cost,1
2001,Resistance,23
2002,Yield loss,0
2002,Economic damage,12
2002,Control cost,13
2002,Resistance,8
2003,Yield loss,2
2003,Economic damage,5
2003,Control cost,5
2003,Resistance,4
2004,Yield loss,3
2004,Economic damage,13
2004,Control cost,7
2004,Resistance,9
2005,Yield loss,0
2005,Economic damage,3
2005,Control cost,5
2005,Resistance,9
2006,Yield loss,0
2006,Economic damage,6
2006,Control cost,14
2006,Resistance,1
2007,Yield loss,4
2007,Economic damage,16
2007,Control cost,15
2007,Resistance,5
2008,Yield loss,8
2008,Economic damage,28
2008,Control cost,22
2008,Resistance,5
2009,Yield loss,4
2009,Economic damage,5
2009,Control cost,9
2009,Resistance,4
2010,Yield loss,2
2010,Economic damage,8
2010,Control cost,20
2010,Resistance,18
2011,Yield loss,3
2011,Economic damage,16
2011,Control cost,66
2011,Resistance,49
2012,Yield loss,4
2012,Economic damage,35
2012,Control cost,25
2012,Resistance,35
2013,Yield loss,0
2013,Economic damage,94
2013,Control cost,25
2013,Resistance,22
2014,Yield loss,12
2014,Economic damage,25
2014,Control cost,20
2014,Resistance,24
2015,Yield loss,1
2015,Economic damage,9
2015,Control cost,15
2015,Resistance,14
2016,Yield loss,0
2016,Economic damage,22
2016,Control cost,21
2016,Resistance,16
2017,Yield loss,1
2017,Economic damage,10
2017,Control cost,5
2017,Resistance,0
2018,Yield loss,0
2018,Economic damage,18
2018,Control cost,8
2018,Resistance,2
2019,Yield loss,6
2019,Economic damage,16
2019,Control cost,12
2019,Resistance,2
2020,Yield loss,13
2020,Economic damage,91
2020,Control cost,107
2020,Resistance,55
2021,Yield loss,13
2021,Economic damage,32
2021,Control cost,35
2021,Resistance,9
2022,Yield loss,3
2022,Economic damage,23
2022,Control cost,25
2022,Resistance,3
2023,Yield loss,0
2023,Economic damage,3
2023,Control cost,4
2023,Resistance,0
