Genus,PC1,PC2,Cluster
anguina,-0.3862387021283812,0.7225333107529912,3
aphelenchoides,1.4583190458959965,1.6490347304977142,0
belonolaimus,-0.6314753971545143,0.00344866937033867,3
bursaphelenchus,1.5040641097866547,-0.8247105098025744,3
criconema,-1.5844352758998514,-0.28828375484747903,1
ditylenchus,0.24106096876003616,0.6373158859723158,3
dolichodorus,-0.4793482433353212,0.3332198477600892,3
globodera,1.2841487779573404,-1.1191912671853537,3
helicotylenchus,-0.1784137019438482,0.15397284486065438,3
hemicriconemoides,-1.705814892520487,-0.9646170619518638,1
hemicycliophora,-0.17483881547421495,0.4937864674732631,3
heterodera,4.425668810678999,1.594810254980715,0
hirschmanniella,-0.48382320477809604,0.12341473611460543,3
hoplolaimus,-1.0679500819408756,-0.07352395477055655,1
litylenchus,-2.345499710511937,-1.5663232528532636,1
longidorus,0.908095821365314,1.1887696948924835,0
meloidogyne,5.561867393939377,-3.642525582619525,2
mesocriconema,-1.0774640940644795,-0.20062710616160265,1
nacobbus,-1.3613662328037912,-0.4799084391155252,1
nanidorus,-1.7518563315183502,-0.5432215473257664,1
paratrichodorus,-1.0599614475070591,-0.6061962260346718,1
pratylenchus,2.2122726685349097,0.8254471111123878,0
radopholus,-0.007835298769724827,0.2207111134901903,3
rotylenchulus,-0.6707106861726537,-0.049191714495268296,3
rotylenchus,-0.5368910321908348,0.3469360002110431,1
scutellonema,-1.25675150542355,-0.3736694752529432,1
trichodorus,-0.36471696029405565,0.5691474315132762,3
tylenchorhynchus,-0.6267074019712023,0.4425775326288541,1
tylenchulus,-1.1765895263723363,-0.39006847572046266,1
xiphinema,1.3331909458569362,1.8169327365059345,0
