Genus,Cluster,N_Papers,N_Species,Mean_Cit
anguina,3,82,8,10.353658536585366
aphelenchoides,0,459,24,18.570806100217865
belonolaimus,3,140,4,12.7
bursaphelenchus,3,1482,24,16.152496626180838
criconema,1,20,9,4.25
ditylenchus,3,529,20,10.12476370510397
dolichodorus,3,23,10,13.304347826086957
globodera,3,1423,8,19.05130007027407
helicotylenchus,3,348,20,10.916666666666666
hemicriconemoides,1,8,3,9.75
hemicycliophora,3,95,24,12.463157894736842
heterodera,0,3051,42,20.27794165847263
hirschmanniella,3,52,12,14.173076923076923
hoplolaimus,1,117,14,6.538461538461538
litylenchus,1,12,2,6.25
longidorus,0,233,46,14.896995708154506
meloidogyne,2,5905,34,15.133107535986452
mesocriconema,1,51,17,8.352941176470589
nacobbus,1,79,1,8.759493670886076
nanidorus,1,12,1,5.583333333333333
paratrichodorus,1,75,9,12.36
pratylenchus,0,1494,46,14.447121820615797
radopholus,3,245,6,16.791836734693877
rotylenchulus,3,251,6,10.278884462151394
rotylenchus,1,58,28,9.086206896551724
scutellonema,1,71,13,7.577464788732394
trichodorus,3,78,21,10.128205128205128
tylenchorhynchus,1,77,18,8.207792207792208
tylenchulus,1,168,6,7.857142857142857
xiphinema,0,362,52,12.604972375690608
