Genus,Cit_Mean,Cit_Sum,Cit_Std,First_Year,Last_Year,N_Papers,N_Species,Total_Count,Years_Span,Papers_Per_Year
2008,2.0,2,,2021,2021,1,1,1,0,1.0
Anguina,16.833333333333332,909,24.889756929307286,1976,2023,54,17,72,47,1.125
Aphelenchoides,78.27027027027027,8688,275.3163451854792,1960,2022,111,33,121,62,1.7619047619047619
Belonolaimus,24.57894736842105,467,34.03481189976862,1969,2020,19,4,21,51,0.36538461538461536
Bursaphelenchus,212.57857142857142,29761,402.67801493274334,1983,2023,140,30,227,40,3.4146341463414633
Criconema,7.702702702702703,285,7.199015615056396,1993,2022,37,13,44,29,1.2333333333333334
Criconemoides,10.333333333333334,217,13.058841194123364,1972,2022,21,7,22,50,0.4117647058823529
Ditylenchus,93.47297297297297,6917,275.060502583434,1960,2023,74,17,120,63,1.15625
Dolichodorus,4.916666666666667,118,6.7109039543162865,1969,2008,24,9,39,39,0.6
Globodera,99.79047619047618,10478,104.66711841670083,1977,2023,105,14,158,46,2.234042553191489
Helicotylenchus,19.82608695652174,1368,31.59577248422137,1961,2023,69,19,75,62,1.0952380952380953
Hemicycliophora,6.395348837209302,275,7.619334850621246,1960,2023,43,16,56,63,0.671875
Heterodera,86.53508771929825,19730,135.08562661042941,1964,2022,228,51,288,58,3.864406779661017
Hirschmanniella,23.243243243243242,860,31.92213217381512,1970,2021,37,13,44,51,0.7115384615384616
Hoplolaimus,11.957446808510639,562,9.8686095377751,1960,2023,47,15,51,63,0.734375
Litylenchus,15.5,93,9.460443964212251,2011,2022,6,2,9,11,0.5
Longidorus,11.987878787878788,1978,15.040185146915938,1964,2022,165,60,205,58,2.7966101694915255
Meloidodera,16.1875,259,24.02281901304119,1973,2023,16,7,17,50,0.3137254901960784
Meloidogyne,99.90483870967742,61941,110.56551202014876,1964,2023,620,87,918,59,10.333333333333334
Mesocriconema,12.854166666666666,617,18.968046572595235,1991,2023,48,17,54,32,1.4545454545454546
Nacobbus,261.8666666666667,3928,498.1720681891042,1970,2022,15,3,15,52,0.2830188679245283
Nanidorus,6.333333333333333,38,5.316640543300503,2010,2022,6,2,6,12,0.46153846153846156
Paratrichodorus,11.72,293,13.529350809751861,1990,2022,25,8,35,32,0.7575757575757576
Pratylenchus,48.38688524590164,14758,57.706162090602746,1963,2023,305,62,473,60,5.0
Radopholus,249.96491228070175,14248,456.75430895270955,1962,2022,57,10,81,60,0.9344262295081968
Rotylenchulus,304.97727272727275,13419,504.7728703429389,1968,2022,44,7,57,54,0.8
Rotylenchus,14.688888888888888,1983,14.369571222358307,1969,2023,135,48,199,54,2.4545454545454546
Scutellonema,11.346938775510203,556,10.765591446068973,1975,2022,49,16,57,47,1.0208333333333333
Trichodorus,9.283333333333333,557,11.328816813572379,1964,2022,60,22,75,58,1.0169491525423728
Tylenchorhynchus,15.532467532467532,1196,28.02047391292398,1960,2022,77,25,92,62,1.2222222222222223
Tylenchulus,34.5,1035,38.288154285897484,1969,2022,30,6,40,53,0.5555555555555556
Xiphinema,37.95762711864407,13437,143.8271937275538,1960,2023,354,112,464,63,5.53125
