Genus,N_Species,N_Publications,First_Year,Last_Year,Mean_Citations,Years_Studied,Publications_Per_Species
Xiphinema,112,354,1960,2023,37.95762711864407,63,3.1607142857142856
Meloidogyne,87,620,1964,2023,99.90483870967742,59,7.126436781609195
Pratylenchus,62,305,1963,2023,48.38688524590164,60,4.919354838709677
Longidorus,60,165,1964,2022,11.987878787878788,58,2.75
Heterodera,51,228,1964,2022,86.53508771929825,58,4.470588235294118
Rotylenchus,48,135,1969,2023,14.688888888888888,54,2.8125
Aphelenchoides,33,111,1960,2022,78.27027027027027,62,3.3636363636363638
Bursaphelenchus,30,140,1983,2023,212.57857142857142,40,4.666666666666667
Tylenchorhynchus,25,77,1960,2022,15.532467532467532,62,3.08
Trichodorus,22,60,1964,2022,9.283333333333333,58,2.727272727272727
Helicotylenchus,19,69,1961,2023,19.82608695652174,62,3.6315789473684212
Mesocriconema,17,48,1991,2023,12.854166666666666,32,2.823529411764706
Ditylenchus,17,74,1960,2023,93.47297297297297,63,4.352941176470588
Anguina,17,54,1976,2023,16.833333333333332,47,3.176470588235294
Hemicycliophora,16,43,1960,2023,6.395348837209302,63,2.6875
Scutellonema,16,49,1975,2022,11.346938775510203,47,3.0625
Hoplolaimus,15,47,1960,2023,11.957446808510639,63,3.1333333333333333
Globodera,14,105,1977,2023,99.79047619047618,46,7.5
Hirschmanniella,13,37,1970,2021,23.243243243243242,51,2.8461538461538463
Criconema,13,37,1993,2022,7.702702702702703,29,2.8461538461538463
