Genus,Host,Count
2008,Cucumber,1
Anguina,Barley,7
Anguina,Beet,6
Anguina,Citrus,1
Anguina,Clover,1
Anguina,Corn,6
Anguina,Eggplant,6
Anguina,Fescue,1
Anguina,Grass,15
Anguina,Orange,1
Anguina,Pea,1
Anguina,Plantain,1
Anguina,Potato,7
Anguina,Rose,1
Anguina,Ryegrass,9
Anguina,Sorghum,1
Anguina,Tomato,6
Anguina,Triticum aestivum,1
Anguina,Wheat,17
Aphelenchoides,Alfalfa,3
Aphelenchoides,Banana,4
Aphelenchoides,Cassava,1
Aphelenchoides,Citrus,1
Aphelenchoides,Ginger,1
Aphelenchoides,Grape,3
Aphelenchoides,Grass,2
Aphelenchoides,Lily,2
Aphelenchoides,Medicago sativa,3
Aphelenchoides,Oak,9
Aphelenchoides,Oryza sativa,1
Aphelenchoides,Pepper,1
Aphelenchoides,Pine,21
Aphelenchoides,Pinus brutia,3
Aphelenchoides,Pinus edulis,3
Aphelenchoides,Pinus massoniana,1
Aphelenchoides,Pinus nigra,3
Aphelenchoides,Potato,2
Aphelenchoides,Quercus brantii,3
Aphelenchoides,Rice,14
Aphelenchoides,Rose,6
Aphelenchoides,Soybean,3
Aphelenchoides,Strawberry,11
Aphelenchoides,Sugarcane,1
Aphelenchoides,Sweet Potato,1
Aphelenchoides,Taro,1
Aphelenchoides,Tobacco,1
Aphelenchoides,Willow,3
Aphelenchoides,Yam,1
Belonolaimus,Bean,1
Belonolaimus,Corn,2
Belonolaimus,Cucumber,2
Belonolaimus,Cucumis melo,2
Belonolaimus,Cucumis sativus,2
Belonolaimus,Glycine max,2
Belonolaimus,Palm,1
Belonolaimus,Soybean,4
Belonolaimus,Strawberry,4
Belonolaimus,Tomato,2
Belonolaimus,Vigna radiata,1
Bursaphelenchus,Coconut,2
Bursaphelenchus,Fig,3
Bursaphelenchus,Oak,1
Bursaphelenchus,Palm,6
Bursaphelenchus,Pine,64
Bursaphelenchus,Pinus brutia,2
Bursaphelenchus,Pinus caribaea,1
Bursaphelenchus,Pinus halepensis,3
Bursaphelenchus,Pinus massoniana,3
Bursaphelenchus,Pinus nigra,2
Bursaphelenchus,Pinus pinaster,11
Bursaphelenchus,Pinus radiata,1
Bursaphelenchus,Pinus rigida,1
Bursaphelenchus,Pinus strobus,1
Bursaphelenchus,Pinus sylvestris,2
Bursaphelenchus,Pinus thunbergii,1
Bursaphelenchus,Pinus und,3
Bursaphelenchus,Populus tremuloides,3
Bursaphelenchus,Potato,5
Bursaphelenchus,Walnut,3
Criconema,Almond,1
Criconema,Apricot,1
Criconema,Grape,1
Criconema,Oak,2
Criconema,Olive,1
Criconema,Peach,1
Criconema,Plum,1
Criconema,Prunus spp,1
Criconema,Tea,1
Criconemoides,Pinus edulis,3
Ditylenchus,Alfalfa,5
Ditylenchus,Arachis hypogaea,1
Ditylenchus,Barley,2
Ditylenchus,Bean,6
Ditylenchus,Beet,3
Ditylenchus,Carrot,3
Ditylenchus,Chickpea,1
Ditylenchus,Citrus,1
Ditylenchus,Clover,2
Ditylenchus,Faba Bean,1
Ditylenchus,Garlic,4
Ditylenchus,Medicago sativa,1
Ditylenchus,Pea,4
Ditylenchus,Peanut,2
Ditylenchus,Pine,4
Ditylenchus,Potato,4
Ditylenchus,Solanum tuberosum,3
Ditylenchus,Sugar Beet,3
Ditylenchus,Trifolium repens,2
Ditylenchus,Wheat,2
Dolichodorus,Grass,8
Dolichodorus,Maple,2
Dolichodorus,Oak,3
Dolichodorus,Pine,8
Dolichodorus,Quercus suber,3
Globodera,Brassica juncea,13
Globodera,Fig,1
Globodera,Potato,50
Globodera,Solanum dulcamara,2
Globodera,Solanum pimpinellifolium,6
Globodera,Solanum species,3
Globodera,Solanum tuberosum,8
Globodera,Solanum vernei,2
Globodera,Tobacco,3
Globodera,Tomato,8
Helicotylenchus,Alfalfa,1
Helicotylenchus,Almond,1
Helicotylenchus,Apple,1
Helicotylenchus,Banana,9
Helicotylenchus,Barley,3
Helicotylenchus,Beet,3
Helicotylenchus,Brassica campestris,1
Helicotylenchus,Cherry,1
Helicotylenchus,Chickpea,4
Helicotylenchus,Citrus,2
Helicotylenchus,Clover,1
Helicotylenchus,Corn,5
Helicotylenchus,Cotton,3
Helicotylenchus,Eggplant,3
Helicotylenchus,Garlic,1
Helicotylenchus,Grass,12
Helicotylenchus,Lentil,3
Helicotylenchus,Medicago minima,1
Helicotylenchus,Medicago saliva,1
Helicotylenchus,Millet,1
Helicotylenchus,Oak,1
Helicotylenchus,Olive,1
Helicotylenchus,Oryza glaberrima,1
Helicotylenchus,Peach,1
Helicotylenchus,Peanut,3
Helicotylenchus,Pear,1
Helicotylenchus,Pine,1
Helicotylenchus,Potato,3
Helicotylenchus,Rice,1
Helicotylenchus,Soybean,2
Helicotylenchus,Sugarcane,4
Helicotylenchus,Sunflower,1
Helicotylenchus,Tomato,3
Helicotylenchus,Trifolium pratense,1
Helicotylenchus,Walnut,1
Helicotylenchus,Wheat,3
Hemicycliophora,Grass,2
Hemicycliophora,Palm,4
Hemicycliophora,Peach,3
Hemicycliophora,Prunus persica,3
Hemicycliophora,Rice,3
Hemicycliophora,Strawberry,1
Hemicycliophora,Sugarcane,6
Heterodera,Alfalfa,4
Heterodera,Barley,6
Heterodera,Beet,25
Heterodera,Beta vulgaris,4
Heterodera,Cabbage,5
Heterodera,Carrot,5
Heterodera,Chickpea,2
Heterodera,Citrus,1
Heterodera,Clover,15
Heterodera,Corn,5
Heterodera,Cotton,2
Heterodera,Cucumber,2
Heterodera,Fescue,1
Heterodera,Fig,3
Heterodera,Glycine max,9
Heterodera,Glycine soja,1
Heterodera,Grass,14
Heterodera,Hemp,1
Heterodera,Hordeum vulgare,1
Heterodera,Lemon,15
Heterodera,Lentil,2
Heterodera,Lettuce,2
Heterodera,Maize,1
Heterodera,Medicago genus,1
Heterodera,Medicago sativa,1
Heterodera,Oat,3
Heterodera,Olive,3
Heterodera,Oryza glaberrima,1
Heterodera,Oryza sativa,3
Heterodera,Pea,10
Heterodera,Peanut,2
Heterodera,Pigeon Pea,2
Heterodera,Pisum sativum,1
Heterodera,Potato,7
Heterodera,Rice,16
Heterodera,Rye,1
Heterodera,Ryegrass,3
Heterodera,Sesame,2
Heterodera,Soybean,42
Heterodera,Sugar Beet,14
Heterodera,Sugarcane,3
Heterodera,Tobacco,4
Heterodera,Tomato,4
Heterodera,Trifolium repens,3
Heterodera,Triticale,1
Heterodera,Triticum aestivum,2
Heterodera,Triticum durum,2
Heterodera,Wheat,22
Heterodera,Willow,3
Hirschmanniella,Banana,2
Hirschmanniella,Bean,1
Hirschmanniella,Cassava,2
Hirschmanniella,Citrus,2
Hirschmanniella,Fragaria ananassa,1
Hirschmanniella,Ginger,2
Hirschmanniella,Grass,1
Hirschmanniella,Oryza sativa,2
Hirschmanniella,Pepper,2
Hirschmanniella,Pine,1
Hirschmanniella,Potato,3
Hirschmanniella,Rice,15
Hirschmanniella,Soybean,1
Hirschmanniella,Strawberry,1
Hirschmanniella,Sugarcane,3
Hirschmanniella,Sweet Potato,2
Hirschmanniella,Taro,3
Hirschmanniella,Tobacco,2
Hirschmanniella,Yam,2
Hoplolaimus,Acacia,3
Hoplolaimus,Banana,5
Hoplolaimus,Bean,1
Hoplolaimus,Cabbage,1
Hoplolaimus,Cauliflower,1
Hoplolaimus,Citrus,3
Hoplolaimus,Citrus aurantifolia,3
Hoplolaimus,Citrus limon,3
Hoplolaimus,Citrus paradisi,3
Hoplolaimus,Citrus sinensis,3
Hoplolaimus,Corn,1
Hoplolaimus,Cotton,5
Hoplolaimus,Eucalyptus,3
Hoplolaimus,Eucalyptus microtheca,3
Hoplolaimus,Fig,1
Hoplolaimus,Glycine max,1
Hoplolaimus,Gossypium barbadense,3
Hoplolaimus,Grass,5
Hoplolaimus,Groundnut,1
Hoplolaimus,Maize,2
Hoplolaimus,Musa cropping,1
Hoplolaimus,Musa roots,1
Hoplolaimus,Musa sapentium,3
Hoplolaimus,Peach,1
Hoplolaimus,Pineapple,1
Hoplolaimus,Plantain,1
Hoplolaimus,Potato,1
Hoplolaimus,Prunus persica,1
Hoplolaimus,Radish,1
Hoplolaimus,Rice,1
Hoplolaimus,Ryegrass,1
Hoplolaimus,Saccharum officinarum,3
Hoplolaimus,Sorghum,3
Hoplolaimus,Soybean,4
Hoplolaimus,Sugarcane,6
Hoplolaimus,Sweet Potato,1
Hoplolaimus,Tomato,3
Hoplolaimus,Tulip,4
Litylenchus,Maple,1
Longidorus,Apple,1
Longidorus,Banana,2
Longidorus,Barley,2
Longidorus,Bean,2
Longidorus,Beet,2
Longidorus,Cherry,3
Longidorus,Citrus,2
Longidorus,Corn,2
Longidorus,Fragaria ananassa,1
Longidorus,Grape,2
Longidorus,Grass,3
Longidorus,Lettuce,1
Longidorus,Maize,3
Longidorus,Nicotiana occidentalis,1
Longidorus,Oak,6
Longidorus,Olive,9
Longidorus,Palm,5
Longidorus,Peach,5
Longidorus,Phaseolus vulgaris,1
Longidorus,Pine,5
Longidorus,Pinus sylvestris,2
Longidorus,Pinus taeda,3
Longidorus,Plum,2
Longidorus,Potato,3
Longidorus,Quercus crassipes,3
Longidorus,Quercus petraea,3
Longidorus,Raspberry,5
Longidorus,Ryegrass,1
Longidorus,Soybean,7
Longidorus,Spinach,1
Longidorus,Strawberry,2
Longidorus,Sugar Beet,1
Longidorus,Tobacco,2
Longidorus,Tomato,2
Longidorus,Vitis vinifera,9
Longidorus,Walnut,2
Longidorus,Wheat,1
Meloidodera,Oak,2
Meloidodera,Pine,2
Meloidodera,Pinus parviflora,1
Meloidodera,Soybean,1
Meloidogyne,Allium canadense,1
Meloidogyne,Arachis hypogaea,1
Meloidogyne,Banana,1
Meloidogyne,Barley,3
Meloidogyne,Bean,2
Meloidogyne,Beet,9
Meloidogyne,Beetroot,10
Meloidogyne,Beta vulgaris,13
Meloidogyne,Blueberry,1
Meloidogyne,Brassica juncea,1
Meloidogyne,Cacao,1
Meloidogyne,Carrot,1
Meloidogyne,Cherry,1
Meloidogyne,Chickpea,7
Meloidogyne,Citrus,1
Meloidogyne,Clover,3
Meloidogyne,Coffea arabica,20
Meloidogyne,Coffea canephora,8
Meloidogyne,Coffea liberica,1
Meloidogyne,Coffee,36
Meloidogyne,Corn,4
Meloidogyne,Cotton,11
Meloidogyne,Cowpea,5
Meloidogyne,Cucumber,16
Meloidogyne,Cucumis melo,6
Meloidogyne,Cucumis sativus,7
Meloidogyne,Eggplant,11
Meloidogyne,Eucalyptus,11
Meloidogyne,Eucalyptus citriodora,1
Meloidogyne,Eucalyptus hybrida,1
Meloidogyne,Eucalyptus meliodora,10
Meloidogyne,Fescue,1
Meloidogyne,Ginger,2
Meloidogyne,Glycine max,2
Meloidogyne,Gossypium spp,1
Meloidogyne,Grass,7
Meloidogyne,Lactuca sativa,1
Meloidogyne,Lettuce,1
Meloidogyne,Lycopersicon esculentum,2
Meloidogyne,Lycopersicon peruvianum,4
Meloidogyne,Maple,1
Meloidogyne,Medicago lupulina,1
Meloidogyne,Musa spp,1
Meloidogyne,Nicotiana tabacum,1
Meloidogyne,Oak,6
Meloidogyne,Oat,1
Meloidogyne,Olive,11
Meloidogyne,Papaya,1
Meloidogyne,Pea,4
Meloidogyne,Peach,3
Meloidogyne,Peanut,13
Meloidogyne,Pear,2
Meloidogyne,Pecan,1
Meloidogyne,Pepper,12
Meloidogyne,Phaseolus vulgaris,2
Meloidogyne,Pine,4
Meloidogyne,Pinus clausa,2
Meloidogyne,Pinus taeda,1
Meloidogyne,Plantain,1
Meloidogyne,Plum,1
Meloidogyne,Potato,15
Meloidogyne,Prunus accessions,1
Meloidogyne,Quercus brantii,2
Meloidogyne,Quercus laevis,1
Meloidogyne,Quercus palustris,4
Meloidogyne,Quercus phellos,1
Meloidogyne,Quercus spp,2
Meloidogyne,Rice,20
Meloidogyne,Rye,1
Meloidogyne,Ryegrass,3
Meloidogyne,Solanum aethiopicum,4
Meloidogyne,Solanum americanum,1
Meloidogyne,Solanum incanum,4
Meloidogyne,Solanum lycopersicum,20
Meloidogyne,Solanum macrocarpon,4
Meloidogyne,Solanum melongena,11
Meloidogyne,Solanum nigrum,6
Meloidogyne,Solanum sisymbriifolium,4
Meloidogyne,Solanum species,1
Meloidogyne,Solanum spp,1
Meloidogyne,Solanum torvum,4
Meloidogyne,Solanum tuberosum,1
Meloidogyne,Soybean,14
Meloidogyne,Strawberry,12
Meloidogyne,Tea,2
Meloidogyne,Theobroma cacao,1
Meloidogyne,Tobacco,12
Meloidogyne,Tomato,193
Meloidogyne,Trifolium repens,3
Meloidogyne,Vigna species,4
Meloidogyne,Vigna unguiculata,4
Meloidogyne,Vitis cinerea,2
Meloidogyne,Vitis labrusca,1
Meloidogyne,Vitis vinifera,3
Meloidogyne,Wheat,16
Mesocriconema,Acacia,3
Mesocriconema,Alfalfa,2
Mesocriconema,Almond,1
Mesocriconema,Beet,2
Mesocriconema,Cotton,1
Mesocriconema,Grape,2
Mesocriconema,Grass,3
Mesocriconema,Oak,2
Mesocriconema,Peanut,2
Mesocriconema,Pineapple,1
Mesocriconema,Pinus compartments,3
Mesocriconema,Potato,1
Mesocriconema,Prunus dulcis,1
Mesocriconema,Prunus orchard,1
Mesocriconema,Sorghum,1
Mesocriconema,Sugar Beet,2
Mesocriconema,Sweet Potato,1
Mesocriconema,Vitis species,2
Mesocriconema,Walnut,1
