Country,N_Genera,N_Species,N_Publications,Mean_Citations
United States,30,182,446,48.789237668161434
United Kingdom,21,82,254,369.4488188976378
Spain,18,72,184,35.83152173913044
Belgium,14,70,167,76.1497005988024
Iran,16,72,156,11.916666666666666
China,13,41,124,33.04032258064516
Australia,11,31,92,48.27173913043478
Brazil,10,41,89,18.831460674157302
France,6,33,84,108.21428571428571
South Africa,17,32,71,34.309859154929576
Japan,13,39,67,21.44776119402985
Germany,10,20,62,72.69354838709677
India,12,25,54,32.166666666666664
Netherlands,13,24,52,88.40384615384616
Italy,8,20,34,46.470588235294116
Egypt,8,10,34,31.61764705882353
Poland,10,18,31,61.0
Kenya,6,11,27,43.44444444444444
Greece,5,7,26,108.34615384615384
Russia,10,16,26,10.76923076923077
New Zealand,7,12,23,23.0
Vietnam,6,11,20,11.8
South Korea,8,12,20,15.6
Portugal,6,9,18,83.0
Bulgaria,6,9,17,14.294117647058824
