pub_year,Genus,Count
1960,Aphelenchoides,1
1960,Tylenchorhynchus,1
1960,Xiphinema,4
1963,Pratylenchus,1
1964,Aphelenchoides,1
1964,Heterodera,1
1964,Longidorus,1
1964,Meloidogyne,1
1964,Xiphinema,1
1965,Aphelenchoides,1
1966,Heterodera,3
1968,Meloidogyne,15
1968,Tylenchorhynchus,1
1969,Heterodera,1
1969,Pratylenchus,6
1969,Rotylenchus,2
1969,Tylenchorhynchus,1
1969,Xiphinema,1
1970,Aphelenchoides,1
1970,Heterodera,1
1970,Longidorus,2
1970,Pratylenchus,1
1970,Tylenchorhynchus,1
1970,Xiphinema,2
1971,Tylenchorhynchus,3
1972,Aphelenchoides,3
1972,Heterodera,3
1972,Meloidogyne,4
1972,Tylenchorhynchus,2
1972,Xiphinema,8
1973,Aphelenchoides,2
1973,Longidorus,1
1973,Meloidogyne,1
1973,Pratylenchus,2
1974,Aphelenchoides,2
1974,Heterodera,1
1974,Longidorus,1
1974,Pratylenchus,1
1974,Xiphinema,1
1975,Heterodera,3
1975,Longidorus,2
1975,Meloidogyne,1
1975,Pratylenchus,2
1975,Tylenchorhynchus,1
1976,Heterodera,1
1976,Longidorus,2
1976,Meloidogyne,1
1976,Rotylenchus,2
1976,Xiphinema,4
1977,Globodera,2
1977,Heterodera,5
1977,Meloidogyne,1
1977,Tylenchorhynchus,1
1977,Xiphinema,1
1978,Meloidogyne,5
1978,Pratylenchus,1
1978,Rotylenchus,1
1978,Tylenchorhynchus,1
1978,Xiphinema,1
1979,Heterodera,2
1979,Longidorus,1
1979,Meloidogyne,3
1979,Pratylenchus,5
1979,Rotylenchus,4
1980,Aphelenchoides,1
1980,Meloidogyne,1
1980,Pratylenchus,4
1980,Rotylenchus,7
1980,Tylenchorhynchus,1
1981,Aphelenchoides,1
1981,Globodera,2
1981,Heterodera,1
1981,Longidorus,1
1981,Rotylenchus,2
1981,Tylenchorhynchus,1
1981,Xiphinema,2
1982,Heterodera,2
1982,Meloidogyne,6
1982,Tylenchorhynchus,2
1982,Xiphinema,6
1983,Bursaphelenchus,2
1983,Globodera,2
1983,Heterodera,2
1983,Longidorus,1
1983,Meloidogyne,2
1983,Rotylenchus,2
1983,Xiphinema,3
1984,Globodera,1
1984,Heterodera,4
1984,Meloidogyne,3
1984,Pratylenchus,6
1984,Tylenchorhynchus,2
1984,Xiphinema,5
1985,Bursaphelenchus,1
1985,Heterodera,1
1985,Meloidogyne,6
1985,Pratylenchus,1
1985,Xiphinema,2
1986,Heterodera,5
1986,Meloidogyne,3
1986,Pratylenchus,1
1986,Tylenchorhynchus,3
1986,Xiphinema,2
1987,Heterodera,1
1987,Meloidogyne,3
1987,Tylenchorhynchus,2
1988,Aphelenchoides,1
1988,Bursaphelenchus,1
1988,Heterodera,2
1988,Meloidogyne,5
1988,Pratylenchus,7
1989,Aphelenchoides,1
1989,Heterodera,2
1989,Longidorus,1
1989,Meloidogyne,1
1989,Pratylenchus,1
1989,Tylenchorhynchus,2
1989,Xiphinema,6
1990,Heterodera,1
1990,Xiphinema,4
1991,Globodera,1
1991,Meloidogyne,14
1991,Pratylenchus,8
1991,Xiphinema,5
1992,Aphelenchoides,1
1992,Heterodera,3
1992,Longidorus,2
1992,Meloidogyne,4
1992,Pratylenchus,1
1992,Tylenchorhynchus,2
1993,Bursaphelenchus,1
1993,Globodera,4
1993,Heterodera,3
1993,Meloidogyne,5
1993,Pratylenchus,1
1993,Tylenchorhynchus,2
1993,Xiphinema,21
1994,Globodera,1
1994,Longidorus,1
1994,Rotylenchus,1
1995,Globodera,4
1995,Heterodera,3
1995,Longidorus,3
1995,Meloidogyne,3
1995,Pratylenchus,3
1995,Xiphinema,1
1996,Longidorus,7
1996,Meloidogyne,2
1996,Rotylenchus,1
1996,Tylenchorhynchus,3
1996,Xiphinema,13
1997,Globodera,2
1997,Heterodera,8
1997,Longidorus,13
1997,Meloidogyne,6
1997,Pratylenchus,7
1997,Xiphinema,1
1998,Bursaphelenchus,1
1998,Globodera,4
1998,Heterodera,7
1998,Longidorus,1
1998,Meloidogyne,7
1998,Pratylenchus,1
1998,Xiphinema,1
1999,Aphelenchoides,2
1999,Bursaphelenchus,2
1999,Globodera,1
1999,Heterodera,2
1999,Longidorus,1
1999,Meloidogyne,7
1999,Pratylenchus,4
1999,Rotylenchus,2
1999,Tylenchorhynchus,1
1999,Xiphinema,1
2000,Bursaphelenchus,3
2000,Globodera,6
2000,Longidorus,3
2000,Meloidogyne,15
2000,Pratylenchus,18
2000,Rotylenchus,4
2000,Xiphinema,3
2001,Aphelenchoides,2
2001,Bursaphelenchus,3
