Genus,Growth_Rate,R2,Recent_Mean,Recent_Median
Aphelenchoides,7.376083362839481,0.289533149072958,7.0,6.0
Tylenchorhynchus,5.462611236951442,0.2520581644336426,2.857142857142857,1.5
Heterodera,4.996091625007271,0.09611778570692264,7.5,5.5
Bursaphelenchus,3.8610588735878304,0.09612661575446702,7.1875,5.0
Longidorus,2.0425911460274504,0.05468638671784998,6.875,6.5
Meloidogyne,1.9271027227018456,0.014820301633038269,23.15,18.5
Xiphinema,1.8246739321649885,0.025959914313816168,12.25,12.0
Globodera,0.7131499820777654,0.003863587832936388,6.636363636363637,5.0
Pratylenchus,-0.39425662669904105,0.0008018031236725065,11.368421052631579,10.0
Rotylenchus,-2.628519361960746,0.028812199967263474,7.0,4.0
