title,pub_year,journal,citations,Genus,Species
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Aphelenchoides,besseyi
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Ditylenchus,dipsaci
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Aphelenchoides,besseyi
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Nacobbus,aberrans
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Xiphinema,index
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Aphelenchoides,besseyi
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Ditylenchus,dipsaci
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Xiphinema,index
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Radopholus,similis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Nacobbus,aberrans
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Aphelenchoides,besseyi
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Nacobbus,aberrans
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Ditylenchus,dipsaci
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Xiphinema,index
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Xiphinema,index
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Ditylenchus,dipsaci
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Aphelenchoides,besseyi
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Xiphinema,index
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Aphelenchoides,besseyi
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Bursaphelenchus,xylophilus
Top 10 plant‐parasitic nematodes,2013,Molecular Plant Pathology,1224,Rotylenchulus,reniformis
