Genus,Total_Citations,Mean_Citations,Median_Citations,N_Papers,First_Year,Last_Year
2008,2,2.0,2.0,1,2021,2021
Anguina,909,16.833333333333332,5.0,54,1976,2023
Aphelenchoides,8688,78.27027027027027,11.0,111,1960,2022
Belonolaimus,467,24.57894736842105,13.0,19,1969,2020
Bursaphelenchus,29761,212.57857142857142,30.0,140,1983,2023
Criconema,285,7.702702702702703,6.0,37,1993,2022
Criconemoides,217,10.333333333333334,6.0,21,1972,2022
Ditylenchus,6917,93.47297297297297,17.0,74,1960,2023
Dolichodorus,118,4.916666666666667,3.0,24,1969,2008
Globodera,10478,99.79047619047618,68.0,105,1977,2023
Helicotylenchus,1368,19.82608695652174,9.0,69,1961,2023
Hemicycliophora,275,6.395348837209302,4.0,43,1960,2023
Heterodera,19730,86.53508771929825,21.5,228,1964,2022
Hirschmanniella,860,23.243243243243242,8.0,37,1970,2021
Hoplolaimus,562,11.957446808510639,12.0,47,1960,2023
Litylenchus,93,15.5,14.0,6,2011,2022
Longidorus,1978,11.987878787878788,7.0,165,1964,2022
Meloidodera,259,16.1875,11.0,16,1973,2023
Meloidogyne,61941,99.90483870967742,59.0,620,1964,2023
Mesocriconema,617,12.854166666666666,5.0,48,1991,2023
Nacobbus,3928,261.8666666666667,20.0,15,1970,2022
Nanidorus,38,6.333333333333333,5.0,6,2010,2022
Paratrichodorus,293,11.72,7.0,25,1990,2022
Pratylenchus,14758,48.38688524590164,24.0,305,1963,2023
Radopholus,14248,249.96491228070175,18.0,57,1962,2022
Rotylenchulus,13419,304.97727272727275,42.0,44,1968,2022
Rotylenchus,1983,14.688888888888888,11.0,135,1969,2023
Scutellonema,556,11.346938775510203,8.0,49,1975,2022
Trichodorus,557,9.283333333333333,5.0,60,1964,2022
Tylenchorhynchus,1196,15.532467532467532,9.0,77,1960,2022
Tylenchulus,1035,34.5,13.0,30,1969,2022
Xiphinema,13437,37.95762711864407,14.0,354,1960,2023
