Keyword,TF_IDF_Score
nematode,415.1642888595922
nematodes,355.8342367323037
sp,306.2033643005398
plant,273.08794206501886
soil,269.5587525031744
meloidogyne,242.47840506160136
root,240.21751642263433
new,239.2926137070388
xiphinema,214.36502540661849
incognita,208.6528020513303
pratylenchus,202.29917035331982
populations,188.16163481409706
plants,178.7554052185191
population,176.78090081209052
tail,172.5461179904558
spp,170.31979847474645
parasitic,164.1848368535172
new species,163.7258311609449
based,160.93864643462916
body,159.73704798060862
described,155.51545495193915
roots,155.1381994593849
region,153.17424699648714
molecular,150.54673961040368
length,149.74484792173078
using,148.6685633565635
study,147.40696057321452
morphological,147.22053333804618
resistance,142.01519050722283
long,140.780051780561
