Year,Theme,Normalized_Count
1980,Molecular/Genetics,0.47368421052631576
1980,Plant Pathology,0.5263157894736842
1980,Management/Control,0.05263157894736842
1980,Ecology/Biology,1.263157894736842
1980,Crop Impact,0.15789473684210525
1980,Diagnostics,1.0526315789473684
1981,Molecular/Genetics,0.9565217391304348
1981,Plant Pathology,0.43478260869565216
1981,Management/Control,0.43478260869565216
1981,Ecology/Biology,0.043478260869565216
1981,Crop Impact,0.6521739130434783
1981,Diagnostics,1.3043478260869565
1982,Molecular/Genetics,0.5454545454545454
1982,Plant Pathology,0.045454545454545456
1982,Management/Control,0.0
1982,Ecology/Biology,0.09090909090909091
1982,Crop Impact,0.045454545454545456
1982,Diagnostics,1.0454545454545454
1983,Molecular/Genetics,0.8695652173913043
1983,Plant Pathology,0.9130434782608695
1983,Management/Control,0.43478260869565216
1983,Ecology/Biology,0.2608695652173913
1983,Crop Impact,0.7391304347826086
1983,Diagnostics,1.2173913043478262
1984,Molecular/Genetics,0.6129032258064516
1984,Plant Pathology,0.6451612903225806
1984,Management/Control,0.45161290322580644
1984,Ecology/Biology,0.7096774193548387
1984,Crop Impact,0.967741935483871
1984,Diagnostics,1.4516129032258065
1985,Molecular/Genetics,0.6111111111111112
1985,Plant Pathology,0.1111111111111111
1985,Management/Control,0.1111111111111111
1985,Ecology/Biology,1.2222222222222223
1985,Crop Impact,0.3888888888888889
1985,Diagnostics,4.444444444444445
1986,Molecular/Genetics,0.5263157894736842
1986,Plant Pathology,0.7368421052631579
1986,Management/Control,0.5789473684210527
1986,Ecology/Biology,2.3157894736842106
1986,Crop Impact,1.105263157894737
1986,Diagnostics,0.5263157894736842
1987,Molecular/Genetics,0.18181818181818182
1987,Plant Pathology,0.0
1987,Management/Control,0.0
1987,Ecology/Biology,1.0909090909090908
1987,Crop Impact,2.8181818181818183
1987,Diagnostics,2.0
1988,Molecular/Genetics,0.56
1988,Plant Pathology,0.8
1988,Management/Control,0.4
1988,Ecology/Biology,0.8
1988,Crop Impact,1.36
1988,Diagnostics,1.48
1989,Molecular/Genetics,0.0
1989,Plant Pathology,0.15789473684210525
1989,Management/Control,0.2631578947368421
1989,Ecology/Biology,1.0
1989,Crop Impact,0.7894736842105263
1989,Diagnostics,0.8947368421052632
1990,Molecular/Genetics,0.0
1990,Plant Pathology,0.0
1990,Management/Control,0.0
1990,Ecology/Biology,0.1
1990,Crop Impact,0.2
1990,Diagnostics,1.2
1991,Molecular/Genetics,1.6666666666666667
1991,Plant Pathology,2.5757575757575757
1991,Management/Control,0.0
1991,Ecology/Biology,1.5454545454545454
1991,Crop Impact,1.0
1991,Diagnostics,0.6060606060606061
1992,Molecular/Genetics,0.44
1992,Plant Pathology,0.36
1992,Management/Control,0.6
1992,Ecology/Biology,0.76
1992,Crop Impact,1.68
1992,Diagnostics,1.84
1993,Molecular/Genetics,1.1777777777777778
1993,Plant Pathology,0.6888888888888889
1993,Management/Control,0.1111111111111111
1993,Ecology/Biology,0.6444444444444445
1993,Crop Impact,0.6
1993,Diagnostics,3.022222222222222
1994,Molecular/Genetics,2.8
1994,Plant Pathology,1.4
1994,Management/Control,1.4
1994,Ecology/Biology,0.4
1994,Crop Impact,2.2
1994,Diagnostics,1.0
1995,Molecular/Genetics,2.4
1995,Plant Pathology,0.55
1995,Management/Control,0.15
1995,Ecology/Biology,0.2
1995,Crop Impact,0.35
