Country,N_Genera,N_Species,N_Publications,Mean_Citations,Total_Citations,Citations_Per_Paper
Argentina,2,2,3,7.333333333333333,22,7.333333333333333
Australia,11,31,92,48.27173913043478,4441,48.27173913043478
Austria,2,2,7,147.42857142857142,1032,147.42857142857142
Belgium,14,70,167,76.1497005988024,12717,76.1497005988024
Brazil,10,41,89,18.831460674157302,1676,18.831460674157302
Bulgaria,6,9,17,14.294117647058824,243,14.294117647058824
Burkina Faso,1,1,2,10.0,20,10.0
Cambodia,1,1,1,13.0,13,13.0
Cameroon,1,1,3,0.0,0,0.0
Canada,7,8,12,28.333333333333332,340,28.333333333333332
Chile,1,1,3,17.0,51,17.0
China,13,41,124,33.04032258064516,4097,33.04032258064516
Costa Rica,4,5,7,43.42857142857143,304,43.42857142857143
Croatia,1,1,1,0.0,0,0.0
Czech Republic,3,4,7,9.142857142857142,64,9.142857142857142
Egypt,8,10,34,31.61764705882353,1075,31.61764705882353
Finland,2,2,2,6.0,12,6.0
France,6,33,84,108.21428571428571,9090,108.21428571428571
Germany,10,20,62,72.69354838709677,4507,72.69354838709677
Greece,5,7,26,108.34615384615384,2817,108.34615384615384
Hungary,1,2,3,17.0,51,17.0
India,12,25,54,32.166666666666664,1737,32.166666666666664
Indonesia,3,3,4,1.0,4,1.0
Iran,16,72,156,11.916666666666666,1859,11.916666666666666
Israel,4,4,4,15.0,60,15.0
Italy,8,20,34,46.470588235294116,1580,46.470588235294116
Japan,13,39,67,21.44776119402985,1437,21.44776119402985
Kenya,6,11,27,43.44444444444444,1173,43.44444444444444
Lithuania,1,1,1,1.0,1,1.0
Mexico,6,8,12,21.583333333333332,259,21.583333333333332
Netherlands,13,24,52,88.40384615384616,4597,88.40384615384616
New Zealand,7,12,23,23.0,529,23.0
Nigeria,6,8,10,9.3,93,9.3
Pakistan,4,5,9,21.11111111111111,190,21.11111111111111
Poland,10,18,31,61.0,1891,61.0
Portugal,6,9,18,83.0,1494,83.0
Russia,10,16,26,10.76923076923077,280,10.76923076923077
Rwanda,1,1,2,27.0,54,27.0
Saudi Arabia,4,4,15,30.333333333333332,455,30.333333333333332
Senegal,5,6,8,6.875,55,6.875
Serbia,1,3,7,5.285714285714286,37,5.285714285714286
Slovakia,3,8,14,7.714285714285714,108,7.714285714285714
Slovenia,1,6,10,4.6,46,4.6
South Africa,17,32,71,34.309859154929576,2436,34.309859154929576
South Korea,8,12,20,15.6,312,15.6
Spain,18,72,184,35.83152173913044,6593,35.83152173913044
Sudan,1,1,3,0.0,0,0.0
Switzerland,4,5,11,191.9090909090909,2111,191.9090909090909
Thailand,1,2,2,5.0,10,5.0
Turkey,7,8,9,6.888888888888889,62,6.888888888888889
Uganda,4,4,7,20.857142857142858,146,20.857142857142858
United Kingdom,21,82,254,369.4488188976378,93840,369.4488188976378
United States,30,182,446,48.789237668161434,21760,48.789237668161434
Vietnam,6,11,20,11.8,236,11.8
