Crop,Genus,Count
Banana,Aphelenchoides,4
Banana,Helicotylenchus,9
Banana,Hirschmanniella,2
Banana,Hoplolaimus,5
Banana,Longidorus,2
Banana,Meloidogyne,1
Banana,Pratylenchus,24
Banana,Radopholus,19
Banana,Rotylenchus,4
Banana,Scutellonema,2
Banana,Tylenchorhynchus,1
Banana,Tylenchulus,4
Citrus,Anguina,2
Citrus,Aphelenchoides,1
Citrus,Ditylenchus,1
Citrus,Helicotylenchus,2
Citrus,Heterodera,16
Citrus,Hirschmanniella,2
Citrus,Hoplolaimus,3
Citrus,Longidorus,2
Citrus,Meloidogyne,1
Citrus,Mesocriconema,1
Citrus,Paratrichodorus,1
Citrus,Pratylenchus,6
Citrus,Radopholus,8
Citrus,Rotylenchus,6
Citrus,Tylenchorhynchus,1
Citrus,Tylenchulus,12
Coffee,Meloidogyne,36
Coffee,Pratylenchus,7
Coffee,Radopholus,6
Coffee,Rotylenchus,1
Corn/Maize,Anguina,6
Corn/Maize,Belonolaimus,2
Corn/Maize,Bursaphelenchus,6
Corn/Maize,Globodera,1
Corn/Maize,Helicotylenchus,5
Corn/Maize,Heterodera,8
Corn/Maize,Hoplolaimus,3
Corn/Maize,Litylenchus,1
Corn/Maize,Longidorus,5
Corn/Maize,Meloidogyne,4
Corn/Maize,Paratrichodorus,1
Corn/Maize,Pratylenchus,14
Corn/Maize,Rotylenchulus,6
Corn/Maize,Rotylenchus,4
Corn/Maize,Scutellonema,6
Corn/Maize,Tylenchorhynchus,8
Corn/Maize,Xiphinema,6
Cotton,Helicotylenchus,3
Cotton,Heterodera,2
Cotton,Hoplolaimus,5
Cotton,Meloidogyne,11
Cotton,Mesocriconema,1
Cotton,Pratylenchus,8
Cotton,Rotylenchulus,9
Cotton,Tylenchorhynchus,3
Cotton,Xiphinema,1
Potato,Anguina,7
Potato,Aphelenchoides,2
Potato,Bursaphelenchus,5
Potato,Ditylenchus,4
Potato,Globodera,50
Potato,Helicotylenchus,3
Potato,Heterodera,7
Potato,Hirschmanniella,3
Potato,Hoplolaimus,1
Potato,Longidorus,3
Potato,Meloidogyne,15
Potato,Mesocriconema,1
Potato,Nacobbus,3
Potato,Paratrichodorus,3
Potato,Pratylenchus,17
Potato,Radopholus,3
Potato,Rotylenchus,1
Potato,Trichodorus,3
Potato,Tylenchorhynchus,3
Potato,Xiphinema,1
Rice,Aphelenchoides,14
Rice,Globodera,1
Rice,Helicotylenchus,1
Rice,Hemicycliophora,3
Rice,Heterodera,19
Rice,Hirschmanniella,15
Rice,Hoplolaimus,2
Rice,Meloidogyne,20
Rice,Pratylenchus,13
Rice,Radopholus,1
Rice,Scutellonema,1
Rice,Trichodorus,5
Rice,Tylenchorhynchus,4
Rice,Xiphinema,8
Soybean,Aphelenchoides,3
Soybean,Belonolaimus,4
Soybean,Helicotylenchus,2
Soybean,Heterodera,42
Soybean,Hirschmanniella,1
Soybean,Hoplolaimus,4
Soybean,Longidorus,7
Soybean,Meloidodera,1
Soybean,Meloidogyne,14
Soybean,Pratylenchus,27
Soybean,Radopholus,1
Soybean,Rotylenchulus,5
Soybean,Rotylenchus,1
Soybean,Scutellonema,2
Soybean,Tylenchorhynchus,6
Soybean,Xiphinema,5
Sugar Beet,Ditylenchus,3
Sugar Beet,Heterodera,15
Sugar Beet,Longidorus,1
Sugar Beet,Meloidogyne,3
Sugar Beet,Mesocriconema,2
Sugar Beet,Nacobbus,4
Sugar Beet,Paratrichodorus,1
Tobacco,Aphelenchoides,1
Tobacco,Globodera,3
Tobacco,Heterodera,4
Tobacco,Hirschmanniella,2
Tobacco,Longidorus,2
Tobacco,Meloidogyne,12
Tobacco,Paratrichodorus,5
Tobacco,Pratylenchus,2
Tobacco,Radopholus,1
Tobacco,Trichodorus,5
Tobacco,Tylenchorhynchus,1
Tobacco,Xiphinema,3
Tomato,Anguina,6
Tomato,Belonolaimus,2
Tomato,Globodera,8
Tomato,Helicotylenchus,3
Tomato,Heterodera,4
Tomato,Hoplolaimus,3
Tomato,Longidorus,3
Tomato,Meloidogyne,193
Tomato,Nacobbus,3
Tomato,Pratylenchus,13
Tomato,Rotylenchulus,4
Tomato,Scutellonema,3
Tomato,Tylenchorhynchus,2
Tomato,Xiphinema,7
Wheat,Anguina,17
Wheat,Ditylenchus,2
Wheat,Helicotylenchus,3
Wheat,Heterodera,22
Wheat,Longidorus,1
Wheat,Meloidogyne,16
Wheat,Mesocriconema,2
Wheat,Paratrichodorus,1
Wheat,Pratylenchus,36
Wheat,Rotylenchulus,2
Wheat,Rotylenchus,1
Wheat,Scutellonema,4
Wheat,Tylenchorhynchus,11
Wheat,Xiphinema,5
