Year,Category,Normalized_Count
1980,Yield Loss,0.0
1980,Economic Damage,0.05263157894736842
1980,Management,0.0
1980,Resistance,0.05263157894736842
1981,Yield Loss,0.08695652173913043
1981,Economic Damage,0.13043478260869565
1981,Management,0.2608695652173913
1981,Resistance,0.2608695652173913
1982,Yield Loss,0.0
1982,Economic Damage,0.0
1982,Management,0.0
1982,Resistance,0.0
1983,Yield Loss,0.0
1983,Economic Damage,0.08695652173913043
1983,Management,0.0
1983,Resistance,0.34782608695652173
1984,Yield Loss,0.0
1984,Economic Damage,0.22580645161290322
1984,Management,0.1935483870967742
1984,Resistance,0.3225806451612903
1985,Yield Loss,0.0
1985,Economic Damage,0.0
1985,Management,0.0
1985,Resistance,0.0
1986,Yield Loss,0.0
1986,Economic Damage,0.05263157894736842
1986,Management,0.2631578947368421
1986,Resistance,0.15789473684210525
1987,Yield Loss,0.36363636363636365
1987,Economic Damage,1.6363636363636365
1987,Management,0.0
1987,Resistance,0.0
1988,Yield Loss,0.0
1988,Economic Damage,0.36
1988,Management,0.32
1988,Resistance,0.2
1989,Yield Loss,0.0
1989,Economic Damage,0.10526315789473684
1989,Management,0.21052631578947367
1989,Resistance,0.0
1990,Yield Loss,0.0
1990,Economic Damage,0.0
1990,Management,0.0
1990,Resistance,0.0
1991,Yield Loss,0.0
1991,Economic Damage,0.5454545454545454
1991,Management,0.0
1991,Resistance,0.5151515151515151
1992,Yield Loss,0.24
1992,Economic Damage,0.32
1992,Management,0.36
1992,Resistance,0.04
1993,Yield Loss,0.17777777777777778
1993,Economic Damage,0.15555555555555556
1993,Management,0.044444444444444446
1993,Resistance,0.3333333333333333
1994,Yield Loss,0.0
1994,Economic Damage,0.4
1994,Management,1.2
1994,Resistance,0.2
1995,Yield Loss,0.0
1995,Economic Damage,0.2
1995,Management,0.05
1995,Resistance,0.3
1996,Yield Loss,0.0
1996,Economic Damage,0.13513513513513514
1996,Management,0.05405405405405406
1996,Resistance,0.0
1997,Yield Loss,0.06349206349206349
1997,Economic Damage,0.25396825396825395
1997,Management,0.031746031746031744
1997,Resistance,0.6507936507936508
1998,Yield Loss,0.0
1998,Economic Damage,0.07142857142857142
1998,Management,0.2857142857142857
1998,Resistance,0.7142857142857143
1999,Yield Loss,0.05405405405405406
1999,Economic Damage,0.2972972972972973
1999,Management,0.3783783783783784
1999,Resistance,1.4054054054054055
2000,Yield Loss,0.04411764705882353
2000,Economic Damage,0.3235294117647059
2000,Management,0.17647058823529413
2000,Resistance,0.6617647058823529
2001,Yield Loss,0.0
2001,Economic Damage,0.35443037974683544
2001,Management,0.02531645569620253
2001,Resistance,1.0126582278481013
2002,Yield Loss,0.0
2002,Economic Damage,0.22033898305084745
2002,Management,0.3559322033898305
2002,Resistance,0.0
2003,Yield Loss,0.06666666666666667
2003,Economic Damage,0.16666666666666666
2003,Management,0.26666666666666666
2003,Resistance,0.26666666666666666
2004,Yield Loss,0.08888888888888889
2004,Economic Damage,0.4
2004,Management,0.5333333333333333
2004,Resistance,1.1777777777777778
2005,Yield Loss,0.0
2005,Economic Damage,0.08108108108108109
2005,Management,0.2702702702702703
2005,Resistance,0.3783783783783784
2006,Yield Loss,0.0
2006,Economic Damage,0.16393442622950818
2006,Management,0.7213114754098361
2006,Resistance,0.09836065573770492
2007,Yield Loss,0.09090909090909091
2007,Economic Damage,0.6590909090909091
2007,Management,0.3181818181818182
2007,Resistance,0.22727272727272727
2008,Yield Loss,0.09411764705882353
2008,Economic Damage,0.49411764705882355
2008,Management,0.4470588235294118
2008,Resistance,0.09411764705882353
2009,Yield Loss,0.1276595744680851
2009,Economic Damage,0.3829787234042553
2009,Management,0.44680851063829785
2009,Resistance,0.14893617021276595
2010,Yield Loss,0.029411764705882353
2010,Economic Damage,0.16911764705882354
2010,Management,0.375
2010,Resistance,0.14705882352941177
2011,Yield Loss,0.018633540372670808
2011,Economic Damage,0.14906832298136646
2011,Management,0.7142857142857143
2011,Resistance,0.5279503105590062
2012,Yield Loss,0.028169014084507043
2012,Economic Damage,0.34507042253521125
2012,Management,0.43661971830985913
2012,Resistance,0.6267605633802817
2013,Yield Loss,0.0
2013,Economic Damage,0.9122807017543859
2013,Management,0.1871345029239766
2013,Resistance,0.1286549707602339
2014,Yield Loss,0.1188118811881188
2014,Economic Damage,0.4752475247524752
2014,Management,0.8415841584158416
2014,Resistance,0.693069306930693
2015,Yield Loss,0.012048192771084338
2015,Economic Damage,0.14457831325301204
2015,Management,0.30120481927710846
2015,Resistance,0.2891566265060241
2016,Yield Loss,0.0
2016,Economic Damage,0.5145631067961165
2016,Management,0.2524271844660194
2016,Resistance,0.47572815533980584
2017,Yield Loss,0.02702702702702703
2017,Economic Damage,0.17117117117117117
2017,Management,0.07207207207207207
2017,Resistance,0.0
2018,Yield Loss,0.0
2018,Economic Damage,0.5473684210526316
2018,Management,0.2
2018,Resistance,0.12631578947368421
2019,Yield Loss,0.06741573033707865
2019,Economic Damage,0.29213483146067415
2019,Management,0.48314606741573035
2019,Resistance,0.1348314606741573
2020,Yield Loss,0.04220779220779221
2020,Economic Damage,0.474025974025974
2020,Management,0.9902597402597403
2020,Resistance,0.6233766233766234
2021,Yield Loss,0.112
2021,Economic Damage,0.368
2021,Management,0.624
2021,Resistance,0.048
2022,Yield Loss,0.02830188679245283
2022,Economic Damage,0.33962264150943394
2022,Management,0.7264150943396226
2022,Resistance,0.0660377358490566
2023,Yield Loss,0.0
2023,Economic Damage,0.2916666666666667
2023,Management,0.5
2023,Resistance,0.0
