Genus,PC1,PC2,Cluster
2008,-2.0470944820236974,-1.7310924227684592,0
Anguina,-0.5513390176640521,-0.3532677907611684,2
Aphelenchoides,0.5569265045845828,0.5407096959832512,2
Belonolaimus,-1.1065365290823297,0.0036809978158489506,2
Bursaphelenchus,0.8024039786149153,1.1911179661752842,3
Criconema,-1.025773442345268,-0.9433460011023648,0
Criconemoides,-1.0548751176235107,-0.19815244321724335,2
Ditylenchus,-0.07701884321102549,0.898448098513249,2
Dolichodorus,-1.15750381990168,-0.6034314851568614,0
Globodera,-0.018954441851149688,0.3926182276599362,2
Helicotylenchus,-0.16900672240110723,0.09402944606994446,2
Hemicycliophora,-0.4588641780879578,0.049358097627110395,2
Heterodera,1.9646079215922394,0.16900186479554513,2
Hirschmanniella,-0.743116512514436,-0.10388998011871274,2
Hoplolaimus,-0.43945769410284713,0.1067474753725755,2
Litylenchus,-1.9206645070409967,-1.2457646494862489,0
Longidorus,1.507029166484794,-0.5499288969392723,2
Meloidodera,-1.0976095339083591,-0.1266803867754462,2
Meloidogyne,6.262070771657684,-0.6131679643376443,1
Mesocriconema,-0.7711071668947941,-0.8501661985530469,0
Nacobbus,-0.9012616833313354,2.529584742022241,3
Nanidorus,-1.922116776943317,-1.3099004861014656,0
Paratrichodorus,-1.2541498936577524,-0.7414949055343141,0
Pratylenchus,2.8463297010530275,-0.3744864803555941,1
Radopholus,-0.253315985558904,2.5195875742954303,3
Rotylenchulus,-0.4649539236596014,2.9575020854475658,3
Rotylenchus,0.9547373502121217,-0.5170571527468096,2
Scutellonema,-0.6287804195951613,-0.3936534268130189,2
Trichodorus,-0.25192614917402706,-0.14016220692526085,2
Tylenchorhynchus,0.023791488859506882,-0.0034126166406160652,2
Tylenchulus,-0.9161561979568232,0.13230257986441035,2
Xiphinema,4.3136861554712596,-0.7856333573088443,1
