Genus,Cluster,N_Papers,N_Species,Mean_Cit
2008,0,1,1,2.0
Anguina,2,54,17,16.833333333333332
Aphelenchoides,2,111,33,78.27027027027027
Belonolaimus,2,19,4,24.57894736842105
Bursaphelenchus,3,140,30,212.57857142857142
Criconema,0,37,13,7.702702702702703
Criconemoides,2,21,7,10.333333333333334
Ditylenchus,2,74,17,93.47297297297297
Dolichodorus,0,24,9,4.916666666666667
Globodera,2,105,14,99.79047619047618
Helicotylenchus,2,69,19,19.82608695652174
Hemicycliophora,2,43,16,6.395348837209302
Heterodera,2,228,51,86.53508771929825
Hirschmanniella,2,37,13,23.243243243243242
Hoplolaimus,2,47,15,11.957446808510639
Litylenchus,0,6,2,15.5
Longidorus,2,165,60,11.987878787878788
Meloidodera,2,16,7,16.1875
Meloidogyne,1,620,87,99.90483870967742
Mesocriconema,0,48,17,12.854166666666666
Nacobbus,3,15,3,261.8666666666667
Nanidorus,0,6,2,6.333333333333333
Paratrichodorus,0,25,8,11.72
Pratylenchus,1,305,62,48.38688524590164
Radopholus,3,57,10,249.96491228070175
Rotylenchulus,3,44,7,304.97727272727275
Rotylenchus,2,135,48,14.688888888888888
Scutellonema,2,49,16,11.346938775510203
Trichodorus,2,60,22,9.283333333333333
Tylenchorhynchus,2,77,25,15.532467532467532
Tylenchulus,2,30,6,34.5
Xiphinema,1,354,112,37.95762711864407
